"SimpleArea","Competition.multisum","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Products","1 Offer",,,,,,,1389551,4835336,28363666.1553,58469112.5999,80667979.4658,76297240.4483,125683044.3073,156969317.7185,163512467.38,160256591.66,163393898.1785,72014505.1854,8006420.2671,22775212.6417,31443853.248,6097066.2579,5926881.7228,1483957.8122,4330569.1948,-9001.84
"Products","2+ Offers",16038300,26658050,28371292,37922952,59774972,17985904,54212951,137810853.5313,389726712.4713,590829125.2054,615230932.7827,823929519.5744,689201104.0601,934317527.9265,519802451.3426,519153277.7256,1123841760.5985,309733420.9347,73922985.5822,147276836.0295,125724418.1361,111790247.2316,119487332.3521,251380781.0151,128986534.9605,66535774.68
"Products","No Comp.",1127793,159065723,322838251,439128278,759425141,1073560964,868714952,1186792790.5904,1193402172.9036,1724392990.4498,2031029481.3075,2411959229.2089,1939249979.4887,3376928843.9277,3520486232.7761,2695005085.5642,2921365541.092,2589074732.4459,2625767718.9587,2732210495.6201,2560649610.3353,3700556368.9107,3689894420.0137,3535980348.8976,3607321944.724,3227953075.97
"Products","Unlabeled",,,,,,,,428296.875,481263.9277,523518.7188,450308.3672,166891.0391,1671858.5534,1851680.6701,968353.73,-17389.12,0,0,,-265166.9688,,0,0,,0,46250576.35
"R&D","1 Offer",,,,,,,,133449,140371.6392,301792.36,1051599.369,998576.6563,,,10999699.58,8447825.25,11375000,13065000,10971372.0938,15915815.39,5745950.34,-2109664,559769.02,-99364.41,50797.8,-30589.93
"R&D","2+ Offers",,,,,,,25397641,43358073,58210115.2593,80120830.2122,96041430.9004,59957462.7443,19100701.564,22336131.1362,164582104.4338,182975393.37,228812755.2818,276191743.44,162002352.9051,234101025.47,307978226.89,315879815.12,173809247.76,40927670.23,60577799.12,24432514
"R&D","No Comp.",,,,,5352275,25780699,6953776,2952224,37613741.2359,33086083.29,46528053.8244,79447524.8464,88554906.7709,54221719.0274,89821506.7926,22445503.3813,31458259.9603,1931346.1708,142694.2938,-36562.5791,-826149.8726,50723912.6866,-420513.7969,,438.12,0
"Services","1 Offer",,,,,,,3252849,7659071,13857011.6972,35407193.1104,192886508.1232,216163751.1665,224565455.1029,87137104.3999,60558876.8341,63556048.1694,52093290.0889,28692675.1319,26252122.4401,28454320.2995,31968329.0235,18799859.3369,23797495.647,9120990.772,13809957.2767,44850083.75
"Services","2+ Offers",,,,,,0,47110707,153400052,277695562.9551,255330758.9506,300249542.3513,496370284.8416,595304763.9814,530195002.1701,602962118.165,572212737.8528,591332598.5346,670230399.4862,472429065.6667,311520943.1781,121732885.2652,169522648.72,72602297.8049,42791923.523,81829119.291,43249757.11
"Services","No Comp.",,79283841,165638973,123413399,277265585,449079913,375108188,645628356,1139589597.3069,996885458.0502,1229101047.413,1265159271.8069,1273275031.2307,3335313409.9137,3535627315.8076,3505163798.2429,2883696456.9994,3156576471.4235,2541168702.2707,2113408083.6755,2319466997.5371,2399158238.0131,2139708313.6015,751209956.5819,755728258.5883,325336277.9
"Services","Unlabeled",,,,,,,,1e+05,,8053828.6102,794994.956,22527570.3594,10873479.5017,1400772.8647,1472448,-15502.48,,,,-18229.0098,0,-7142.8598,,,,
