"SubCustomer.JPO","SubCustomer.sum","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Air Force","Air Force",1127793,207888971,365464460,377935078,405381778,487275573,602017655,802425116,1014107137.5987,1097060128.8611,1529130794.2003,1540124339.7968,1452165079.5982,4451049205.128,4986902299.0424,4562150711.0909,4358807319.6426,4069878073.8748,2587512649.3323,1995800256.7412,1831653210.2411,1914419601.5038,1644255055.225,201789429.9824,341801101.0535,158086157.1
"Army","Army",,,,,,75611332,75336133,352103548.625,916013483.5769,1202087463.4173,1425550318.9746,1508836450.1752,1648591794.6216,1731633318.7484,1605502144.2092,1324871173.8039,1306933011.1005,1237914685.5646,859027857.3512,835056660.3272,912912817.642,1099011458.3961,968907168.2498,952564821.5285,772678200.0691,329016911.68
"COAST GUARD","COAST GUARD",,,,,,,,,,,,2631973.0823,2145565.7727,1834156.39,2016619.77,1319053.53,119624,-215025,,,,,,,,
"DLA","Other DoD",,,,,,,1226963,44431060,20513864,173339170,115050950.7188,346922360.4297,52405037.9559,13575032.0428,3625452.4475,102617337.18,463150794.3827,574384193.4841,977924617.8801,965822676.0375,678087906.4804,1181377572.3353,874600965.4617,880240133.3671,1005058689.7514,498095290.1
"F-35 JPO","Navy",,,,,,,,,,,,,,,,,,,293949125.2604,331202097.24,426319877.96,761058730.66,665336014,857486313,881286731.84,1125536345
"GSA","GSA",,,,,,,,428296.875,3657518.0372,11714173.5879,6715431.1045,7064862.914,4765934.0411,1358863.3166,319864.2119,-1216.76,,-15904.83,,,,,,,,
"HHS","HHS",,,,,,,,,,,,,,,,,5573798.23,,,,,,,,,
"Interior","Interior",,,,,,,969700,-9823,,,,,,,,,,,,,,,,,,
"MDA","Other DoD",,,,,,,,,,,,,,278901026.875,,,,4057904,9855834,13478174.6,15226997.11,14485056.26,13666913.57,13274217.3,14036649.91,-1570057.69
"Navy","Navy",16038300,57118643,151384056,219073551,696436195,1003520575,702590164,983608734.4967,1176983473.2391,1289300555.183,1486960803.9863,1940730946.7009,1701784457.7265,1868206984.6652,1913993453.0938,1686132181.2414,1898743248.9535,1216196696.1828,1191899583.2212,1410817540.5566,1756582901.7935,1859602208.3975,2128171438.5964,1804499447.1101,1694307793.4225,1762170473.34
"Other DoD","Other DoD",,,,,,,,111569,7804739.0996,9899200.5082,9380501.056,-14219263.5943,5638102.9915,67660198.1513,67506641.837,68555177.53,6890247.8147,15309670.9421,493767.433,53165368.2442,-116899590.3244,-59543278.1357,-69572310.9778,-77058097.8663,-56533746.9712,-92766651.54
"Treasury","Treasury",,,,3456000,,,,,,,,,,,,,,,,,,,,,,
"TSA","TSA",,,,,,,,,,,21243078.82,120885653.1875,99984351.8536,86452724.4375,90927100.23,-16461048,-32848483.39,0,,,,,,,,
