"PlatformPortfolioUAV","IsFMS","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Aircraft","0",1017179749,2873075269,6689476191.381,8341273836.8594,7207859118.25,7985464943.2754,8400162736.4074,9591626014.8861,9208560509.4655,10513368550.493,16154409440.8992,48930972973.7959,58041507311.4428,60016396065.6662,48197981083.9437,48460519259.8765,52995086983.8303,64151612059.5867,62758448832.0073,67919632617.612,79550585566.5026,62523934851.3853
"Aircraft","1",96638067,47744731,269638767,263669323,289766564,196482764.5977,489620800.8379,474522781.5105,347474082.303,910459754.2663,1256953307.4321,5031194371.4406,16094845836.0557,9923641526.1158,7661725735.1576,10201882239.3364,19142537694.7759,17825553339.1122,16651874090.3064,17596337399.795,21972621750.4557,9444431452.1517
"Aircraft",,34069265525.53,32866179106.9394,31661336278.7852,39722732609.5973,39932798743.8843,38258250842.1758,44283840120.5986,48674518975.6907,54910693329.9165,51774636640.5571,42955229964.5186,12543640808.0063,,,,450779.4793,,,,,,
"Electronics, Comms, & Sensors","0",750709714.8138,929851071.8207,1974275438.7318,2914934392.2451,3435592011.274,4264958646.5079,5455006263.354,6343515983.5618,8009771287.2716,9779399481.2467,13250448702.1475,46280779685.5794,47445081131.1237,38601621622.8162,38843770520.6502,37097071647.858,40110578819.6913,42946009039.7767,47409955510.7561,50879348697.6313,51766527401.4858,46482360283.4324
"Electronics, Comms, & Sensors","1",58167018,41489882,39973267,92608350,39957815,618679073,302683214.3047,611130216.8474,182669361.7446,156885889.557,375067518.6521,1852595261.4625,1987323796.1704,2331201883.6511,1789894046.6934,2339955233.0661,3039071799.5041,2598063790.9765,3461776224.7946,3888680043.1864,3159596318.0221,2998746469.5498
"Electronics, Comms, & Sensors",,19912875365.9931,21429660538.1951,23844418088.1446,28707578710.3103,33679696152.314,37089052651.9163,39147268463.0917,45260891906.4186,48548024076.9664,45168865286.8511,42299326669.8036,4009193274.6947,,,,1591626.7022,,,,,,
"Facilities and Construction","0",736535431.8696,1120925810.3313,1403838551.7302,1792580637.7368,2700354475.8234,2917493151.8216,2874667788.9839,2952302014.1787,3683724417.0533,10789492162.8473,16799980986.0424,48218546615.7288,48338347316.1471,38330166771.0887,41028014932.0949,36982361021.2834,37286029647.8118,37372067520.8882,45586350032.2138,51375194946.8927,59230848197.1589,50842705035.4886
"Facilities and Construction","1",,1181341,1665974,14891720,35389043,6960150,-2722035,2309580.6948,388045.8105,22011151.0766,293580904.211,414124658.6727,650561650.949,874542287.9502,1210810806.3522,1119763717.1343,1285452095.5685,1056803082.4124,1378557112.4864,640385762.0607,926163643.6766,313774009.8127
"Facilities and Construction",,20067262421.2048,22034655092.928,24657896737.4703,32640798804.5495,32959166695.2963,36655075537.4394,42745493641.8073,43268765883.9814,53641714053.8782,55598920762.7073,44132513174.2426,5892161086.3213,,,,3101474.9966,,,,,,
"Land Vehicles","0",41254188,302762533,793339018.875,4228279601.4073,414770750.4138,2706537705.4115,3755547373.2856,4401944310.1691,3686800700.7532,8248125179.8446,7921841235.1087,16234949830.8153,9616822180.2988,6116696329.6694,5297439674.0449,5336015858.9919,5703430567.1094,6817866535.5607,10620167428.4102,11918646627.5017,11018743459.644,8997719665.0968
"Land Vehicles","1",52870467,1271049,892239,5742912,2275398,34019779,292682594.5,6167837.305,14023885.8899,262845418.1374,1563775999.4306,2597827678.1878,1219806715.0647,1318203759.9093,528146860.0079,2161906629.5332,1649167164.4328,1435437918.1985,2068953219.5054,1128907828.5613,808459842.8592,845315908.6058
"Land Vehicles",,3302142319.419,2993772654.2578,3990526581.4722,5407490117.0267,8097343352.522,12482879808.3825,12081950007.5135,23789726087.4278,36023619873.2714,20321838862.0357,15850477676.1758,745439163.9791,,,,98828.7807,,,,,,
"Missile Defense","0",446946424,1095819241,2656755132.625,2607235156.3438,2804030241.75,2991058328,2901960199,3086107622.78,2935543624.6252,2858223142.8934,2272482030.9672,4165922627.3153,9044042840.5457,9474911791.5171,7522876263.0537,6560488464.6815,7619113241.3322,7910690045.0787,10458890887.4504,8174698248.949,9263401958.8406,8364458229.3205
"Missile Defense","1",720300,,2578406,2113473,,,90000,260365000,-2526658.75,307296609.371,65958007.297,2989907704.2562,2163378558.4505,1333025394.9253,993581474.3404,2818897986.8915,2366728416.768,722520089.2574,2968152785.4311,6654382527.9749,10105143959.6027,3733082175.5376
"Missile Defense",,2546975164,2242562901.3999,2062248873.2031,2399675345.75,3188595206.836,3500814921.1563,3861177737.3287,4961745141.4519,5828783607.0286,7334150001.5152,8204217400.8843,3754500544.0737,,,,,,,,,,
"Ordnance and Missiles","0",655224129,573731661,915016325.3984,1028594125,564555229.3555,567913311.4375,306481046.6587,643108321.9606,1895848494.5256,1699458175.1734,2459307530.1175,13357782024.5153,14022677872.2372,10849608769.3986,10878232935.5763,10789638969.0479,13714741907.5522,13796872852.396,17913707280.8874,19011247189.6509,16797682783.5791,17506225481.1505
"Ordnance and Missiles","1",44828327,50960197,44663976,97190659,85971029,14613306,128487269.7402,183556000.0309,21463069.5891,895884709.2823,834835605.4616,1463809646.3533,1657256305.7176,2191010713.6861,1700377483.186,2461217761.2767,2761307205.2961,4247839749.1468,3747449918.659,3909222777.1482,6944213596.6903,4311016442.8093
"Ordnance and Missiles",,7975200861.275,8487600541.3983,11404131282.9609,12428929139.0499,13441476298.8047,14258311784.7402,14591286153.8593,17080659994.0792,17277842935.3704,15317633204.561,13389932787.5439,604490379.1405,,,,,,,,,,
"Other Products","0",343476699,283880455,636698820,666187037.8203,821514567.7505,1441996278.0271,2734783493.2,1939380348.5337,3027203617.576,2103202300.8649,4240855644.6717,27644328603.4958,34729283065.5635,25671156337.0003,23720604508.2367,20632864258.2447,19011941758.0385,21081232443.7017,24820535883.0516,22931912754.7711,25302789675.6666,53177249583.7319
"Other Products","1",,348580,,41200,,0,,82652,12764176.1902,9847224.3701,91498205.7114,795260717.8594,628549160.8886,792900517.445,547252393.0314,435442107.6844,394307905.8409,495339619.5487,562862210.2289,280718626.5613,205802313.1427,323553900.7396
"Other Products",,8296010079.09,9943781279,12763832405.2415,14876588965.606,17494951727.6442,30389857506.5128,31900868678.0251,32344169888.1411,36061758123.9051,33475757119.4385,24789182509.1723,1567417842.5248,,,,804425.9991,,,,,,
"Other R&D and Knowledge Based","0",413288884.709,755975537.7607,1392534637.4101,2040876827.267,2413915377.5395,3202644753.3674,4138596112.7787,5070748740.7168,6037505140.466,7565317969.5325,9451273240.5602,33868227319.5623,37720719610.8736,33158087210.884,32607150561.3589,31429882540.9004,32028857183.8727,33244036153.7922,36407017304.6576,39859770461.9438,41112590061.1139,41318385966.3457
"Other R&D and Knowledge Based","1",4140582,21820185,42376953,22128232,38556655.1504,46212889,476370315.5586,176033150.2628,79596011.4801,185169833.3537,532659875.9063,707664419.033,2527691121.3779,891428554.1255,975261484.4104,1823075749.6201,1414173205.5274,1470662715.1612,2159839059.9569,2627575246.9905,3018362026.9768,1808614889.9937
"Other R&D and Knowledge Based",,12127893982.3547,11770011529.1415,14571558200.741,16849345259.0012,18616096960.2585,22527528977.8085,24414250523.8364,25285774955.6435,27897334374.309,30985735566.9983,30174928752.8825,5350678831.7941,,,,112097.7071,,,,,,
"Other Services","0",343697895,782098615.2363,1080492995.0351,977053522.6328,808801752.4315,375466463.4992,416470855.5252,502191505.8363,1708725582.511,3027730626.971,6379686846.9295,26915804952.6031,33503730861.5745,30471448972.2843,25487151978.1788,22618558055.7906,23286080532.7914,25631271438.1844,27853135393.096,28892934733.0747,29144305823.6075,28489615855.4599
"Other Services","1",,,,46606,3598025,-727111.3867,3081179,2338267.8398,4930867.2201,7874814.6221,32811991.8371,62998147.8167,140675400.1103,176920361.0516,149083815.6019,332060682.9282,488063744.0121,500629516.966,594623584.7766,569607400.6067,306557008.9169,235184450.6788
"Other Services",,6163198376.1198,6638320009.6094,9464622937.4436,15128247612.0059,19297381010.6027,21838211986.2503,23819284791.6692,23981483894.7785,25717576439.5814,27617713555.617,26615325752.531,9813867241.4214,,,,0,,,,,,
"Remotely Crewed","0",,,34623586,192724665,22579648,220561453,86371646.4339,348776345.0937,166786652.9805,564862886.6699,983319769.1641,3901721453.9721,4250763912.8544,3365337738.547,2404925088.4651,2877609438.0684,3065320523.7485,3786683072.7829,3862652991.4529,4354090720.5457,3713429007.7144,2545915127.314
"Remotely Crewed","1",,,,,,,0,,,,5e+07,15997508.2949,80524573.5293,70387261.46,86437392.46,257819318.3381,267713716.5608,271360127.3756,460918026.9199,719487728.2147,148778374.4515,358866882.1715
"Remotely Crewed",,143837296,156450961,136805142,219480779,375133282.8438,702931978.8437,806716843.1006,1559659446.3797,2251909051.9623,2271846431.2115,2330990688.5824,146278083.0113,,,,,,,,,,
"Ships & Submarines","0",1093941224,1096272305,1003648834.0298,1128530220,832978308.9502,838459167.3404,3151219493.4721,2837932396.5261,2492010825.1206,2237241896.4255,1317916050.7544,21995729749.172,23602275257.2445,22886896617.9256,23633840600.2532,21263298620.8461,23797064368.4807,26830468163.6985,30532906452.7404,32966017619.8292,37370925922.9705,33136876304.9907
"Ships & Submarines","1",11381868,8227626,1835983,444071,14059257,6343993,47527629,126693577,61599523.5,150882222,191550249.3366,437001705.2544,221242278.6733,164381909.3353,170307288.0863,214822760.0625,855570616.9735,377447142.9619,731844761.7875,339784037.3078,2651291405.7052,383127625.659
"Ships & Submarines",,8250568671,11299794568,11690164096.9004,11544319196.0506,13995184141.2134,13193952373.7902,13620889656.0177,14287872273.5603,16799465720.4491,19113337619.1886,16052416834.2973,5956839809.1069,,,,87692,,,,,,
"Space Systems","0",4830809,30782344,471179687,1138137983.2656,929352975,739300522,1176329804.87,710593193.1408,1149860924.0728,978428237.8895,1562561567.7941,9861157154.5288,9554776528.9086,7521234406.4794,7847929548.4751,5924605400.3316,6053167219.0915,6016764250.9764,5919221035.4927,7198659777.0051,7267356397.1629,8892658313.5314
"Space Systems","1",,,5593687,8540607,696449,4178444,4344442,2658332,6258.8999,141488.2393,2520447.5,55153179.855,394553847.5852,49945262.87,1565505.84,38457119.1669,22698495.1907,33814127.7979,26303574.6599,17785503.1308,34249191.7538,28415118.8906
"Space Systems",,3177921315,4123533369,4003849161,4061494319.3945,5196628719.1602,5639971283.2656,6702478842.6979,7353405887.0929,8274891272.3441,9275661973.3366,7524285392.0991,382091375.6187,,,,,,,,,,
"Unlabeled","0",7859918.7425,3886103.1988,8248091.1966,2484885.2692,2757603.746,-31100,5755869.8799,1046359.5312,618905.3066,729010.4726,-53463.281,-105352.8313,-6477.8001,-99723.1206,,30000,3581529.4308,1345607,20204.7109,465885,314555.625,386316
"Unlabeled","1",,,,,,,,,,,,,,,,,,,-233000.0781,,0,
"Unlabeled",,21643433.2661,5939130.7437,75826259.9788,73256114.9048,4320592.0366,3833736.1223,103992424.9278,17001225.5187,-250862.0874,257157.6607,-200456.377,-35472.27,,,,,,,,,,
