"SubCustomer.DoD","SimpleArea","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Agriculture","Products",,,,,,,,,,,,,,,,,,0,,,,,,15063.7197,7675,65656.63,9032,93321,129509.0098,114175.22,255620.2103,710574.6203,599434.9121,1305960.49,2732734.5762,256214.9062
"Agriculture","Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83170.7734,166804,,,,
"Air Force","Products",,74054000,59187000,70118679,3707117,4166420,1924057,422782,8543366,16940128,34668146,30250181,23212885,18975424,109127773,79089538.84,265356086.84,205628795.4339,687465726.38,652264658.6156,524972244.91,1124938901.1076,1098300439.4048,777740626.8166,913423354.71,554575333.5076,1118306349.56,997147982.8574,1094184195.3348,1435507995.6669,1685290345.1404,771886599.4525,958870932.0694,916270316.6055,1015039833.937,106499318.6719
"Air Force","R&D",,,,,,,,,,,,,,,,498030,6240160,,0,31941320,39879728,17428230,49587257,2433000,13975723,638508,863246.35,17434768.0625,57535205.96,149046915.5,96337439.3,111799612.8116,55152661.7375,540153,0,
"Air Force","Services",,425000,105000,143701,,,,,,,,,,28288,466457,3844174,2328982,2221295,24095970,86947305.3695,236718348.0315,97672768.5743,109924735.8047,247088341,347484790.65,340451485.68,77029128.81,353521699.2213,519684887.3311,408990383.8909,609125971.5981,662013142.8381,546526243.1543,41844391.81,46648947.2016,0
"Army","Products",,14104000,28401000,7143174,16909431,23510508,44108023,5045011,2462348,13121564,45487607,79206816,95361244,110220116,220584626,221242102,437491699,461137431,564674478.89,1251131731.1325,989412601.2658,1323976614.0855,1615855385.4973,2295701098.2106,1213930421.5069,1001925724.1475,1090776456.41,763899903.0988,930320966.8143,513049576.8247,906299366.8644,426979562.5392,204891067.3282,342863612.5142,422898874.9367,143648609.5
"Army","R&D",,261000,870000,151345,-2500000,,170373,,264138,209005,,,,-1097007,,608388,10977336,8642111,4299473,-596572,125000,-1e+05,6079772.25,13461768,9842315,,,,-9000,,,,1.3e+07,,,
"Army","Services",,2180000,2215000,3207802,3180051,7376562,3485693,6539521,5538322,7102914,7686993,6148919,434143,553796,616240,76373178,129788414,102586094,195727309,43560714.05,60708462.14,42542523,136081667.5429,82752508,74076705.21,20954701.54,17755257,11505812,356854802.385,460644376.2581,511400384.27,567845292.2206,525399461.1276,417936557.5625,469594308.7968,79687601
"CBP","Products",,,,,,,,,,,,,,,,,,46393718.5,10932154,24233360,0,13690614,33994944.0469,2562237.5,0,-1539568.6,4133.75,25945.05,235000,1066364.875,-34639.21,7203448,3785925.13,7840068.8575,6967572.256,0
"CBP","R&D",,,,,,,,,,,,,,,,,,,,8436739,9002554,9750476,,,,,,,,,,,,,,
"CBP","Services",,,,,,,,,,,,,,,,,,,,,,,,,,18270100.75,25219557.74,,43192656.2266,64498820.565,66596158.84,57215626.1038,80236465.4963,,,
"COAST GUARD","Products",,,,,,,,,,,,,,,,49700000,21450000,16700000,,1480,985401,,,,,,,1433.62,,,,32846.48,19533.89,2243401.9279,943705.1776,0
"COAST GUARD","Services",,,,,,,,,,,,,,,,49700000,,,,,,,,,,,,,,5446308.09,10940457.91,14972563.58,13964837.02,,,
"Commerce","Products",,,,,,,,,,,,,,,,,,,,,97000,,12771,,56780.89,59950,0,,25939.5508,136192,1135830,-296949.5,504997.0607,254553.0095,193954.2302,
"EPA","Products",,,,,,,,,,,,,,,,,,,,,,,,,47579.98,-13890,,,,,,,,,,
"Energy","Products",,,,,,,,,,,,,,,,254409,,20000,0,-28000,,,,,,,,,,,,10995,,32232,482837.1328,376494.5
"GSA","Products",,,,,,,,,,,,,,,,,0,0,0,23717.5605,15660.5903,0,0,0,0,0,0,0,0,0,0,85.31,-85.31,0,3215511.1563,6585314.45
"GSA","R&D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26097831,,,,
"GSA","Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25723732,,,,,
"HHS","Products",,,,,,,,,,,,,,,,,,213014,,,,,0,,,,,,,,,,,,,
"ICE","Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63985,189763.14,391060,0,678578.4882,680352.4063,0
"Interior","Products",,,,,,,,,,,,,,,,,,,,,,15000,,,,,604950,162638,209470.9687,929558.29,712387.26,0,0,286030,819559.6933,967708.4924
"Justice","Products",,,,,,,,,,,,,,,,209000,,,,,,,,317137,0,,,,8094,100296.25,139840.84,811475.19,1976886.1041,1527889.6895,1081044.7364,13811.46
"Labor","Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54523,0,,
"NASA","Products",,,,,,,,,,,,,,,150000,3903482,4809283,1371624,150000,,,,12015,,,6050,150944,171382.8301,24890652,39403965,86217216.31,97841220.46,62986330,17177895.9199,4594516.26,3304669
"NASA","R&D",,,,,,,,,,,,,,,,690200,12487000,9700000,6646526,1272574,,,,,,,,,,3149717,3501123,3350000,,,,
"NATIONAL TRANSPORTATION SAFETY BOARD","Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40044,,
"Navy","Products",54000,29068000,24394566,98235058,203264493,178174105,28191962,31844183,96055674,182982421,33168438,8534478,27051135,5866543,61341167,16868643,56356337,78311309.1006,194919100.7205,170286493.8551,351316327.2298,111073263.8661,202404244.0864,105716612.2051,232209840.34,231787390.88,334446542.44,789335399.4731,716071033.2746,726440218.6032,416894752.6165,661004823.5589,395819646.7624,578947715.7647,572611392.0502,541409071.4414
"Navy","R&D",,,,,,,,,,9470794,7549532,16850988,8647588,36881568,19989179,,14954423,31194577,61474826,133454380,474057404.77,409210207.1641,586048970.125,601904607,552060466.16,304560078.03,297517132,273706029,247063478.6201,136370642.28,371305061.77,476833117.63,112819055.71,54777222.3175,106865594.5781,11523464.2266
"Navy","Services",,,,,293500,96684607,16182303,25999177,474595,8784023,4074681,2845914,1743967,,80000,-811124,,3366877,41561238.3125,53310659.6523,68016478.797,96351440.7261,134484228.8574,158103754.9688,25708293.56,10832259.03,10307863.11,18592747.1907,34166525.8979,188596684.9888,137538547.8056,129538509.2607,107182281.3505,119566424,115504427.6216,35964674.5
"OPO","Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,53552.3594,15016,0,,,0,,
"Other DHS","Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,81890,0,,,,12792,323580.7423,12618,
"Other DoD","Products",,,,,,,,,,,,,,,,,,,2374156,6002654,15862694.93,51139027.3266,85234073.4598,588305.3232,-805384.2,11999952.9,-6072277.95,19577005.2014,16024431.6543,195817477.1603,276808797.4867,49910891.0885,-14025430.1928,-8272691.6505,38484439.8781,-2075154.8733
"Other DoD","R&D",,,,,,,,,,,,,,,,,,,14452036,,-4813.98,-416386.0938,-2155889,,-239167.6199,-304186.23,,-1994156.7188,10579118,0,-323499.2,0,-1360597.7819,-1721057.59,-645042.2656,
"Other DoD","Services",,,,,,,,,,,,,,,,,,,,,75644830,90493868,42152160.25,45797864.8594,54122017.46,13941233.44,10667467.78,-12897.0195,-17552868.6966,109106745.4585,62278823.7343,12767263.4452,-7459610.127,-5514781.5845,-2118616.3673,
"SMITHSONIAN INSTITUTION","Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,77259.2305,,,,,5000,19800,
"State","Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,144491.4,,3639783.7,216760.5205,1213082.5,1367705.5293,2453924,5729776.7031,25191568.9054
"State","Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11827336,,,,
"Transportation","Products",,,,,,,,,,,,,,,,,,,,,,,1e+06,39700,,0,,126947.5,1007571.4175,1085379.4,38400,158979.9453,208150.9031,459611.5832,-117160.1563,
"Transportation","Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4561000,6639250,5443661.9688,,250000,,,
"VA","Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46137.22,,222383.3897,0
