"SubCustomer.sum","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Agriculture",,,,,,,,,,,,,,,,,,0,,,,,,15063.7197,7675,65656.63,9032,93321,129509.0108,114175.2197,255620.2089,710574.6211,599434.9141
"Air Force",,74479000,59292000,70262380,3707117,4166420,1924057,422782,8543366,16940128,34668146,30250181,23212885,19003712,109594232,61933492.8438,269867336.8437,207423919,578099768.0408,515369448.554,723529410.5914,870185347.8594,988890867.4595,632011953.8166,522087984.98,492635799.7076,1076765106.6177,1024987185.1412,1160506950.3923,1511197073.1518,1713559093.5809,795297781.4989,1007451446.1585
"Army",,16545000,31486000,10502321,17589482,30887070,47764089,11584532,8264808,20433483,53174600,85355735,95795386,109676905,221200865,298223669,578257448,572365641,764701257.3496,1249989230.3931,991201199.3395,1280724809.0855,1653603002.4973,2313198324.2106,1218122480.9469,991586291.6875,1134247563.9593,801404780.0419,1138855369.1673,874607417.3124,1361621251.9834,920651533.5239,714855781.203
"CBP",,,,,,,,,,,,,,,,,,46393718.5,10932154,1362058,,13690614,33994944.0469,2562237.5,0,-1539568.6,4133.75,25945.0508,235000,1066364.875,-34639.2109,7203448,3785925.1328
"COAST GUARD",,,,,,,,,,,,,,,,,,,,1480,,,,,,,,1433.62,,,,32846.4805,19533.8906
"Commerce",,,,,,,,,,,,,,,,,,,,,97000,,12771,,56780.89,59950,0,,25939.5508,136192,1135830,-296949.5,504997.0615
"Energy",,,,,,,,,,,,,,,,254409,,20000,0,-28000,,,,,,,,,,,,10995,
"EPA",,,,,,,,,,,,,,,,,,,,,,,,,47579.98,-13890,,,,,,,
"GSA",,,,,,,,,,,,,,,,,0,0,0,23717.5605,15660.5903,0,0,0,0,0,0,0,0,0,0,85.31,-85.31
"HHS",,,,,,,,,,,,,,,,,,213014,,,,,0,,,,,,,,,,
"ICE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63985,189763.1406,391060,0
"Interior",,,,,,,,,,,,,,,,,,,,,,15000,,,,,604950,162638,209470.9687,929558.29,712387.2608,0,0
"Justice",,,,,,,,,,,,,,,,209000,,,,,,,,317137,0,,,,8094,100296.25,139840.8388,811475.1914,1950444.5034
"Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54523
"NASA",,,,,,,,,,,,,,,150000,3903482,4809283,1371624,150000,,,,12015,,,6050,150944,171382.8301,24890652,39403965,86217216.3105,97841220.4561,62986330
"Navy",54000,29068000,24394566,98235058,203557993,274858712,44374265,57843360,96530269,201237238,44792651,28231380,37442690,42748111,81410347,16057519,71310761,110631535.1006,235970183.083,296421362.6207,838113297.2665,519120035.811,749792863.5669,620440702.2051,753089634.69,492574712.97,627518639.8753,854312540.4719,927911046.354,869054549.9448,526600793.2905,781574744.7455,510033833.0729
"OPO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,53552.3594,15016,0,,
"Other DHS",,,,,,,,,,,,,,,,,,,,,,,,,,,,81890,0,,,,12792
"Other DoD",,,,,,,,,,,,,,,,,,,2374156,6002654,15857880.9262,50662850.2328,76509390.9598,652200.2998,-1413858.5199,-11972199,-6072310.1784,20318952.6694,16655042.9069,150213292.2969,278768520.3398,46901943.332,-14373572.0709
"SMITHSONIAN INSTITUTION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,77259.2305,,,,
"State",,,,,,,,,,,,,,,,,,,,,,,,,,,,144491.4004,,3639783.6875,216760.5205,1213082.5,1367705.5293
"Transportation",,,,,,,,,,,,,,,,,,,,,,,1e+06,39700,,0,,,1007571.4175,1085379.375,38400,158979.9453,208150.9031
"VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46137.2197
