"PlatformPortfolioUAV","IsDefense","UnknownCompany","AllContractor","jointventure","TotalSpend","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","TotalPos"
"Remotely Operated",1,0,"GENERAL ATOMICS",0,14925190937.9278,627047072.934093,842324065.898206,1572823455.5144,984406160.963276,826444547.086614,1402304019.54759,1014150503.73683,1597421953.56649,1455646672.12159,2096110090.16161,1265162012.45039,1241350383.9467,1
"Remotely Operated",1,0,"NORTHROP GRUMMAN",0,12755626780.0041,1425472064.53598,1628645476.89664,991434176.428714,958386923.936166,663364439.312508,914833836.976234,1213501433.55169,1228893564.19539,1285986615.50635,950601448.030367,953795336.653492,540711463.9806,2
"Remotely Operated",1,0,"TEXTRON",0,3490704363.47781,609376846.702336,642362701.733293,1002209264.49553,311541782.152962,214097957.424136,293114428.534364,241121296.748559,122329921.371226,25512708.3075796,-9104945.7141546,34960341.232184,3182060.4898,3
"Remotely Operated",1,0,"BOEING",0,2383380779.49304,37557590.1244135,141636646.328046,15432627.6016106,134797580.202785,192908646.032792,287422016.845649,308179631.306207,324658749.088009,395962092.144866,360647167.652722,106881019.412837,77297012.7531,4
"Remotely Operated",1,0,"AEROVIRONMENT",0,1157516347.88272,189498167.881303,291615306.273689,159171024.751008,103526919.391988,99546775.8593823,78004444.4734636,21188113.4137226,16635666.9075018,31318829.0544246,65040325.9200452,34132410.2304878,67838363.7257,5
"Remotely Operated",1,0,"RAYTHEON",0,1081951558.9761,140089568.315429,128346574.841849,56451161.9891886,34849437.3732307,10322548.6024017,67452568.0245626,108855834.214079,24180944.7483,246915565.947998,181126434.555474,21273839.0237868,62087081.3398,6
"Remotely Operated",1,0,"KRATOS DEFENSE & SECURITY",0,349731229.053126,,148382.14776419,,51641526.5756793,11578692.4186369,31312699.0571615,26912891.3071095,69967012.0417412,26040907.7287884,27630322.5173173,29992123.0089276,74506672.25,7
"Remotely Operated",1,0,"NAVMAR APPLIED SCIENCES",0,273444493.853925,,,46880031.496204,78119999.0123848,106216446.962247,15340021.4230946,16435822.1449597,1695074.69537282,6162164.7491062,2594933.4116108,-0.0410553433243489,,8
"Remotely Operated",1,0,"Composite Engineering",0,221973739.241228,85709255.1079044,73741200.6479324,62523283.4853912,,,,,,,,,,9
"Remotely Operated",1,0,"TCOM",0,190888406.860981,15771.8973097361,104293983.566115,65318441.1300448,22264627.2110614,0,-923310.655742803,-81106.2878075042,,,,,,10
"Remotely Operated",1,0,"ATK",0,176635870.721373,40504541.4032791,45816508.8588625,36613150.6328198,23790380.3485321,29911289.47788,,,,,,,,11
"Remotely Operated",1,0,"GENERAL ELECTRIC",0,172187448.273771,,,,,,537342.309370734,,58091.865097506,,171592014.099302,,,12
"Remotely Operated",1,0,"GOODRICH",0,163582488.408643,,44754.2287516304,,,,,12990037.8350605,62570530.0168489,50635178.0061969,31082603.6951263,6738278.62665898,-478894,13
"Remotely Operated",1,0,"BAE SYSTEMS",0,144634813.275961,34924228.0938638,21868958.6751902,4497394.86184954,5669650.30811922,555587.523540925,2474606.3186699,1380203.80247349,-305669.006503902,-233851.112845644,38868946.7165303,21699139.6966735,13235617.3984,14
"Remotely Operated",1,0,"AURORA FLIGHT SCIENCES",0,125543300.379969,,5873098.79365898,33171289.061005,47793286.1943424,11738155.1335958,18672218.7374949,5235369.61554685,2591220.48404125,421537.371595225,47124.9886890864,,,15
"Remotely Operated",1,0,"L3 COMMUNICATIONS",0,115122238.306154,-86829.8413818117,,,,,592120.750205915,,38021420.3159321,19272694.3493203,22227925.137088,18248517.6349897,16846389.96,16
"Remotely Operated",1,0,"GENERAL DYNAMICS",0,101399703.085844,,45782198.1485345,49092478.0715912,9291213.69530731,-452765.647308102,0,6074.05218630338,-322719.569880594,-1996775.66458625,,,,17
"Remotely Operated",1,0,"GRIFFON AEROSPACE",0,64594699.8428314,878915.408053385,699924.30793089,632859.834237651,574064.522933648,1468420.45502534,167689.843540794,99295.0470550228,1928569.81428143,16098539.4631442,1206439.08682449,22403149.2316046,18436832.8282,18
"Remotely Operated",1,0,"ROLLS ROYCE",0,54588148.057626,,,-924320.000161756,55763942.1694799,0,0,-46074.1243212151,4059.70499849791,0,-182809.481469392,,-26650.2109,19
"Remotely Operated",1,0,"TRW [NORTHROP GRUMMAN]",0,48912709.5263597,,49175475.3931521,0,0,0,0,-262765.866792358,,,,,,20
"Remotely Operated",1,0,"HONEYWELL",0,46703461.0900905,27604839.1118281,18085609.7589751,-227332.153265543,-518058.473085174,45748.36801516,1484707.40266285,-4011.94483200426,53833.2031620817,0,353554.704028885,-78588.4107989483,-96840.4766,21
"Remotely Operated",1,0,"GOLDBELT",0,43792243.0211826,,,,,,,,,,,6230166.31118265,37562076.71,22
"Remotely Operated",1,0,"CAPE FOX",0,43789221.0406772,,,,,,,,,11323245.028178,11909422.952618,10335859.2198811,10220693.84,23
"Remotely Operated",1,0,"ORBITAL SCIENCES",0,42218330.6330821,38289806.7215239,958109.867559592,3005068.30652589,-120717.164914158,86062.9023868462,,,,,,,,24
"Remotely Operated",1,0,"Orbital ATK",0,37961970.3717517,,,,,,38238613.0952275,-72160.9578872517,-204480.870425342,-0.895163253906492,,,,25
"Remotely Operated",1,0,"UNITED TECH",0,37913826.282249,149029.959946447,5658622.51544152,-426236.303274591,,,,,-394200.543604146,0,15899975.3725856,16614235.2811542,412400,26
"Remotely Operated",1,0,"SIERRA TECHNICAL SERVICES",0,37275211.6473992,,,,,,,,7839264.32834947,11375056.3313448,16761595.706405,0,1299295.2813,27
"Remotely Operated",1,0,"IRON BOW TECHNOLOGIES",0,37047549.9361788,,,,,,,,3229078.55455924,953700.986295136,9705735.68929471,22337808.3310297,821226.375,28
"Remotely Operated",1,0,"NEANY",0,36172025.2217611,0,4282029.84577828,-541708.567969799,,,,8655987.71280427,7744989.00213435,11226837.2987076,4803889.93030634,0,0,29
"Remotely Operated",1,0,"MAG Aerospace",0,29493585.5371793,,,,,,,,9212659.28659132,,11924373.0934741,2982533.15711381,5374020,30
"Remotely Operated",1,,"009260337",,24380535.2481837,,,,,,,6190429.03106632,6041534.27776463,6090720.6183549,6057851.32099789,,,31
"Remotely Operated",1,,"967912853",,23778631.7654875,,300029.428364266,36204.4590063358,1350014.97468804,7542983.97203531,909463.498381039,426955.362842358,2244554.26555351,1655820.02410291,-205542.232419479,1538083.01293324,7980065,32
"Remotely Operated",1,0,"LOCKHEED MARTIN",0,21489546.8587013,,,,0,0,,6792.12042870753,1339237.69899548,14447913.39417,5388597.21633467,316434.058672419,-9427.6299,33
"Remotely Operated",1,0,"FLIR SYSTEMS",0,20529282.9745558,,,,,20398587.0081444,,,,130695.966411429,0,,,34
"Remotely Operated",1,,"780539479",,17605062.9773493,,14587495.4832035,4199689.89745681,160207.476939269,-95342.5338210636,,-1246987.34642919,,,,,,35
"Remotely Operated",1,,"107928806",,17274146.235223,,,17274146.235223,,,,,,,,,,36
"Remotely Operated",1,,"046284019",,12618991.6547767,,,,12595105.1726204,23886.4821562761,,,,,,,,37
"Remotely Operated",1,,"969615132",,12197580.4042457,,,,,,,,,,,6103484.40424566,6094096,38
"Remotely Operated",1,,"168834591",,11336051.1093887,,,,,,,,,0,,2410083.10938867,8925968,39
"Remotely Operated",1,,"800577590",,10984589.3246923,,,,,,,,,,5869226.22321603,4950453.85537627,164909.2461,40
"Remotely Operated",1,,"078534881",,9789151.26788326,,,,,,,,,,10114689.7500556,-352389.301972301,26850.8198,41
"Remotely Operated",1,,"171834179",,8200462.64840808,8200863.24513651,-57.2811723698325,-343.31555606008,,,,,,,,,,42
"Remotely Operated",1,,"967645446",,8159561.13635072,,7245019.97569869,653200.76851431,245089.595283396,22426.2422449788,,-276.779483839748,-5898.66590681749,,0,,,43
"Remotely Operated",1,,"046265960",,7570951.86005495,,,,,95948.4348209173,,-536.035105441273,,274005.808778295,5900514.59765065,1161825.25701053,139193.7969,44
"Remotely Operated",1,,"017949918",,7531079.98533612,,,,,,,,,,,3958343.48533612,3572736.5,45
"Remotely Operated",1,0,"SRC MANAGEMENT",0,5847377.92309633,,,,,3811508.06635098,749494.227247289,1286375.62949806,0,,0,,,46
"Remotely Operated",1,,"232267690",,4545338.99521476,,,,,,,,,,4526476.11772438,18862.8774903721,0,47
"Remotely Operated",1,0,"CAE",0,4196872.22054436,,,,,,,,,,-8110.7341643772,2714385.31410874,1490597.6406,48
"Remotely Operated",1,,"080313197",,4071776,,,,,,,,,,,,4071776,49
"Remotely Operated",1,,"150649275",,3985828.44951403,,3775962.39690216,,0,43097.631034288,166768.421577578,,,,,,,50
"Remotely Operated",1,,"144521890",,3480094.48163645,,3480094.48163645,,,,,,,,,,,51
"Remotely Operated",1,0,"ROCKWELL COLLINS",0,3406004.53344773,0,,,,,,0,,3406004.53344773,,,,52
"Remotely Operated",1,0,"BATTELLE",0,3320596.76636105,,,,,,,3320596.76636105,0,0,,,,53
"Remotely Operated",1,,"671105069",,3235414.29333359,,,,169744.231931793,0,,,,,3065670.0614018,,0,54
"Remotely Operated",1,,"782828045",,3235307.00442182,,,,1576049.25053017,363195.112437324,965717.650247752,32168.3688072889,106706.639960519,174716.525348807,16753.4570899556,,0,55
"Remotely Operated",1,,"626642110",,3216008.93445667,3216008.93445667,,,,,,,,,,,,56
"Remotely Operated",1,0,"HEWLETT PACKARD",0,3016144.87615575,,,,,,,3016144.87615575,,,,,,57
"Remotely Operated",1,0,"STERLING COMPUTERS",0,2929630.61770742,,,,,,,,497855.378457794,,2410113.2392429,21662.0000067187,,58
"Remotely Operated",1,,"877477604",,2908627.3923993,2683896.52290654,172128.65119504,56378.8984098663,0,-3776.68011214453,,,,,,,,59
"Remotely Operated",1,0,"LEIDOS",0,2853772.7544038,,,,,,,,,58961.4196573076,2794811.33474649,0,0,60
"Remotely Operated",1,,"004627316",,2738761.56636178,,,,,,,,,2738761.56636178,0,0,0,61
"Remotely Operated",1,0,"CURTISS WRIGHT",0,2516076.13295352,,,,,,,,,2054970.20108095,10472.2197086859,450633.712163884,0,62
"Remotely Operated",1,,"968506464",,2511581.43964667,,,,,278928.560576273,,,761482.719718251,573281.729871444,,398973.148180701,498915.2813,63
"Remotely Operated",1,0,"SIERRA NEVADA",0,2434564.4960324,,,,,,,,,,,827422.214732405,1607142.2813,64
"Remotely Operated",1,0,"ALION SCIENCE & TECHNOLOGY",0,2376277.76414875,,,,,,,,,348675.212200581,398895.864656681,1628706.68729149,0,65
"Remotely Operated",1,,"809968902",,1928678,,,,,,,,,,,,1928678,66
"Remotely Operated",1,,"182737262",,1879163.5352075,1879163.5352075,,,,,,,,,,,,67
"Remotely Operated",1,,"080943022",,1810398.12457435,,,,,,,,,,,1226425.37457435,583972.75,68
"Remotely Operated",1,,"968402789",,1799353.46933424,,,,,,,,1799353.46933424,0,0,0,0,69
"Remotely Operated",1,,"603055885",,1793095.98580048,,,,,898934.39119742,894161.594603063,,,,,,,70
"Remotely Operated",1,0,"WORLD WIDE TECHNOLOGY",0,1764471.15688005,,,,,,,,,,,1764471.15688005,,71
"Remotely Operated",1,0,"CANADIAN COMMERCIAL CORPORATION",0,1671902.61512932,574436.146893751,1002051.83444551,165590.772628978,-70176.1388389156,,,,,,,,,72
"Remotely Operated",1,,"004279428",,1671627,,,,,,,,,,,,1671627,73
"Remotely Operated",1,0,"SERCO GROUP PLC",0,1650471.782,,,,,,,,,,,,1650471.782,74
"Remotely Operated",1,0,"UNICOR",0,1589251.10537927,,1590415.96925396,0,,-1164.86387468869,,,,,,,,75
"Remotely Operated",1,,"166654298",,1433980.78510628,,,,,,836518.96858737,1078178.62358304,-480716.807064135,,,,,76
"Remotely Operated",1,,"183354356",,1390867.86060911,,,,,,,,,,1390867.86060911,,,77
"Remotely Operated",1,0,"TOYON RESEARCH",0,1389650.80948583,,,,,,,,1389650.80948583,0,0,,0,78
