"PlatformPortfolioUAV","SimpleArea","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Aircraft","Products (All)",,-386330,65037971,23052882032,21511414837,21052690761,19506225857,19554277562,15730936401,18482263938,15533203163,16520087756,19166617510,26002665710,27031090289.8691,28136130949.4209,32770173519.3394,32533088243.3886,30710986772.0641,35371880720.2598,40273064430.6643,44886979485.5325,42591167116.4732,40549025776.4013,47495897958.0683,52473579492.8444,52062270341.7274,39127179304.0425,41343916755.1278,54333374735.5282,62765988298.6688,61811972728.9645,66554274726.2533,81721149762.1551,50814877796.319,53018012574.2638
"Aircraft","R&D",,,-2013000,4868882000,3371554120,4294373445,5649581566,5905473644,6072222735,5531667702,4705839074,5023149000,4233322505,3813692079,3967569138,5362328540,8213612917.0431,8837660143.1522,9202867485.6563,9775651770.5828,9490105196.6682,8403063837.6738,8480684335.8875,8168894757.3504,6680124315.3761,5876833977.1173,5090757940.7493,3272552105.8022,3668015527.9985,3691576489.8847,3793459070.4371,2981447055.0251,3949851393.7347,3877615270.6055,5730244385.4272,7198631362.7769
"Aircraft","Services (Non-R&D)",,688000,19731000,2941524116,5564180732,4932815473,4542284438,4785309836,4921542484,4780689237,4590793004,4757093221,4025843400,5472865656,5001503958.0703,5356161735.6252,7890375693.0742,6067564467.5935,6526838671.3285,8027294594.0013,9069712174.5805,11239840650.3704,12167798343.2984,11681403865.7537,12371691544.5939,15829031838.8634,12818098293.1161,13497199147.2916,13652893412.8464,14114045660.5003,15419196147.0198,14616799177.3018,15149549968.395,15999971800.1977,15578473695.031,16260312893.206
"Aircraft","Unlabeled",,,,,,,,,,,,,,3806.53,0,9511.1201,0,,,,0,0,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","Products (All)",,1969000,89028975,11699009314,10034897897,8461193309,8118370823,7377671417,8418494003,7994256447,7565532940,7416620035,8226211165,8681131253.0859,8960464212.297,10510849589.0052,13810556321.528,16070578164.2425,18687612311.4302,20759820157.2243,23545613303.7237,25850610753.6501,23688841962.6753,24677522415.658,21214000889.5802,21414406708.7731,17485445003.4537,17977595150.3713,18269699475.8602,19616546061.8928,21240901172.6811,23522508515.0666,25095458539.7441,23182530624.5056,20822198733.1803,23667861528.5913
"Electronics, Comms, & Sensors","R&D",,,11156000,3496343000,3622929283,4153287352,3482315325,3577943186,3460602818,2958258322,3670501831,2916880058,3295863082,3147205652,3680006172,4319777670,4401922142.3125,4933137235.4425,5818433246.006,5325664350.0517,6748029675.1042,6677839151.3893,6785132004.5602,7551740314.0299,7653675475.2838,7117960081.2846,5376092664.8985,5754892709.2184,5452296487.3618,5785495479.0349,6048656172.8904,6890722784.3277,7264208497.4127,7076628261.5562,5780077673.9111,5788635210.6663
"Electronics, Comms, & Sensors","Services (Non-R&D)",-171000,91000,30342000,4469606580,5584347553,6666940416,6599258489,6647814419,6766151075,7141373935,7114767630,7062770242,7954590131,8790841483.721,9551593856.7188,10803402080.8712,12957289405.7149,16143642150.903,17466150434.988,18818270006.4744,21829681098.1742,24148858769.0515,24589991840.0766,23662541675.6035,23232986192.0771,20856945975.9098,18040196854.3043,16863952969.7189,15714649127.1238,17746236870.9607,18253037367.7549,20458615641.6592,22409470470.6849,24668069093.4461,22878830345.8908,24046555850.4217
"Electronics, Comms, & Sensors","Unlabeled",,,,,,,,,,,,,,,13342,,0,,,,,0,,,,,0,,,,,,,,,
"Facilities and Construction","Products (All)",,44000,15657000,1680112769,2119413788,1829180220,1635053021,1577483159,1671114916,1463590014,1406219609,1292091230,1575972380,1668613630,2072508343.2202,2697613090.4118,3963849673.4783,4590311359.7673,5278485921.4666,6227136852.4949,6439818924.4898,7467054476.0888,7950301225.3057,8038192005.8425,8015968857.6265,6052159584.7874,4403364850.409,4676833342.6827,4677891592.2446,4597662473.8648,5448309765.1018,6210191484.5009,6057273966.0372,6138964590.7731,7714580278.2223,7541275298.8653
"Facilities and Construction","R&D",,,,239164000,132549000,132305021,126360814,129802701,204040691,137014270,199495582,96285559,103560574,97217148,113004678,116022055,50280861,53824876,186735727,97869646,96479634.2735,97993600.856,95508434.0991,99348987.1252,103001789.2683,70312611.8585,42820708.56,52370509.82,56077095.9262,63381457.4414,75439449.9234,73427874.1151,55898391.1678,80585925.1469,73955945.0566,25064052.2171
