"SubCustomer.sum","IsOTA","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Army","Contract",0.000603220974270077,0.0242267992718091,0.0588970975588716,0.108954246820435,0.0806890804834708,0.0193341521396204,0.028959517022766,0.0459274465044045,0.115338912021365,0.076067941066742,0.0800863679723
"Army","OTA",0.142742776178063,0.0769590041145238,0.0136706763971913,-0.00275437088891028,,,0.000910149999663245,0.0121878380946356,0.0163421544299263,0.0258297511049473,0.01109767168
"Navy","Contract",0.0739236349414275,0.0304455372873143,0.0279361334046394,0.00276435461464602,0.00283885270649399,0.00151124664597461,0.00171774872592543,0.0579627408280081,0.00943527953413861,0.00283669669263912,0.0015424461062
"Navy","OTA",,,,,,,,,0.000415221825422021,0.00728585859568595,0.01389085608
"Air Force","Contract",7.69364592923557e-05,0.00019656943646376,0.00429533767699102,0.000315649539008015,0.00120270089757013,7.91954431955066e-05,0.00409403718519521,0.0181743613898953,0.0284383627971102,0.0511754793631381,0.0577274468787
"Air Force","OTA",,,,,,,,,,0.0015386514036339,0.000584095
"Other DoD","Contract",,,,0.0203985870081444,0.000124413148371241,0.00561074531000069,-0.000369016538660464,0.0139750004331951,0.00155024373175053,0.00443789433622623,0.0022494038701
"Other DoD","OTA",,,,,,,,,0.00378830244073375,,0.004576313
"Civilian","Contract",2.91953760715334e-05,0.000383824711608549,0.000127633843637316,0.000233027304345756,0.000857777425136081,0.000630444388198869,0.00190640897218763,0.00447219692969234,0.00257346134584479,0.00237772996378979,0.0034512902039
"Civilian","OTA",,,,,,,0.00203624492414659,0.000852490416637965,0.000837496889790017,-1.4481245974081e-05,5e-04
