"TopAgencyText","SWpsc","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"DEFENSE HEALTH
AGENCY (DHA)","ADP Hardware as a product",,,,,,,,,,,,,,,0.0267871492022401,0.0499316298569482,0.104372138387663,0.0967889306234999,0.0714693788889516,0.0530936356884186,0.0975892424498593,0.00208962230319894,2.11764707e-05
"DEFENSE HEALTH
AGENCY (DHA)","Annual Software Maint.",,,,,,,,,,,,,,,0.00666654340165925,0.0195422876081579,0.0247200251600907,0.0684786327169702,0.14057063127285,0.19631803799884,0.209749254550435,0.10949211878937,0.0786874923722
"DEFENSE HEALTH
AGENCY (DHA)","Other ADP Services",,,,,,,,,,,,,,,0.000463772771810897,0.00152439013992496,0.00182917887856168,0.0196474380905972,0.0165518794930884,0.0455822234042439,0.0392385103122468,0.3287354607612,0.5600700666936
"DEFENSE HEALTH
AGENCY (DHA)","Software as a product",,,,,,,,,,,,,,,0.067092413188826,0.0551245971265526,0.0516041470889095,0.0452099681341352,0.424213356035881,0.652543224753484,0.564047238883841,0.53768143161251,0.7040401940061
"DEFENSE HEALTH
AGENCY (DHA)","Software Development Related",,,,,,,,,,,,,,,0.0275582929424181,0.082826711633868,0.184635549028701,0.180566482207987,0.159205202262964,0.194865026748505,0.229011479972885,0.0599774170681499,0.0241794557654
"DEFENSE HEALTH
AGENCY (DHA)","Software/ADP Hardware as a product",,,,,,,,,,,,,,,,,,,,,,0.10638087186323,0.1487201921789
"DEFENSE HEALTH
AGENCY (DHA)","Teleprocessing / Cloud Computing",,,,,,,,,,,,,,,,,,,0.00160523223916847,0.00556568279038257,0.00719059084638504,0.011775054073446,0.00361
"DEFENSE INFORMATION
SYSTEMS AGENCY
(DISA)","ADP Hardware as a product",0.242411787642596,0.0817277797295727,0.242594201358796,0.141198819039919,0.315939925172352,0.248800904371139,0.186536190660005,0.26929133463586,0.284671629702866,0.223464672193712,0.379086323975579,0.219047629104927,0.233943316714066,0.370298496477792,0.367171394041461,0.328691452388557,0.395352106280842,0.280707487827139,0.402358189254449,0.576761727703266,0.542601575475924,0.0369103837370998,0.0055523531649
"DEFENSE INFORMATION
SYSTEMS AGENCY
(DISA)","Annual Software Maint.",,,,,,,,,,,,,0.000590493125458634,0.00245786938764738,0.120743072918869,0.131805862921298,0.0481140665607548,0.0743801307350214,0.117012976578805,0.538071379235726,1.19670501205158,0.507566749150442,0.0652103170924
"DEFENSE INFORMATION
SYSTEMS AGENCY
(DISA)","Other ADP Services",0.0135519487182793,0.0190286839735428,0.0615876761488581,0.0808407635385813,0.0543568857091539,0.0629802551071548,0.035375883720206,0.0373946910843204,0.00913257515608572,0.00118862374441518,0.000464669268252783,0.00101097496069051,0.00314485020623984,0.0130474403728283,0.00985698424400963,0.020005750958265,0.0236841081719239,0.0443244052486212,0.0347378325507351,0.0744890396833441,0.0926694577604066,1.8281802064586,2.6198216507314
"DEFENSE INFORMATION
SYSTEMS AGENCY
(DISA)","Software as a product",0.0976359785080113,0.119430701183162,0.0968701655348375,0.0904866800132962,0.107240878869724,0.0615223385361826,0.196822038929315,0.209451966003129,0.261740046502202,0.379567175818033,0.314091466182699,0.415688710280994,0.37849400483072,0.489806673201481,0.654842210995715,0.751751320697083,0.725514097079092,0.914077207321552,0.5580785901772,0.497530192860888,0.255981278104928,0.295912675646206,0.3644382065212
"DEFENSE INFORMATION
SYSTEMS AGENCY
(DISA)","Software Development Related",0.205570156638727,0.253807280513838,0.163820391133176,0.154821595468734,0.163007190846945,0.0414125460838222,0.0934939993365151,0.0125431595950762,0.0233662751867281,0.0167074904013872,0.0211358721645507,0.0240367495882759,0.0159816705741822,0.0459484855479261,0.0746292124360849,0.0682134442269548,0.107129961584308,0.140641503917793,0.151597461243093,0.131138402114168,0.173622303731767,0.148252061549272,0.1302026435361
"DEFENSE INFORMATION
SYSTEMS AGENCY
(DISA)","Software/ADP Hardware as a product",,,,,,,,,,,,,,,,,,,,,,0.604888569000705,0.5159090135289
"DEFENSE INFORMATION
SYSTEMS AGENCY
(DISA)","Teleprocessing / Cloud Computing",,,,,4.07718083992752e-06,,,,3.88947341852645e-06,7.70069287483085e-06,7.63429379082015e-06,7.48347372970232e-06,3.67438553929893e-06,0.00178910896541105,0.00187296096673477,-6.03216447711671e-05,5.3404382771318e-06,0.000703630129707713,0.00319357000049772,0.0265067438439267,0.0605823047598089,0.0381507807232288,0.0025619657781
"DEFENSE LOGISTICS
AGENCY","ADP Hardware as a product",0.222128159804491,0.134679626886525,0.0802724377912827,0.0885937741280753,0.163346969889477,0.0671521249545572,0.0871868606451448,0.0728631015178313,0.0580769460811556,0.080048260504549,0.0968964688144801,0.0927564148705423,0.208905268368441,0.142807679692832,0.205500698517332,0.315964618109736,0.277469330670178,0.248913200947388,0.309271901143411,0.266327022908122,0.293579855503316,0.0369574162277113,0.0108932416054
"DEFENSE LOGISTICS
AGENCY","Annual Software Maint.",,,,,,,,,,,,,0.00115185834145385,0.000389234344598639,0,7.2983336660281e-05,0.00253849440292659,0.00128201133741187,0.0153475526798859,0.0144823641689861,0.00365790416887032,0.00202963234847155,0.000108427247
"DEFENSE LOGISTICS
AGENCY","Other ADP Services",0.145743778465831,0.212463809376539,0.214922750967732,0.317606570212759,0.370677456841717,0.13292505854305,0.129558478025009,0.0446028538750846,0.0437149236844938,0.0541738531560633,0.0677307396364846,0.297207995842504,0.0329759675282493,0.0185775082631468,0.00795252055033836,0.0129448385698543,0.00490886254026025,0.00288150027957862,0.0133640519939985,0.00739661965565593,0.000382485333084088,0.258672553122678,0.5710025462859
"DEFENSE LOGISTICS
AGENCY","Software as a product",0.0277228335309937,0.0328541384753098,0.0640686928225446,0.0560258836863463,0.0709252381733308,0.0437128250702385,0.0709920454869171,0.0250022974317291,0.0456341794557633,0.0560936074553769,0.0355008285801528,0.0553860783342486,0.0801484065395822,0.058484140339078,0.05039314876561,0.058439858817153,0.081763436723275,0.0256412609552877,0.0254035264525723,0.0327208793076811,0.0842279957459975,0.0959482029812517,0.0871227552002
"DEFENSE LOGISTICS
AGENCY","Software Development Related",0.044659722161969,0.0616221836622308,0.0256677004972505,0.0579727776399618,0.0875862620871641,0.532427692025049,0.626015923414651,0.30354115543151,0.429730013196016,0.428662814208266,0.603572777522479,0.532495500527514,0.4388027081924,0.509850185127055,0.287992589678751,0.395264120586322,0.467956238592664,0.480785870337502,0.378601603775988,0.263705529549566,0.287135832874661,0.14630264866932,0.0383840868139
"DEFENSE LOGISTICS
AGENCY","Software/ADP Hardware as a product",,,,,,,,,,,,,,,,,,,,,,0.173889169413175,0.192818782326
"DEFENSE LOGISTICS
AGENCY","Teleprocessing / Cloud Computing",,,,,,,,,,0.000377105619573403,0.000128302603829596,0.000151411463898534,0.000263062732749808,,0.00101691942342258,,,-5.84361949247365e-06,,,,,
"DEPT OF THE AIR
FORCE","ADP Hardware as a product",1.08001536575305,1.02132612167995,1.03187648122173,1.22478761998444,1.13620593133319,1.02862321917032,1.06480220790257,0.993322063743915,1.03327855056132,0.895002389034091,0.745307714395135,0.823903000960244,0.650981044314974,0.395302088200494,0.652165767045635,0.801054751317193,1.2855768917616,1.32881559991973,1.19255892831293,1.13093574440945,0.998712193698789,0.1607286126863,0.0233507861435
"DEPT OF THE AIR
FORCE","Annual Software Maint.",,,,,,,,,,,,,0.0181442393097356,0.0459984543956785,0.0237787725504628,0.021017415433525,0.0196791470826047,0.0177109535324704,0.0179475612864729,0.0169701612688543,0.0466269616006361,0.0366052888777957,0.0274518959056
"DEPT OF THE AIR
FORCE","Other ADP Services",0.400973915217829,0.49210280081571,0.451836644712818,0.459682776085921,0.454893859215883,0.367516441978486,0.36432148250285,0.24645551110137,0.194029645363778,0.235746097587188,0.168651423618176,0.0915119273367075,0.0686321535776897,0.0612674875771255,0.130679355107253,0.168691138172637,0.243059967142762,0.353286345233616,0.488261331273837,0.38091310732639,0.245709451702239,1.19086978076843,1.8117612860517
"DEPT OF THE AIR
FORCE","Software as a product",0.231124972890069,0.262372784198313,0.336505695198615,0.371221062847616,0.297059407600201,0.287182632306374,0.308941626409088,0.264888883245384,0.264244436360415,0.296759808091706,0.44287998003375,0.450049276873585,0.499924945843552,0.304396160958594,0.463730802302093,0.44562764422834,0.482303073285964,0.641683760734183,0.737812179418267,0.849206756932852,0.986030949993064,0.807597761765709,0.7639424460881
"DEPT OF THE AIR
FORCE","Software Development Related",0.860775172019911,0.918190273192192,0.911867141049692,1.18015865891435,1.37727604734349,1.55494927258996,1.50468809760211,1.39940189589139,1.54246010014899,1.42805771128753,0.920832108874709,0.82408852041664,0.746730542824186,0.63596862067345,0.627963869338647,0.532143863896602,0.768281808055714,0.690021979816134,0.879406567040644,1.14780252654678,1.31989095078591,0.747953659779864,0.5735405589166
"DEPT OF THE AIR
FORCE","Software/ADP Hardware as a product",,,,,,,,,,,,,,,,,,,,,,1.00704874702879,1.0282165318386
"DEPT OF THE AIR
FORCE","Teleprocessing / Cloud Computing",,,7.30095830555847e-05,,,,,,,,2.98531023672476e-06,1.89052604770936e-05,0.000181195482352928,2.47333791503518e-06,0.00295292868837657,0.00114931389656058,0.00269325290042509,0.00404047584806235,0.00412593199228001,0.0157873817957422,0.0362100068818966,0.0335735679072943,0.0283064264178
"DEPT OF THE ARMY","ADP Hardware as a product",1.18135039040772,1.14747859845677,1.20821243910481,1.74373318894417,2.30631491559217,1.80618180657703,2.00377476740354,3.13018473296599,3.70861287042031,3.15147574270846,2.32524072471933,2.01569109568629,1.84603609504829,1.13742821450494,1.38349394845581,1.14984284366257,1.16425875526303,1.44534093206563,1.22479105214936,1.05767921620648,1.07906083699601,0.141050955425361,0.0677172957538
"DEPT OF THE ARMY","Annual Software Maint.",,,,,,,,,,,,,0.025856764467968,0.0872633430206106,0.107722247368254,0.112088251245077,0.0978885059344554,0.070034593760724,0.0491279982938106,0.0436729691785821,0.121524141073126,0.0770593596833641,0.0852012102119
"DEPT OF THE ARMY","Other ADP Services",0.384917789728956,0.469277108255605,0.369930398132129,0.363522634040142,0.381741606247116,0.255139992546815,0.122595790031054,0.0964482564237609,0.0951247558435316,0.0655124305191649,0.066655261880586,0.043752783615003,0.0464859694595622,0.081894909612478,0.0325721362620834,0.0836171478816321,0.10410629549016,0.0733720118671009,0.0565197807088233,0.104656022972795,0.164042957384751,0.658924317231321,0.9291995864892
"DEPT OF THE ARMY","Software as a product",0.268375148899138,0.23841845031949,0.307641119787947,1.00329323224187,0.326873725079608,0.499863359984802,0.803513752473449,0.858710331929162,1.29463548557221,1.48518000362068,1.4873042649448,1.38638970867481,1.07183626777741,0.702564758563839,0.638402754248394,0.827086005922292,0.709471025446135,0.689069930540705,0.740718555167724,0.847439543598724,0.834413156819807,0.473348556010935,0.5009830773712
"DEPT OF THE ARMY","Software Development Related",0.69147300949159,0.585408632863536,0.787218962859777,0.624044869519605,0.599482668256931,0.673745041565295,0.529518884809388,0.728368336068675,0.869655926798804,0.989833190782632,1.02609384339926,0.951191276807873,0.937662777955277,0.707626429115331,0.764683443549299,0.8507320763182,1.01408614996152,0.943908351263876,1.19542411223275,1.21365975167005,1.11466411645106,0.649096627276272,0.2983446216295
"DEPT OF THE ARMY","Software/ADP Hardware as a product",,,,,,,,,,,,,,,,,,,,,,1.27569615503193,1.5155759226712
"DEPT OF THE ARMY","Teleprocessing / Cloud Computing",0.000503776550867779,0.00310076636237217,0.00886966500773524,0.00730865171161971,0.00171439132531805,0.00201667446305172,0.00112344044618675,0.000163608299533271,1.11388529466736e-05,0.000447736139972709,4.01014567485847e-05,0.00022680774037747,0.000597574125659573,0.000404858457307984,0.000716619344849781,0.000456941242772381,0.0186342506553071,0.0477184957263075,0.0426192857221625,0.0150384595735945,0.0678112172900223,0.0163873966813693,0.0011920489959
"DEPT OF THE NAVY","ADP Hardware as a product",1.27226931886815,0.886351990853762,1.17084980045266,0.997244198216551,0.936972006730695,0.795221296469547,1.00975336045044,0.953453934727212,1.00231627859118,0.968138744329549,1.04921756732945,0.913164286940528,0.754990551844855,0.776423078977641,0.691376255403995,0.775088751143517,0.874377725205499,0.892338995998175,0.938315001927849,1.0474837955666,0.914926863548536,0.131651165380194,0.0853144094882
"DEPT OF THE NAVY","Annual Software Maint.",,,,,,,,,,,,,0.0148088827550093,0.0319886287725435,0.0438666000451674,0.130325720101421,0.183170895358637,0.103937173630842,0.247452390465026,0.213938797415203,0.293999714773302,0.0888410357034743,0.0285523750654
"DEPT OF THE NAVY","Other ADP Services",0.404106995130367,0.337932104588854,0.294476176445662,0.218733028631496,0.255662615353985,0.293608297062267,0.344077663963967,0.37417485403823,0.343444818521507,0.277177798291977,0.186525430349324,0.150923012431775,0.12509824593929,0.0859067049511015,0.12155997186059,0.0930340519882604,0.108815553080302,0.149122937213948,0.142350060507321,0.134023386092504,0.165166124497639,1.72778466993438,2.1809077388265
"DEPT OF THE NAVY","Software as a product",0.345984976263391,0.293941077155625,0.356882669363539,0.352961145968608,0.422295551016264,0.392239393640597,0.475621559356501,0.406185132955,0.397676060655955,0.405530972244538,0.436444612144673,0.588549741122865,0.576591674104932,0.583365518614645,0.726189838183347,0.692060517301537,0.973222777133863,0.878615508603361,0.623897410985969,0.739043763797162,0.801610306789707,0.660800161115229,0.670010243599
