"ShipCategory","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"",1481000,1884000,8554339,639307,47528593,3764131,9636335,25398138,18461547,8560246,8832029,29100775,23861075,31595067,33505480,48064976,18799282,37417847.1688,21193549.48,46718509.7577,79584057.3814,37908701.7384,29127271.1906,18335955.1872,12547796.71,25038256.9,24265616.5405,5055864.6109,6899411.0635,17067574.2031,8166234.0185,3096216.9687,4357566.25,279294.8047
"Engines",126313000,255918698,231567682,156374831,197967452,129489242,132708003,144075662,202701504,335408411,874438636,-107929474,405932422,633784986,780266306.9,400266949.5,639133039.2715,415418496.4785,502111303.5037,780138933.4139,986938624.618,830131538.6877,665392736.8597,1007092998.4497,842252753.1406,792342413.7392,814949429.2169,1113514502.1259,1292612216.2894,541978277.5021,355109606.9187,1565327391.4188,872453552.5249,482230902.5971
"MRO",2500723493,1233122300,1745274821,1049671007,909837104,1502099166,928823039,1423951591,2222627524,1293264823,1885555374,3202673316,3059466589.0298,2633902862,2769885041.43,2416645470.1366,2289724763.6641,2957400403.9011,2840293037.4558,2946262669.3704,2861200549.6439,3507787710.8031,3153784822.0319,3262013923.0718,3542378537.9203,3486712043.0399,3499254970.4883,3538793863.8968,5071748612.532,4474133057.6059,4693909486.9141,4377979274.7398,4026501580.5512,4497380053.7192
"Ordnance",6452000,17171000,28836400,15264040,22107075,9061844,5369341,277632736,274380494,230845868,343056795,305853944,750650095,388870708,1255698227,679903423,325547348.2397,33030213.3722,70208507.6508,153657140.0485,132862015.284,136491609.1139,129661335.7154,72770559.1,78809636.56,4455544.2702,55825356.3165,21604992.3302,11456145.0773,5001796.137,25009954.9617,8276703.3402,17770172.4087,10908039.5346
"Other Products",370311000,746261839,565796335,459563453,357564012,375292921,501157748,447435798,435919384,441314907,395866217,386174347,889168950.9004,1013488915.9302,1028947659.5394,1165023216.913,1144690453.6508,1323894909.8505,1622208230.9529,1527893983.1428,1850616714.4627,1954362639.6756,2116831422.6487,2196633300.8205,2044798601.0156,2319781910.1347,2550002597.1112,3079758478.7386,4979792938.9838,5406600038.4122,5027166313.8581,4746030908.7147,5739316642.2806,6294067217.8018
"Other Service",452435000,434759711,517860688,418209863,547302094,170908228,333826588,198371953,189907325,218471062,289617733,232243824,248561331,350721674,283372281.3984,184103095.0157,271009613.5222,348982307.3175,420257746.793,235821597.6547,187641987.7509,206769143.1558,188926383.168,276691381.3513,194305530.6982,127855175.0216,182350615.623,326213013.2659,386182249.3096,447501412.9999,371985966.6188,446418831.1474,261770188.3326,347458269.8025
"Platform",5662825000,5143052728,3979918214,3876550953,2852845390,5546264330,3609719544,3764301635,3392075320,3961563211,3669725472,6039908417,4742688141,5267285543,6695835462,6356186386,8572931130.8424,8634379596.426,10470757891.756,12503243978.1563,9016784375.3286,19191188390.2027,15280065891.2492,15287473244.1606,16129580337.3001,13529468907.5298,16422904594.0649,17941918278.5278,18298527663.4213,20336866239.2642,28615528962.008,19783221455.918,21958386024.8965,27236109071.7944
"R&D",641772000,636637944,602501517,766033394,861358434,992016516,1185712112,1001260670,1413750200,1034215359,999612024,1877070602,1977230992,1793079403,1424581225,2367166912,2915815642.6974,2702109351.9233,2603594057.9892,1980985262.1071,1169756271.8006,670704521.4624,370240880.1412,335612046.6284,193533452.4276,173154200.075,274872092.8937,641950072.5296,722764845.5282,689932727.9653,426584361.4042,80714875.0088,47369079.7701,45231266.6465
"Ship Engineering & Design",528052000,724950661,645670527,604152262,594795754,561445531,511271246,592995896,502187017,585251581,550941241,299393996,380354593,302308131.1104,319004702,203992880.5597,359101729.4968,363698202.0827,230361999.4546,378425066.9946,386496710.9101,465009243.7809,384863577.1914,306729365.9011,364607705.3448,150529016.9117,207944665.1904,129913605.4244,102155445.3523,58293332.3373,40687038.3124,61560321.67,93151029.2587,22537591.7097
"Support Ships & Small Craft",390293000,319011831,274101503,2156311362,997720738,364014831,751404392,465097563,717222918,211236559,338176242,139837541,217637149,257601763.01,251725329.9502,219084923,282450914.6708,437144902.8881,572704173.2496,949214978.3632,888558495.8944,1388290262.6728,1502316828.0117,392131446.5103,424321749.8623,874705565.248,619828934.9301,421804733.5033,442643506.2,1338902662.8787,520507972.7079,923204269.0922,1372530445.2979,1144760275.5465
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
