"SWpsc","Commercial","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Annual Software Maint.","Commercial",,,,,,,,,,,48626932.0934,114820203.4723,255393215.1212,345045400.0789,304936665.68,280877490.8545,397602210.8912,786518530.2575,1363522264.4159
"Annual Software Maint.","Non-Commercial",,,,,,,,,,,6058773.4372,30072427.7869,5072709.3998,24316639.012,38816210.0994,28958572.9896,147473614.631,164138091.3283,372927531.5892
"Annual Software Maint.","Non-Developmental",,,,,,,,,,,6726.2002,23066.16,560207.0963,618881.8453,194228.6479,50725.7798,30551.5,149533.7886,504495.4629
"Annual Software Maint.","Unlabeled",,,,,,,,,,,0,0,0,0,22874.54,754410.7179,12142377.6182,7046059.0682,15986391.3404
"Software as a product","Commercial",618039778,1079569040.4604,792419849.4083,861384432.2149,1064226694.4051,1101407652.4215,1452454088.6387,1579111498.8,1703170692.1842,1784824420.3833,1913793354.4708,1637080036.5172,2080295919.828,2203821020.0885,2257406667.4685,2610883300.0442,2229789688.6709,2357818249.4175,2248545515.6751
"Software as a product","Non-Commercial",138868129,130761512.0625,64606404.6875,81601837.6279,51260089.3805,85700279.3801,134541739.5641,153745623.4389,226258216.1655,601120981.8671,387932256.0987,368130707.0392,265072961.7983,384482999.8393,588018456.4536,433863355.7404,714116655.0448,983266828.0934,1220537903.1784
"Software as a product","Non-Developmental",7449188,13355173,12637969,19451238,6550294,3147133.3632,19512565.0112,2671118.3838,14595378.2916,13593313.4229,3955423.9856,6161543.63,21855533.8293,6919232.9799,3271691.8565,1214596.5566,1105447.899,1813160.0601,956670.3406
"Software as a product","Not IT",2550335,4855000,1064071.02,3569163.9709,4257409.5378,38299999.0139,48256216.7363,65694038.8619,55356856.9567,8461547.8935,835724.9784,320267.97,-72019.28,,0,0,3662.23,39580,
"Software as a product","Unlabeled",70764815,70456431.1562,77054259.5006,39186784.271,371583318.9879,129695755.7758,120610138.8707,275649184.6115,227135900.1068,9642423.538,-686482.3234,204844.7305,-68462.4395,1900651.75,3172059.5,12118799.6616,29377871.25,224782781.3252,90523292.7169
"Software Development Related","Commercial",749297312.122,742345062.1757,858279395.7203,1262256892.0421,789544589.1685,1452055328.2913,1671875246.9198,1799543588.3788,1736823573.2452,1685456029.2264,1413113655.224,1057201771.9747,937806545.7299,975726914.4384,1183493462.7114,1292668236.4816,1290654977.0373,1271677486.6697,1405049534.2492
"Software Development Related","Non-Commercial",684039166,1026531184,952693650,1118387030.1505,658560665.9518,1022395825.8808,1289033121.1223,1002116098.5672,751195684.5878,1322390982.3108,2378127795.1185,2219438953.6622,1747715069.4163,2011668721.8069,2543728100.8388,2307180316.3468,2651297021.1182,3219685888.6193,3204037565.4247
"Software Development Related","Non-Developmental",27562478,26443236,17295798,11089465,5072118,8958488.25,11498121.25,59082.6493,2768188.4531,1701862.6485,597375.2012,312126.56,1859694.06,1357019.9651,87330.9986,252832.0234,1051271.3604,1139011.25,2413835.7833
"Software Development Related","Not IT",2998323,1140218.04,2795182,4529922,11373034.0549,144325678.8935,162457276.8124,306528392.3852,236964591.1678,55107679.2249,6912003.9043,8420350.67,6855076.3298,7673918.0191,10190222.7656,-2597022.375,399704,403658,295600
"Software Development Related","Unlabeled",180147811.3008,224009831.7402,262598460.1621,249350687.3906,1332361798.862,185316249.2979,103540827.8217,301394169.9835,442025112.6226,49394225.3799,13191646.7471,11631890.7605,12675005.1491,16150991.9923,17859410.5587,73317704.7263,143220722.5574,128127151.7759,258265245.4832
"Teleprocessing / Cloud Computing","Commercial",5758449,4796212,2053346,2123064,19650,114067,11273.9299,617789.3965,175324.4212,315512.583,803686.4657,1960852,6774240.5699,1648162.2281,2194642.8492,42609884.6502,68104542.3549,73538733.4865,181651241.0685
"Teleprocessing / Cloud Computing","Non-Commercial",,,0,18167,18321,18766,,,259585,,3890885.875,1055000,466.08,1099889.5498,16978735,4725627.8438,26440841.2396,51016911.008,68854183.4348
"Teleprocessing / Cloud Computing","Not IT",,,,,23891,,,,-2114.9199,,,,,,,,,,
"Teleprocessing / Cloud Computing","Unlabeled",,,,234605,1185573,,,,,,,,,,,0,100250,398127.8594,10461670.9103
