"SpaceParentID","SpaceArea","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","Space Transp. and Launch",,,,,,,,,,,,,,,50000,0,1005000
"BLUE ORIGIN","R&D (Space Flight)",,,,,,,,,,,,,1322259,229667445,274331818,10735715,425009984
"BLUE ORIGIN","Space Transp. and Launch",,,,,,,,,,781920,664628.461,352325.9649,1239860.9752,1272636.1484,4600001.5996,4387858,15834404
"BOEING","Other Products",,,,,254000,,,,,,,,,,,,
"BOEING","R&D (Defense)",1581500,,,,528731,,,,,,,0,,,,,
"BOEING","R&D (Space Flight)",65613136.21,112906964.6719,89692621.47,253915041.5391,274252189.6949,572159153.8001,633656668.13,674866931.0801,683099319.9782,836309292.2559,815172062.6988,903501355.5998,815014039.5199,926945681.801,1066068565.7316,1248767866.435,1049823879.6201
"BOEING","Space Transp. and Launch",,,,,,,,899757,49070000,77160000,154220000,263041664,210895733,21693423,7975593,83335,4e+06
"BOEING","Space Vehicle Launchers",724548,305760025,24239975,,,,,,,,,,,,,,
"BOEING","Space Vehicle Services",74480409.04,446074358.55,-266847.85,,,,,,,,,,,,,,
"CALIFORNIA INSTITUTE OF TECHNOLOGY","R&D (Space Flight)",,,91694,,,,,,,,76000,80000,,4081639,242156990.9451,670644226.2074,1161676364.1914
"Firefly Aerospace","R&D (Space Flight)",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"JOHNS HOPKINS UNIVERSITY","R&D (Space Flight)",1380500,,5172587,5832014,-308159.7202,-2924,0,0,3156.68,397037,810000,2025592,198207,-198207,86141574.125,322071693.9688,463730916.9551
"LOCKHEED MARTIN","Other Services",,,,,,,2596379,2087987,,486937,,,0,-133512.02,54115,,
"LOCKHEED MARTIN","R&D (Defense)",,,,,846297,-739.8,4807670,4684851.18,299892,,,,,0,,,
"LOCKHEED MARTIN","R&D (Space Flight)",250246538.0891,691511082.9499,1100432702.19,1337069729.4551,1167917783.8274,1218160832.1147,1196436729.73,1259881293.7291,1200948891.1197,1380250027.0978,1240555987.9912,1056330669.3084,1017206667.19,981261792.8197,708401394.631,634199840.1,599081688.4966
"LOCKHEED MARTIN","Space Transp. and Launch",111587782,76300279,,20000,173040,-20000,326894,48371,0,50000,0,,,,,,
"LOCKHEED MARTIN","Space Vehicles and Components",232453724.39,700281374.47,180392368,136420884,102779526,0,,,,,,,,0,,,
