"ParentID","AnyCommercialText","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","Not Classified
as Commercial",,,,,,,,,,,,,,,50000,0,1e+06
"ABL Space","Any Commercial
Classification",,,,,,,,,,,,,,,,0,5000
"BLUE ORIGIN","Not Classified
as Commercial",,,,,,,,,,,,,,228163645,274331818,10735715,425009984
"BLUE ORIGIN","Any Commercial
Classification",,,,,,,,,,781920,664628.461,352325.9649,2562119.9752,2776436.1484,4600001.5996,4387858,15834404
"BOEING","Not Classified
as Commercial",134253952.25,864570248.2219,110786671.62,253393315.5391,274780920.6949,571366153.8001,633626693.13,674861822.3301,732180227.7087,913419292.2559,969392062.6988,1166543019.5998,1025409940.5199,948639104.801,1074044158.7316,1248851201.435,1053823879.6201
"BOEING","Any Commercial
Classification",8145641,171100,2879077,521726,254000,793000,29975,904865.75,-10907.7305,50000,,0,499832,,,,
"Firefly Aerospace","Any Commercial
Classification",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"NORTHROP GRUMMAN","Not Classified
as Commercial",227583859.88,298184254.7,307425285.27,256287441,269513069.3101,279280331.5625,339180918.24,371091852.21,328751427.3502,316778641.7158,307253224.3281,250206519.59,581262001.2298,559571350.3693,468720159.5098,329818741.3194,412448756.0088
"NORTHROP GRUMMAN","Non-development
or Commercial Similar",,,,,16984,,,,,,,,,,,,
"NORTHROP GRUMMAN","Any Commercial
Classification",,,136000,273818,,,,5e+05,0,55000,0,744134,390597036,476473464.08,410713772.64,489618246.73,496238135.9531
"RUSSIA SPACE AGENCY","Not Classified
as Commercial",100040612,199782273,387192261,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab","Any Commercial
Classification",,,,,,,,,3025000,3925000,0,6530871,0,9819139,456010,0,14099000
"SPACEX","Not Classified
as Commercial",,,25199905.65,114587767,194253802.51,244671571.8,571036614.1,341793018.9,488779407.06,550554264.85,532527852.84,625736886.59,742789020.49,418308238.3,1364650167.5938,1829823645.3675,2330999993.0317
"SPACEX","Any Commercial
Classification",,20000,457312,754625,328375,11605455,23205888,26340884,29826293,104005373,91202258,160070462,479792392.6,664158798.5,775080717.9,906204489.51,746664010.0576
"UNITED LAUNCH ALLIANCE","Not Classified
as Commercial",,,1135183557.65,1100937271.4953,1531119415.0599,2427967412.1884,1252379999.75,2519198422.9961,1718183663.03,1483134320.1749,1766534082.2,1280276062.23,948581764.25,151497628.3,42386059.54,44261373.41,11344497.539
"UNITED LAUNCH ALLIANCE","Any Commercial
Classification",,106995229,409416374.87,294473851.25,344957193,314938100,295542533,364613332,376762360,379660434,482720357,457697024,688458763.19,1142924451.17,680096905.66,1078437325.59,1046323424.5
"Virgin Orbit","Any Commercial
Classification",,,,,,,,,,,,,,35050000,2249791,0,-210426
