"SpaceParentID","Customer","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","Defense",,,,,,,,,,,,,,,50000,0,1e+06
"ABL Space","NASA",,,,,,,,,,,,,,,,0,5000
"BLUE ORIGIN","Defense",,,,,,,,,,,,,1322259,1478800,,,
"BLUE ORIGIN","NASA",,,,,,,,,,781920,664628.461,352325.9649,1239860.9752,229461281.1484,278931819.5996,15123573,440844388
"BOEING","Defense",82614377.04,751834383.55,23973127.15,1859899,782731,,,899757,,50000,,0,,,13500,9743247.375,10501554.5
"BOEING","Energy",,,-5153.34,,,,,,,,,,,,,,
"BOEING","NASA",59785216.21,112906964.6719,89697774.81,245318451.5391,267740741.6949,564002307.8001,627656668.13,674366931.0801,732169319.9782,913419292.2559,969392062.6988,1166543019.5998,1025909772.5199,948639104.801,1074030658.7316,1239286422.8,1043322325.1201
"BOEING","Other Agencies",,,,6736691,6511448,8156846,6e+06,5e+05,,,,,,,,-178468.74,
"Firefly Aerospace","NASA",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"NORTHROP GRUMMAN","Defense",,,,237620,112150,2319613,0,0,,0,,,43077956.47,48637765,31180631,32000462,15373456
"NORTHROP GRUMMAN","NASA",227583859.88,298184254.7,307561285.27,256323639,269417903.3101,276960718.5625,339180918.24,371591852.21,328751427.3502,316833641.7158,307253224.3281,250950653.59,928781080.7598,987407049.4493,848253301.1498,787436526.0494,893313435.9619
"RUSSIA SPACE AGENCY","NASA",100040612,199782273,387192261,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab","Defense",,,,,,,,,,,,6530871,0,325149,0,0,336500
"Rocket Lab","NASA",,,,,,,,,3025000,3925000,0,0,0,9493990,456010,0,13762500
"SPACEX","Defense",,,0,0,,,239598798,14489390,943948,83682783,105953407.25,232991912.97,373431918.77,287098559.54,518609165.3538,647539278.8375,828293047.4693
"SPACEX","NASA",,20000,25657217.65,115342392,194582177.51,256277026.8,354643704.1,353644512.9,517661752.06,570876854.85,517776703.59,552815435.62,849149494.32,795368477.26,1621121720.14,2088488856.04,2249370955.62
"UNITED LAUNCH ALLIANCE","Defense",,,1268781061.65,1101869285.6828,1530865621.0599,2428002412.1884,1252379999.75,2519198422.9961,1718303663.03,1483134320.1749,1951439106.2,1282502756.23,1424646793.44,1018626060.47,632877370.2,1069165567,1030138115.039
"UNITED LAUNCH ALLIANCE","NASA",,106995229,275818870.87,293541837.0625,345210987,314903100,295542533,364613332,376642360,379660434,297815333,455470330,212393734,275796019,89605595,53533132,27529807
"Virgin Orbit","Defense",,,,,,,,,,,,,,35050000,2249791,0,-210426
