"ParentID","PricingUCA","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","FFP",,,,,,,,,,,,,,,50000,0,1005000
"BLUE ORIGIN","FFP",,,,,,,,,,781920,664628.461,352325.9649,2562119.9752,230940081.1484,278931819.5996,15123573,440844388
"BLUE ORIGIN",,,,,,,,,,,0,,0,,0,,,
"BOEING","Combination/Other",,291550.4531,1e+05,15000,0,28000,1500,0,,,,-7191.8301,-1500,,6796.04,,
"BOEING","FFP",117670385.04,90587698.9492,12817376,6713064.5391,2287765,1815213,8726375,4487208.75,49967188,79497386,154485150,263541646,211958187,21693423,7989093,93335,3983327
"BOEING","Incentive",-54930,-36480.03,137143.15,6736691,6511448,8156846,6e+06,5e+05,,,,0,,,88835831,70321531.26,293633833
"BOEING","Other CB",24784138.21,468138553.8496,76371254.47,240436286,266249707.6949,562159094.8001,618928793.13,670779479.3301,682202131.9782,833961906.2559,814906912.6988,903018565.4299,813953085.5199,779295681.801,883523116.6916,848056681.175,663717072.6201
"BOEING","UCA",,305760025,24239975,,,,,,,0,0,0,0,147650000,93689322,330379654,92489647
"BOEING",,,0,0,14000,-14000,0,0,0,0,10000,,-10000,0,0,0,0,0
"Firefly Aerospace","FFP",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"NORTHROP GRUMMAN","FFP",241000,666195,174935.77,373812,1553249,174842,2324939,1374986,579303,1833718,1775811,804960,499056741.5,493789807.76,447896113.64,490934245.47,508708256.2431
"NORTHROP GRUMMAN","Incentive",281209.88,,,,,-184995,,,,,,,,,29194743.08,153301307,257354229
"NORTHROP GRUMMAN","Other CB",227061650,297518059.7,307386349.5,256127447,267976804.3101,279320484.5625,336855979.24,370216866.21,328172124.3502,314989923.7158,305487413.3281,250145693.59,472102295.7298,492755006.6893,351543075.4298,175201435.5794,142624406.7188
"NORTHROP GRUMMAN","UCA",,,,0,0,,,,,,,,7e+05,49500000,50800000,0,
"NORTHROP GRUMMAN",,,,,60000,0,-30000,0,0,0,10000,-10000,0,,0,0,0,0
"RUSSIA SPACE AGENCY","FFP",100040612,199782273,387192261,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab","FFP",,,,,,,,,3025000,3925000,0,6530871,0,9819139,456010,0,14099000
"SPACEX","FFP",,20000,25657217.65,115342392,194582177.51,256277026.8,594242502.1,368133902.9,518605700.06,654559637.85,623730110.84,785807348.59,1222581413.09,1082467036.8,2139730885.4938,2736028134.8775,3077664003.0893
"UNITED LAUNCH ALLIANCE","FFP",,106995229,476101646.98,270627103.3,344187162.4463,427720559.583,1050752307.45,1788262569.75,1183694835.28,843874275.8125,1416747097.73,960305540.57,1146721665.04,1323687619.17,703978561.85,1123360609.94,1066848686.4453
"UNITED LAUNCH ALLIANCE","Incentive",,,,,348453092.9375,802349620,550812414.37,986936527.5586,846026757.67,297152011.3447,681954144.97,492143211.08,413159641.7,-32870222,-12507367.31,-661910.94,-9015999.5
"UNITED LAUNCH ALLIANCE","Other CB",,,930498285.54,1000364372.4453,751729852.6761,42615086.7304,31032806.93,72260108.6875,65224430.08,6191921.5177,39361860.5,40155062.57,77159220.7,3604682.3,22085533.66,,-164764.9063
"UNITED LAUNCH ALLIANCE","T&M/LH/FPLOE",,,,,0,1670245.875,,,,,,,,,,,
"UNITED LAUNCH ALLIANCE","UCA",,,1.38e+08,124419647,431706500,1468550000,-84674996,36352549,,715576545.5,111191336,245369272.01,,,8926237,,
"Virgin Orbit","FFP",,,,,,,,,,,,,,35050000,2249791,0,-210426
