"SpaceParentID","TopCAU","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","CONT_AWD_80KSC023FA100_8000_80KSC022DA100_8000",,,,,,,,,,,,,,,,,5000
"ABL Space","CONT_AWD_FA881821F0017_9700_FA881821D0001_9700",,,,,,,,,,,,,,,50000,0,
"ABL Space","CONT_AWD_FA881823F0024_9700_FA881821D0001_9700",,,,,,,,,,,,,,,,,1e+06
"ABL Space","Other Labeled",,,,,,,,,,,,,,,0,0,0
"BLUE ORIGIN","CONT_AWD_80KSC023FA042_8000_80KSC022DA102_8000",,,,,,,,,,,,,,,,,2e+06
"BLUE ORIGIN","CONT_AWD_80KSC023FA102_8000_80KSC022DA102_8000",,,,,,,,,,,,,,,,,12965000
"BLUE ORIGIN","CONT_AWD_80MSFC20C0020_8000_-NONE-_-NONE-",,,,,,,,,,,,,,228163645,251561948,,
"BLUE ORIGIN","CONT_AWD_80MSFC21CA015_8000_-NONE-_-NONE-",,,,,,,,,,,,,,,22769870,10735715,0
"BLUE ORIGIN","CONT_AWD_80MSFC23CA014_8000_-NONE-_-NONE-",,,,,,,,,,,,,,,,,425009984
"BLUE ORIGIN","Other Labeled",,,,,,,,,,781920,664628.461,352325.9649,2562119.9752,2776436.1484,4600001.5996,4387858,869404
"BOEING","CONT_AWD_80MSFC20C0052_8000_-NONE-_-NONE-",,,,,,,,,,,,,,147650000,182525153,400879654,386123480
"BOEING","CONT_AWD_FA880622F0008_9700_FA880621D0001_9700",,,,,,,,,,,,,,,,9743247.375,10501554.5
"BOEING","CONT_AWD_NNM07AB03C_8000_-NONE-_-NONE-",8e+06,46161349,36700000,143473797,159900000,539238666,594226985,644183414,647288050,828014288,799608064,897250000,803164680,772788793,878490977,836994384,651567976
"BOEING","Other Labeled",134399593.25,818579999.2219,76965748.62,110441244.5391,115134920.6949,32920487.8001,39429683.13,31583274.0801,84881269.9782,85455004.2559,169783998.6988,269293019.5998,222745092.5199,28200311.801,13028028.7316,1233916.06,5630869.1201
"CALIFORNIA INSTITUTE OF TECHNOLOGY","CONT_AWD_80NM0021F0008_8000_80NM0018D0004_8000",,,,,,,,,,,,,,,120433248,468097972,559112589
"CALIFORNIA INSTITUTE OF TECHNOLOGY","CONT_AWD_80NM0021F0037_8000_80NM0018D0004_8000",,,,,,,,,,,,,,,4715000,22663355,166012998
"CALIFORNIA INSTITUTE OF TECHNOLOGY","CONT_AWD_80NM0023F0027_8000_80NM0018D0004_8000",,,,,,,,,,,,,,,,,94317779
"CALIFORNIA INSTITUTE OF TECHNOLOGY","Other Labeled",,,91694,,,,,,,,76000,80000,,4081639,117008742.9451,179882899.2074,342232998.1914
"Firefly Aerospace","CONT_AWD_80JSC021F0098_8000_80HQTR19D0009_8000",,,,,,,,,,,,,,,49899250.5,37869252,13177792
"Firefly Aerospace","CONT_AWD_80JSC023F0041_8000_80HQTR19D0009_8000",,,,,,,,,,,,,,,,,72481496
"Firefly Aerospace","CONT_AWD_80JSC023F0108_8000_80HQTR19D0009_8000",,,,,,,,,,,,,,,,,9212389
"Firefly Aerospace","Other Labeled",,,,,,,,,,,,,25000,,0,0,0
"JOHNS HOPKINS UNIVERSITY","CONT_AWD_80MSFC21F0138_8000_80MSFC20D0004_8000",,,,,,,,,,,,,,,3736812,6913099,14206724
"JOHNS HOPKINS UNIVERSITY","CONT_AWD_80MSFC21F0224_8000_80MSFC20D0004_8000",,,,,,,,,,,,,,,4.7e+07,137172528,79083520
"JOHNS HOPKINS UNIVERSITY","CONT_AWD_80MSFC21F0242_8000_80MSFC20D0004_8000",,,,,,,,,,,,,,,10162000,8472000,11820000
"JOHNS HOPKINS UNIVERSITY","CONT_AWD_80MSFC22F0048_8000_80MSFC20D0004_8000",,,,,,,,,,,,,,,,100832544,285953208
"JOHNS HOPKINS UNIVERSITY","Other Labeled",1380500,,5172587,5832014,-308159.7202,-2924,0,0,3156.68,397037,810000,2025592,198207,-198207,25242762.125,68681522.9688,72667464.9551
"LOCKHEED MARTIN","CONT_AWD_80GSFC21C0011_8000_-NONE-_-NONE-",,,,,,,,,,,,,,,1217467,6104636.36,57215412.22
"LOCKHEED MARTIN","CONT_AWD_80MSFC22CA005_8000_-NONE-_-NONE-",,,,,,,,,,,,,,,,21234414,51665276
"LOCKHEED MARTIN","CONT_AWD_FA881606C0002_9700_-NONE-_-NONE-",144203724.39,560606374.47,21757485,,,,,,,,,,,0,,,
