"SpaceParentID","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space",,,,,,,,,,,,,,2300000,750000,1499952,17054988
"BLUE ORIGIN",,,,,,,,,,781920,664628.461,1372059.9649,6485012.9752,233091938.1484,280500432.5996,17454119,440844387.61
"BOEING",1449227516.76,2300370611.4019,1551993366.31,1515875206.1856,1770070951.222,2411228351.7114,1637930071.2874,1371456831.8994,1466511747.96,1633363239.1565,1619409650.1426,1856137811.961,2061295637.7699,1897478437.259,1729718525.2516,1696831312.02,1618161962.3537
"CALIFORNIA INSTITUTE OF TECHNOLOGY",1729266480.6193,1781677847.6444,1738681674.7009,1653348261.8514,1629652202.9522,1671519359.4695,1709066992.4399,1717744631.47,1855991704.4418,2138632543.5039,2351964282.7874,2710772590.0436,3031439939.0944,2818363191.4254,2353682832.1706,2648084317.1606,2915419456.0369
"Firefly Aerospace",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"JOHNS HOPKINS UNIVERSITY",103249058,167580283.17,241065205.4123,205884077.4042,169763126.1685,189606407.2844,165577355.68,160640950.55,212985656.1202,226347549.1118,160823866.1765,287713993.9898,208584822.3478,320076010.3997,272014788.0946,390672453.4216,507034415.4493
"LORAL SPACE",55196033.64,0,87093144.98,27694819.0925,31704997.6406,12766835.385,125848.59,,0,,,,,,,,
"MAXAR TECHNOLOGIES",,,,,,,,,,,,22325557,226862403.43,123580406.37,93644007.2,206959374.25,185665893
"MDA",27500,-1458.35,1458.35,990000,1822031.3125,558406.6875,4150000,7076942.34,0,1166012.97,23933409,249996,,,,,
"NORTHROP GRUMMAN",1298352188.8503,1418147680.7503,1242050665.2066,1258779444.8276,748211700.6135,661945486.3546,657843707.75,669957864.83,524836377.2004,644824262.3977,621250572.3475,646444136.24,1581638933.3682,1920619531.8253,1676816099.9098,1625671944.8044,2016967409.7156
"ORBITAL SCIENCES",181388192.0478,193406556.192,289926560.7485,423474649.5972,463774767.2226,667992476.0759,398713793.93,853138470.4,,,,,,,,,
"Orbital ATK",,,,,,,,,783770886.7237,1017857939.1814,1108326344.7864,1118676710.8406,102529,23205,415901,333618,0
"RUSSIA SPACE AGENCY",100040612,199782273,387192261,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab",,,,,,,,,3124964,3925000,0,6530871,0,9912639,1548010,371000,15227350
"SIERRA NEVADA",0,168769,950000,1208346,17751729,11057026,10960820,8176396,1867608.0625,81281944.6775,122350361.8244,340371217.95,77947098.2001,352478625.39,56419758,147088554.04,53134722.4
"SPACEX",,4020000,25657217.65,115342392,194582177.51,256277026.8,594242502.1,497433902.9,642805700.06,1038028720.85,1082847866.84,967134868.59,1288676659.51,1137212359.82,2193334723.9138,2848207580.7275,3109331653.0893
"UNITED LAUNCH ALLIANCE",,106995229,1557556068.71,1418426267.3469,1876076608.0599,2739954433.0634,1547236090.32,2883771754.9961,2096445937.03,1852590908.2843,2249243842.0203,1738033068.23,1637040527.44,1294422079.47,722901800.63,1122698699,1057667922.039
"Virgin Orbit",,,,,,,,,,,,,897869.52,35350000,2249791,0,-210426
"WYLE LABORATORIES",10149046.62,154637,-5133.5698,705840,537941,984326,742137,-613595,9390760.88,114366702.43,126190622.34,139162295.8981,143525338.62,150376557.24,154157522.88,,
