"ParentID","AnyCommercialText","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","Not Classified
as Commercial",,,,,,,,,,,,,,,650000,750000,17049988
"ABL Space","Any Commercial
Classification",,,,,,,,,,,,,,2300000,1e+05,749952,5000
"BLUE ORIGIN","Not Classified
as Commercial",,,,,,,,,,,,,3922893,230315502,275900431,13066261,425009984
"BLUE ORIGIN","Any Commercial
Classification",,,,,,,,,,781920,664628.461,1372059.9649,2562119.9752,2776436.1484,4600001.5996,4387858,15834403.61
"BOEING","Not Classified
as Commercial",1437100275.76,2293263065.4019,1527958159.31,1510753507.9278,1768196070.9095,2407903446.7114,1637900097.9074,1370551966.1494,1466522655.6905,1633313239.1565,1619409650.1426,1856137811.961,2060795805.7699,1897478437.259,1729718525.2516,1696831312.02,1618161962.3537
"BOEING","Non-development
or Commercial Similar",,,-13348000,,,,,,,,,,,,,,
"BOEING","Any Commercial
Classification",12127241,7107546,37383207,5121698.2578,1874880.3125,3324905,29973.38,904865.75,-10907.7305,50000,,0,499832,,,,
"Firefly Aerospace","Any Commercial
Classification",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"NORTHROP GRUMMAN","Not Classified
as Commercial",1298352188.8503,1418147680.7503,1241926389.8566,1253830057.8276,748194716.6135,661945486.3546,657789385.75,669447864.83,524106888.3704,644769262.3977,621250572.3475,645700002.24,1191073219.3682,1444146067.7453,1265877277.2698,1136053698.0744,1520729273.7625
"NORTHROP GRUMMAN","Non-development
or Commercial Similar",,,,,16984,,,,,,,,,,,,
"NORTHROP GRUMMAN","Any Commercial
Classification",,,124275.35,4949387,,,54322,510000,729488.83,55000,0,744134,390565714,476473464.08,410938822.64,489618246.73,496238135.9531
"RUSSIA SPACE AGENCY","Not Classified
as Commercial",100040612,199782273,387192261,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab","Not Classified
as Commercial",,,,,,,,,99964,,,,,,1092000,371000,1128350
"Rocket Lab","Any Commercial
Classification",,,,,,,,,3025000,3925000,0,6530871,0,9912639,456010,0,14099000
"SPACEX","Not Classified
as Commercial",,4e+06,25199905.65,114587767,194253802.51,244671571.8,571036614.1,471093018.9,612979407.06,934023347.85,991645608.84,807064406.59,808784266.91,473048539.3,1417458484.0938,1937665673.4175,2346496265.0317
"SPACEX","Any Commercial
Classification",,20000,457312,754625,328375,11605455,23205888,26340884,29826293,104005373,91202258,160070462,479892392.6,664163820.52,775876239.82,910541907.31,762835388.0576
"UNITED LAUNCH ALLIANCE","Not Classified
as Commercial",,,1148139693.84,1123927838.0969,1531119415.0599,2426086489.3134,1249393557.32,2519158422.9961,1718183663.03,1472834320.1749,1766534082.2,1280276062.23,948581764.25,151497628.3,42804894.97,44261373.41,11344497.539
"UNITED LAUNCH ALLIANCE","Non-development
or Commercial Similar",,,,,,,2300000,0,1499914,0,0,,,,,,
"UNITED LAUNCH ALLIANCE","Any Commercial
Classification",,106995229,409416374.87,294498429.25,344957193,313867943.75,295542533,364613332,376762360,379756588.1094,482709759.8203,457757006,688458763.19,1142924451.17,680096905.66,1078437325.59,1046323424.5
"Virgin Orbit","Not Classified
as Commercial",,,,,,,,,,,,,897869.52,3e+05,0,0,0
"Virgin Orbit","Any Commercial
Classification",,,,,,,,,,,,,,35050000,2249791,0,-210426
