"SpaceParentID","Customer","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","Defense",,,,,,,,,,,,,,2300000,750000,1499952,17049988
"ABL Space","NASA",,,,,,,,,,,,,,,,0,5000
"BLUE ORIGIN","Defense",,,,,,,,,,,,,1322259,1478800,,49941,
"BLUE ORIGIN","NASA",,,,,,,,,,781920,664628.461,1372059.9649,5162753.9752,231613138.1484,280500432.5996,17404178,440844387.61
"BOEING","Defense",928336563.75,1430629634.99,593151090.52,428570598.3614,611677017.9682,1246509970.1613,174844516.31,73580991.79,90997098.03,171792664.8359,64104792.5039,14875795.1012,373579686.69,435322752.028,78291231.03,20108495.88,70075311.1406
"BOEING","Energy",,,-5153.34,122123,,,,,,,,,,,,,
"BOEING","GSA",,,,,,,,,,,,,,,,0,
"BOEING","NASA",520890953.01,869740976.4119,958847429.13,1080445793.8242,1151882485.2538,1156561535.5501,1457085554.9774,1297375840.1094,1375514649.93,1461570574.3206,1555304857.6387,1841262016.8598,1687715951.0799,1462155685.231,1651427294.2216,1676901284.88,1548086651.2131
"BOEING","Other Agencies",,,,6736691,6511448,8156846,6e+06,5e+05,,,,,,,,-178468.74,
"CALIFORNIA INSTITUTE OF TECHNOLOGY","Defense",,,,,,,,,,,,43080,134000,120703,,,
"CALIFORNIA INSTITUTE OF TECHNOLOGY","NASA",1729266480.6193,1781677847.6444,1738681674.7009,1653348261.8514,1629652202.9522,1671519359.4695,1709066992.4399,1717744631.47,1855991704.4418,2138632543.5039,2351964282.7874,2710729510.0436,3031305939.0944,2818242488.4254,2353682832.1706,2648084317.1606,2915419456.0369
"Firefly Aerospace","NASA",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"JOHNS HOPKINS UNIVERSITY","Defense",70912645,47180609,24964140.4123,43357344.4042,35051846.1685,20563261.2844,21436965.01,16385645.99,19554236.07,11909389.4018,6830574.5565,13869035.9298,55173127.9578,62684258.306,19460185.9072,41562512.3438,59142781
"JOHNS HOPKINS UNIVERSITY","NASA",32336413,120399674.17,216101065,162526733,134711280,169043146,144140390.67,144255304.56,193431420.0502,214438159.71,153993291.62,273844958.06,153411694.39,257391752.0937,252554602.1874,349109941.0778,447891634.4493
"LORAL SPACE","Defense",54408799.18,0,87018144.98,22300819.0925,24954492.6406,10174724.385,125848.59,,0,,,,,,,,
"LORAL SPACE","NASA",787234.46,,50000,5394000,6750505,2592111,,,,,,,,,,,
"LORAL SPACE","Other Agencies",,,25000,,,,,,,,,,,,,,
"MAXAR TECHNOLOGIES","Defense",,,,,,,,,,,,375000,20650088,29703228,5885887,12241052.25,2637413
"MAXAR TECHNOLOGIES","NASA",,,,,,,,,,,,21950557,206212315.43,93877178.37,87758120.2,194718322,183028480
"MDA","Defense",,,,940000,1822031.3125,558406.6875,4150000,6127091.34,0,1107012.97,2960756,249996,,,,,
"MDA","NASA",27500,-1458.35,1458.35,50000,0,,0,949851,0,59000,20972653,,,,,,
