"ParentID","TopCAU","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","Other Labeled",,,,,,,,,,,,,,2300000,750000,1499952,17054988
"BLUE ORIGIN","Other Labeled",,,,,,,,,,781920,664628.461,1372059.9649,6485012.9752,233091938.1484,280500432.5996,17454119,440844387.61
"BOEING","CONT_AWD_NAS1510000_8000_-NONE-_-NONE-",460925325.8,492954370.62,572758597.53,645961364.5781,838285109.6289,480132594.75,673088788.0274,564206414.9893,543451490.7618,451164742.8147,491568328.3149,620137964.13,551398910.76,384202674.43,431166966.49,327795250.26,422660398.593
"BOEING","CONT_AWD_NNM07AB03C_8000_-NONE-_-NONE-",8e+06,46161349,36700000,143473797,159900000,539238666,594226985,644183414,647288050,828014288,799608064,897250000,803164680,772788793,878490977,836994384,651567976
"BOEING","Other Labeled",980302190.96,1761254891.7819,942534768.78,726440044.6075,771885841.5931,1391857090.9614,370614298.26,163067002.9101,275772207.1982,354184208.3418,328233257.8277,338749847.831,706732047.0099,740486969.829,420060581.7616,532041677.76,543933587.7607
"Firefly Aerospace","Other Labeled",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"NORTHROP GRUMMAN","CONT_AWD_FA881018C0006_9700_-NONE-_-NONE-",,,,,,,,,,,,8999999,26158272,91161226.99,268056862.05,423202483.61,799237091.6438
"NORTHROP GRUMMAN","Other Labeled",1298352188.8503,1418147680.7503,1242050665.2066,1258779444.8276,748211700.6135,661945486.3546,657843707.75,669957864.83,524836377.2004,644824262.3977,621250572.3475,637444137.24,1555480661.3682,1829458304.8353,1408759237.8598,1202469461.1944,1217730318.0718
"RUSSIA SPACE AGENCY","Other Labeled",100040612,199782273,387192261,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab","Other Labeled",,,,,,,,,3124964,3925000,0,6530871,0,9912639,1548010,371000,15227350
"SPACEX","CONT_AWD_80MSFC20C0034_8000_-NONE-_-NONE-",,,,,,,,,,,,,,94778203,344832713.24,818789100,911559648
"SPACEX","CONT_AWD_NNK17MA01T_8000_NNK14MA74C_8000",,,,,,,,,,,0,0,105836240,-53918200,411199849,487366208,582993012
"SPACEX","Other Labeled",,4020000,25657217.65,115342392,194582177.51,256277026.8,594242502.1,497433902.9,642805700.06,1038028720.85,1082847866.84,967134868.59,1182840419.51,1096352356.82,1437302161.6738,1542052272.7275,1614778993.0893
"UNITED LAUNCH ALLIANCE","CONT_AWD_FA881113C0003_9700_-NONE-_-NONE-",,,,,,,525500000,2446379853.9961,1712430554.68,1451459075.8302,1767260082.2,930846616.51,624470111.5,14683281.3,32866005.35,24422337,-9015999.5
"UNITED LAUNCH ALLIANCE","Other Labeled",,106995229,1557556068.71,1418426267.3469,1876076608.0599,2739954433.0634,1021736090.32,437391901,384015382.35,401131832.4541,481983759.8203,807186451.72,1012570415.94,1279738798.17,690035795.28,1098276362,1066683921.539
"Virgin Orbit","Other Labeled",,,,,,,,,,,,,897869.52,35350000,2249791,0,-210426
