"","OR","2.5 %","97.5 %"
"(Intercept)",0.00397916791762596,0.00308646046432761,0.00513007618262595
"CompOffr1 offer",1.2373906825992,1.06567639244325,1.4367735949118
"CompOffr2 offers",1.40177155222335,1.19537779778793,1.6438012218889
"CompOffr3-4 offers",1.51372772920851,1.30482613389877,1.75607429882496
"CompOffr5+ offers",2.2829759211747,1.98414911334736,2.62680814743333
"cl_def3_ratio_lag1",1.08447974638211,0.854003975057271,1.37715555742481
"cl_def6_ratio_lag1",1.00211430584785,0.963721841281666,1.04203623801798
"cl_def6_obl_lag1",0.928003202154,0.814658158136666,1.05711817233604
"cl_US6_avg_sal_lag1",0.965693301521866,0.865545721586731,1.07742841232536
"cl_Ceil",1.52186127450708,1.34030031562487,1.72801700622188
"cl_Days",3.25752470847727,2.82388231384439,3.75775830823971
"VehS-IDC",0.565635452179035,0.498325651394818,0.642036916755653
"VehM-IDC",0.547207545186482,0.429515910657286,0.697147858971721
"VehFSS/GWAC",0.72637823808806,0.593560436554556,0.888915959140781
"VehBPA/BOA",0.520471200384797,0.387384123562549,0.69928077572919
"PricingFeeOther FP",0.44822448435887,0.331801007766547,0.605499030069645
"PricingFeeIncentive",1.17503884567447,0.511326188752138,2.70026515210093
"PricingFeeCombination or Other",0.451132463054981,0.176337470812783,1.15415344387087
"PricingFeeOther CB",0.658493643930891,0.379452627404807,1.14273521325442
"PricingFeeT&M/LH/FPLOE",0.895374478982559,0.481390921152808,1.66537303132646
"b_UCA",2.89094214481941,1.8538309342839,4.50825710701682
"b_Intl",1.51841020703332,1.25081750864242,1.84325014711805
"b_UCA:n_Comp",0.41466339324709,0.133966015520845,1.28350260348256
"cl_Ceil:b_UCA",0.630084741442512,0.281795705959159,1.40884610021778
