"","OR","2.5 %","97.5 %"
"(Intercept)",0.00403311075299957,0.0031091210507965,0.00523169798801937
"CompOffr1 offer",1.21377711569369,1.04722240927899,1.40682139107014
"CompOffr2 offers",1.37023769032595,1.1699861615668,1.60476370547447
"CompOffr3-4 offers",1.48478164109834,1.28180554802204,1.71989934444
"CompOffr5+ offers",2.23507588593164,1.94533423318236,2.56797219247044
"cl_def3_ratio_lag1",1.07634812950018,0.846925108421774,1.36791941147834
"cl_def6_ratio_lag1",1.00315832687783,0.96627303277803,1.04145163390428
"cl_def6_obl_lag1",0.929896052453756,0.816407945720848,1.05916003500626
"cl_US6_avg_sal_lag1",0.970280649507327,0.870099438785492,1.08199649010515
"cl_Ceil",1.50794802753088,1.32951896349694,1.71032329448945
"cl_Days",3.25078963484248,2.81825068754128,3.74971371309016
"VehS-IDC",0.561781237779878,0.494967823999523,0.63761348479451
"VehM-IDC",0.539011625707534,0.422847015730696,0.687088998714642
"VehFSS/GWAC",0.727420858919401,0.594483213600574,0.890085865984709
"VehBPA/BOA",0.51152682958248,0.380531562681957,0.687616279549971
"PricingFeeOther FP",0.44605885899405,0.33029315761324,0.602399720069461
"PricingFeeIncentive",1.10168687329878,0.475524628947756,2.55236825374233
"PricingFeeCombination or Other",0.430223156272751,0.167478535341473,1.10516827613701
"PricingFeeOther CB",0.643417444277836,0.370085128063677,1.1186237333206
"PricingFeeT&M/LH/FPLOE",0.892431831380103,0.480261035124135,1.65833685311278
"b_UCA",2.1665647465889,1.60733086955786,2.92037121296191
"b_Intl",1.52207307072303,1.25406469888785,1.8473579829452
