"","OR","2.5 %","97.5 %"
"(Intercept)",0.00560578921549634,0.00417209136891143,0.00753216311673788
"cl_def3_HHI_lag1",1.24788248664466,1.05169232141833,1.48067136058803
"cl_def3_ratio_lag1",1.08812018161,0.851802100901431,1.39000071539386
"cl_def6_HHI_lag1",0.908220859830637,0.784445740371947,1.05152604925917
"cl_def6_obl_lag1",0.967592878245287,0.847575633915493,1.10460464006725
"cl_def6_ratio_lag1",1.00353613969746,0.970017946292014,1.0382125274368
"cl_US6_avg_sal_lag1",0.971038612037722,0.874673934615553,1.07801998979492
"cl_Ceil",1.56225456679084,1.37750409487614,1.7717837213967
"cl_Days",3.24817688706557,2.82241263877153,3.73816817028541
"VehS-IDC",0.58037313906426,0.512441862837934,0.657309648126523
"VehM-IDC",0.574168922355653,0.451644883277176,0.729931775174639
"VehFSS/GWAC",0.756034830706581,0.618843159383476,0.923640597095677
"VehBPA/BOA",0.517859797046204,0.387124251850823,0.692745980430277
"PricingFeeOther FP",0.441208855896384,0.329513539116697,0.590765572313723
"PricingFeeIncentive",1.01530644098793,0.441347726313277,2.3356802531251
"PricingFeeCombination or Other",0.448989658951175,0.178683250398018,1.1282071117245
"PricingFeeOther CB",0.62903181678986,0.36257021519789,1.09132248030355
"PricingFeeT&M/LH/FPLOE",0.846721092821122,0.45891151234685,1.56225457357088
"b_UCA",2.35296134089518,1.53230367597862,3.61313958749813
"b_Intl",1.47351336683383,1.2177346901382,1.78301699033603
"cl_def6_HHI_lag1:b_UCA",1.32915741623927,0.639800464413138,2.76126626254381
"cl_Ceil:b_UCA",0.613786129531241,0.283488582945913,1.32891917159436
"cl_def6_HHI_lag1:cl_def6_obl_lag1",1.22407695200094,0.985754961489191,1.52001708635209
