"","OR","2.5 %","97.5 %"
"(Intercept)",0.00571024793915256,0.00424724447019717,0.00767719676966991
"cl_def3_HHI_lag1",1.28907558101219,1.07975338580268,1.53897721036236
"cl_def3_ratio_lag1",1.07403549006264,0.842267063179236,1.36958013003604
"cl_def6_HHI_lag1",0.85654884747774,0.704498607538644,1.04141572497743
"cl_def6_obl_lag1",0.972350993313848,0.851833455947719,1.1099193716764
"cl_def6_ratio_lag1",1.00151360426657,0.965533644400024,1.03883433306387
"cl_US6_avg_sal_lag1",0.963210264140417,0.867458176248747,1.06953169426281
"cl_Ceil",1.54346782083885,1.36224938915646,1.74879352703561
"cl_Days",3.33889510062938,2.85929966048713,3.89893394073554
"VehS-IDC",0.580665659262557,0.512716797128293,0.657619585968921
"VehM-IDC",0.567093593285031,0.445770022888913,0.721437348928845
"VehFSS/GWAC",0.756308505588095,0.619077344869983,0.92395976102958
"VehBPA/BOA",0.488634962951256,0.364033662313586,0.655884748407414
"PricingFeeOther FP",0.432113258313981,0.322440900185576,0.579088657497422
"PricingFeeIncentive",0.992484455669183,0.430320514488297,2.2890505136997
"PricingFeeCombination or Other",0.420704591672909,0.164328787376819,1.07706237160268
"PricingFeeOther CB",0.627487806657258,0.360828543098782,1.09121341710416
"PricingFeeT&M/LH/FPLOE",0.856504212401379,0.464518265198358,1.57926936532419
"b_UCA",1.87310557339485,1.39406920803888,2.51675058085423
"b_Intl",1.48023866852243,1.22343520786709,1.79094610135422
"cl_def6_HHI_lag1:cl_Days",1.1341011733221,0.85942438037856,1.49656619092424
"cl_def6_HHI_lag1:cl_def6_obl_lag1",1.19269559507432,0.959309506510006,1.48286113382204
"cl_def3_HHI_lag1:cl_def3_ratio_lag1",1.58449910403018,0.989321806214081,2.5377358458115
