"","OR","2.5 %","97.5 %"
"(Intercept)",0.00422758356622469,0.00325141012555679,0.00549683433318103
"cl_def3_HHI_lag1",1.28434292959397,1.07597163301017,1.53306714618789
"cl_def3_ratio_lag1",1.07651583730688,0.846757275422763,1.36861693617446
"cl_def6_HHI_lag1",0.862842649867217,0.708703389962349,1.0505063881089
"cl_def6_obl_lag1",0.97097280607846,0.850378123023499,1.10866938438141
"cl_def6_ratio_lag1",1.00332896325367,0.966977821883334,1.04104663594357
"cl_US6_avg_sal_lag1",0.976300254380328,0.877726788871812,1.0859440531925
"CompOffr1 offer",1.21196317359203,1.04539018924294,1.40507797878512
"CompOffr2 offers",1.362332034336,1.16293747657241,1.59591431970032
"CompOffr3-4 offers",1.47807563924659,1.27570725321163,1.71254618944445
"CompOffr5+ offers",2.22546523553692,1.93661624338184,2.55739645451631
"cl_Ceil",1.51980427975366,1.3398157207533,1.72397219481711
"cl_Days",3.37463279585947,2.88196650384121,3.95151938501425
"VehS-IDC",0.567653244950735,0.500023459043833,0.644430177574632
"VehM-IDC",0.544553210939431,0.426901077112184,0.694629775943427
"VehFSS/GWAC",0.7365102052859,0.602051436635718,0.900998236166481
"VehBPA/BOA",0.493214939616967,0.366470411939535,0.663794316637779
"PricingFeeOther FP",0.439067870665002,0.325045765009329,0.593087545825327
"PricingFeeIncentive",1.09461751975689,0.470909920020859,2.54440916111014
"PricingFeeCombination or Other",0.431998885744026,0.167839395462926,1.11191437963266
"PricingFeeOther CB",0.642131956504768,0.368764984287778,1.1181469692981
"PricingFeeT&M/LH/FPLOE",0.89258976485179,0.480329687633637,1.65868674960157
"b_UCA",2.17856201555901,1.61567166819797,2.93755999381365
"b_Intl",1.53378448076503,1.26433422527151,1.86065898273889
"cl_def6_HHI_lag1:cl_Days",1.14823363468803,0.866481110616309,1.52160325675318
"cl_def6_HHI_lag1:cl_def6_obl_lag1",1.18207763301786,0.950980070887894,1.46933418823015
"cl_def3_HHI_lag1:cl_def3_ratio_lag1",1.52416935314858,0.953281736445666,2.43694191156863
