"CalendarYear","exclude","NAICS_Code","naics_text","obl","cont_count","hh_index","pct_sum_check","top4","top8","top12","top20","top50","mismatch"
1999,FALSE,"221111","Hydroelectric Power Generation",256449,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"221112","Fossil Fuel Electric Power Generation",85763,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"221119","Other Electric Power Generation",0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"221121","Electric Bulk Power Transmission and Control",24649330,2,9559.19127262454,1,1,1,1,1,1,NA
1999,FALSE,"221122","Electric Power Distribution",1199828,3,3690.02397367407,1,1,1,1,1,1,NA
1999,FALSE,"221210","Natural Gas Distribution",2293835,9,2816.85077065671,1,0.819073734597301,0.980768015136224,1,1,1,NA
1999,FALSE,"221310","Water Supply and Irrigation Systems",538673,4,3644.60085655087,1,1,1,1,1,1,NA
1999,FALSE,"221320","Sewage Treatment Facilities",594133,2,7161.64803130086,1,1,1,1,1,1,NA
1999,FALSE,"233210","Single Family Housing Construction",1e+05,1,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"233220","Multifamily Housing Construction",214000,1,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"233310","Manufacturing and Industrial Building Construction",99067,1,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"233320","Commercial and Institutional Building Construction",5131220,5,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"234990","All Other Heavy Construction",-70735,2,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"235310","Electrical Contractors",14000,1,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"235990","All Other Special Trade Contractors",1384287,2,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"236220","Commercial and Institutional Building Construction",0,1,NA,0,NA,NA,NA,NA,NA,"Uncollated at NAICS 4-5"
1999,FALSE,"238210","Electrical Contractors and Other Wiring Installation Contractors",60679,1,10000,1,1,1,1,1,1,"Uncollated at NAICS 4-5"
1999,FALSE,"238350","Finish Carpentry Contractors",0,1,NA,0,NA,NA,NA,NA,NA,"Uncollated at NAICS 4-5"
1999,FALSE,"312111","Soft Drink Manufacturing",46420,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"314110","Carpet and Rug Mills",527067,8,1466.87413337337,1,0.661337173452331,1,1,1,1,NA
1999,FALSE,"314121","Curtain and Drapery Mills",111402,3,3571.35326710954,1,1,1,1,1,1,NA
1999,FALSE,"314912","Canvas and Related Product Mills",0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"314999","All Other Miscellaneous Textile Product Mills",0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"315228","Men'S and Boys' Cut and Sew Other Outerwear Manufacturing",1655477,2,9055.40405112358,1,1,1,1,1,1,NA
1999,FALSE,"315299","All Other Cut and Sew Apparel Manufacturing",78017,2,5052.69241444589,1,1,1,1,1,1,NA
1999,FALSE,"315991","Hat, Cap, and Millinery Manufacturing",0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"315999","Other Apparel Accessories and Other Apparel Manufacturing",722054,7,1856.73039394375,1,0.790350860184972,1,1,1,1,NA
1999,FALSE,"316213","Men'S Footwear (Except Athletic) Manufacturing",354248,2,6393.69727138071,1,1,1,1,1,1,NA
1999,FALSE,"323117","Books Printing",776047,3,4691.22766795101,1,1,1,1,1,1,NA
1999,FALSE,"324121","Asphalt Paving Mixture and Block Manufacturing",0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"325120","Industrial Gas Manufacturing",10331457,15,5862.68010373157,1,0.903786464968107,0.968986562108326,0.99751467774584,1,1,NA
1999,FALSE,"325412","Pharmaceutical Preparation Manufacturing",652938,6,1965.57899848967,1,0.814181438360151,1,1,1,1,NA
1999,FALSE,"325510","Paint and Coating Manufacturing",156011,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing",138294,2,5064.26058102216,1,1,1,1,1,1,NA
1999,FALSE,"326111","Plastics Bag and Pouch Manufacturing",119273,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"326113","Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing",87504,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"326191","Plastics Plumbing Fixture Manufacturing",0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"326199","All Other Plastics Product Manufacturing",107015,2,6054.9116622595,1,1,1,1,1,1,NA
1999,FALSE,"326211","Tire Manufacturing (except Retreading)",50000,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"331315","Aluminum Sheet, Plate, and Foil Manufacturing",0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"332111","Iron and Steel Forging",0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"332212","Hand and Edge Tool Manufacturing",382800,3,4875.11467897546,1,1,1,1,1,1,NA
1999,FALSE,"332311","Prefabricated Metal Building and Component Manufacturing",897802,6,2447.51494074712,1,0.969201994476041,1,1,1,1,NA
1999,FALSE,"332410","Power Boiler and Heat Exchanger Manufacturing",608199984,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"332420","Metal Tank (Heavy Gauge) Manufacturing",285978,3,5376.89913194114,1,1,1,1,1,1,NA
1999,FALSE,"332431","Metal Can Manufacturing",33372,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"332439","Other Metal Container Manufacturing",25905,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"332510","Hardware Manufacturing",49541,3,6167.29306814274,1,1,1,1,1,1,NA
