"Output","Model","Variable","Odds Ratio","Lower Bound","Upper Bound"
"Ceiling Breaches","Concentration","Log(Subsector HHI)",0.99,0.9,1.09
"Ceiling Breaches","Concentration","Log(Det. Ind. HHI)",1.05,0.96,1.15
"Ceiling Breaches","Competition","Comp=1 offer",0.88,0.82,0.94
"Ceiling Breaches","Competition","Comp=2 offers",0.98,0.91,1.06
"Ceiling Breaches","Competition","Comp=3-4 offers",1.02,0.96,1.09
"Ceiling Breaches","Competition","Comp=5+ offers",1.09,1.02,1.16
"Ceiling Breaches","Both","Log(Subsector HHI)",0.99,0.9,1.09
"Ceiling Breaches","Both","Log(Det. Ind. HHI)",1.06,0.97,1.16
"Ceiling Breaches","Both","Comp=1 offer",0.88,0.82,0.94
"Ceiling Breaches","Both","Comp=2 offers",0.98,0.91,1.05
"Ceiling Breaches","Both","Comp=3-4 offers",1.02,0.96,1.09
"Ceiling Breaches","Both","Comp=5+ offers",1.09,1.02,1.16
