"SubCustomer","EntitySmall","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Air Force","Always Small",8812,8983,9068,8687,8744,8544,8362,7854,6961,7525,7251,7237,7232,6692,6736,6860
"Army","Always Small",22161,21802,23130,23323,23744,22660,21745,20235,17644,16818,16047,15477,14771,13932,13867,12958
"DISA","Always Small",348,385,397,439,439,405,409,424,417,385,356,362,344,360,389,360
"DLA","Always Small",5417,4936,4542,5047,4525,4928,5282,5002,4870,5087,5294,5115,5082,4764,4888,4467
"MDA","Always Small",135,152,168,164,177,189,222,209,210,200,211,241,209,206,253,231
"MilitaryHealth","Always Small",5,16,16,8,11,12,23,136,145,96,299,338,345,336,348,298
"Navy","Always Small",13393,13213,13640,13428,13081,12914,12872,12295,11998,12203,11286,11014,10962,8874,10418,7708
"Other DoD","Always Small",1576,1627,1331,1355,1717,1911,1996,2083,2030,2251,2347,2400,2079,2183,2425,2267
"Air Force","Other Than Small",2744,2403,2269,2279,2361,2381,2474,2308,2106,2086,2106,2120,2032,1934,1869,1798
"Army","Other Than Small",6030,5204,5590,5776,6243,6375,6848,6246,5777,5281,4871,4783,4494,4369,4362,3918
"DISA","Other Than Small",143,138,153,166,169,174,180,169,173,156,162,176,135,164,155,147
"DLA","Other Than Small",896,723,641,753,756,773,963,885,862,898,1012,984,928,846,869,774
"MDA","Other Than Small",34,33,42,46,51,59,54,51,61,47,53,47,45,43,51,45
"MilitaryHealth","Other Than Small",18,26,27,25,25,25,46,117,115,66,162,163,153,150,150,146
"Navy","Other Than Small",3341,2955,2949,3053,3384,3543,3772,3646,3333,3317,3296,3249,3077,2973,3024,2648
"Other DoD","Other Than Small",478,455,449,607,711,829,903,822,827,858,906,963,834,842,982,867
"Air Force","Sometimes Small Vendor",4154,4314,5043,4961,4789,4765,4496,4108,3622,3901,3933,3792,3754,3344,2949,2856
"Army","Sometimes Small Vendor",7460,7850,9228,9479,9261,8955,8162,7567,6721,6269,6310,5856,5577,4958,4577,4141
"DISA","Sometimes Small Vendor",549,521,636,666,667,604,584,556,477,474,505,508,468,456,401,405
"DLA","Sometimes Small Vendor",2745,2743,2810,2908,3263,3169,2987,3103,3073,2883,3158,3304,3261,3055,2798,2543
"MDA","Sometimes Small Vendor",60,74,118,108,114,134,142,113,103,92,77,120,131,109,178,180
"MilitaryHealth","Sometimes Small Vendor",16,32,40,26,23,29,112,292,221,97,551,577,527,468,401,404
"Navy","Sometimes Small Vendor",6211,6426,7382,7538,7182,7205,6578,6347,6033,5837,5911,5596,5475,4703,4593,3825
"Other DoD","Sometimes Small Vendor",1662,1729,1586,1649,1963,2186,2143,2012,1803,1978,2048,1964,1866,1724,1726,1606
"Air Force","Unlabeled Vendor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,4
"Army","Unlabeled Vendor",NA,1,2,1,4,4,1,1,NA,2,26,16,4,2,2,6
"DISA","Unlabeled Vendor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1
"DLA","Unlabeled Vendor",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3
"MDA","Unlabeled Vendor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MilitaryHealth","Unlabeled Vendor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Navy","Unlabeled Vendor",NA,NA,1,4,1,2,NA,1,1,1,1,NA,NA,2,1,2
"Other DoD","Unlabeled Vendor",5,4,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,2
