"SimpleArea","ProductServiceOrRnDarea","ProductOrServiceCode","ProductOrServiceCodeText","MDAcat","Fiscal.Year","Action_Obligation"
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",1991,765000
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",1992,903963
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",1993,-307045
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2004,55628
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2005,6759376
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2006,42885155
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2007,14087967
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2008,2236107.3828
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2009,9223447
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2010,12073996.5859
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2011,14212970.6016
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2012,11616579.7734
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2013,6271593.54
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2014,12284523.93
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2015,15035753.5937
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2016,21048323.9805
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2017,15639634.5
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2018,69474657.8027
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2019,8686409.6797
"Products","Aircraft","1510","AIRCRAFT, FIXED WING","Other via Platform Portfolio",2020,14546657.1506
"Products","Aircraft","1520","AIRCRAFT, ROTARY WING","Other via Platform Portfolio",1991,177000
"Products","Aircraft","1520","AIRCRAFT, ROTARY WING","Other via Platform Portfolio",2004,1986338
"Products","Aircraft","1520","AIRCRAFT, ROTARY WING","Other via Platform Portfolio",2006,11264124
"Products","Aircraft","1520","AIRCRAFT, ROTARY WING","Other via Platform Portfolio",2008,0
"Products","Aircraft","1520","AIRCRAFT, ROTARY WING","Other via Platform Portfolio",2009,943746
"Products","Aircraft","1520","AIRCRAFT, ROTARY WING","Other via Platform Portfolio",2010,0
"Products","Aircraft","1520","AIRCRAFT, ROTARY WING","Other via Platform Portfolio",2011,0
"Products","Aircraft","1520","AIRCRAFT, ROTARY WING","Other via Platform Portfolio",2012,-895758.5625
"Products","Aircraft","1520","AIRCRAFT, ROTARY WING","Other via Platform Portfolio",2013,720320
"Products","Aircraft","1520","AIRCRAFT, ROTARY WING","Other via Platform Portfolio",2015,-39056.4297
"Products","Aircraft","1540","GLIDERS","Other via Platform Portfolio",2005,4478
"Products","Aircraft","1550","DRONES","Other via Platform Portfolio",1992,47218318
"Products","Aircraft","1550","DRONES","Other via Platform Portfolio",1993,4002868
"Products","Aircraft","1550","DRONES","Other via Platform Portfolio",2000,1817096
"Products","Aircraft","1550","DRONES","Other via Platform Portfolio",2001,23594712
"Products","Aircraft","1550","DRONES","Other via Platform Portfolio",2002,4876483
"Products","Aircraft","1550","DRONES","Other via Platform Portfolio",2003,24674692
"Products","Aircraft","1550","DRONES","Other via Platform Portfolio",2005,138000
"Products","Aircraft","1550","DRONES","Other via Platform Portfolio",2007,556195.5
"Products","Aircraft","1550","DRONES","Other via Platform Portfolio",2010,-682.5
"Products","Aircraft","1550","DRONES","Other via Platform Portfolio",2020,4247.4502
"Products","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS","Other via Platform Portfolio",1991,1863000
"Products","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS","Other via Platform Portfolio",1992,143322
"Products","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS","Other via Platform Portfolio",1993,600658
"Products","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS","Other via Platform Portfolio",1994,386608
"Products","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS","Other via Platform Portfolio",1995,848772
"Products","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS","Other via Platform Portfolio",1996,330707
"Products","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS","Other via Platform Portfolio",1997,399099
"Products","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS","Other via Platform Portfolio",1998,4948482
"Products","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS","Other via Platform Portfolio",1999,2175270
"Products","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS","Other via Platform Portfolio",2000,648251
"Products","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS","Other via Platform Portfolio",2001,197059
