"EntityID","fiscal_year","EntityText","EntityCategory","EntitySizeCode","EntitySizeText","UnknownCompany","IsEntityAbove2018constant10ThousandThreshold","AnyEntityUSplaceOfPerformance","AnyEntityForeignPlaceOfPerformance","Action_Obligation_Then_Year","ObligatedAmountIsSmall","MajorityNotSmall","ObligatedAmount_OMB20_GDP20","NumberOfActions","first_year_2018T","last_year_2018T","active_2007_to_2016","first_year","first_graduate"
"69968",2007,"006213339","PDuns-1","S","Always Small Vendor",NA,1,1,0,10760,10760,0,13371.4427737045,1,2007,2009,3,2007,NA
"504615",2007,"791014066","PDuns-1","S","Always Small Vendor",NA,1,1,0,30292.0801,30292.0801,0,37643.94196595,2,2007,2016,9,2007,NA
"78185",2007,"043757595","PDuns-1","S","Always Small Vendor",NA,1,1,0,29920,29920,0,37181.5583447247,2,2007,2018,2,2007,NA
"508537",2007,"791152460","PDuns-1","S","Always Small Vendor",NA,1,1,0,405876.2657,405876.2657,0,504382.08736175,4,2007,2020,10,2007,NA
"557066",2007,"795448492","PDuns-1","S","Always Small Vendor",NA,1,1,0,1640376,1640376,0,2038493.84863924,1,2007,2009,3,2007,NA
"357347",2007,"143594534","PDuns-1","M","Medium Vendor",NA,1,1,0,9365,NA,NA,11637.8774698645,1,2007,2014,4,2007,NA
"616330",2007,"946946217","PDuns-1","S","Always Small Vendor",NA,1,1,0,3493287,3493287,0,4341104.75953772,11,2007,2012,6,2007,NA
"453373",2007,"601628717","PDuns-1","S","Always Small Vendor",NA,1,1,0,99709,99709,0,123908.288803281,2,2007,2020,10,2007,NA
"606353",2007,"806883026","PDuns-1","S","Always Small Vendor",NA,1,1,0,10528,10528,0,13083.1365726358,1,2007,2014,5,2007,NA
"512832",2007,"785071577","PDuns-1","S","Always Small Vendor",NA,1,1,0,841968,841968,0,1046312.91164409,38,2007,2013,5,2007,NA
"508366",2007,"807780668","PDuns-1","S","Always Small Vendor",NA,1,1,0,45000,45000,0,55921.4614141916,1,2007,2010,4,2007,NA
"594392",2007,"797457574","PDuns-1","S","Always Small Vendor",NA,1,1,0,34394,34394,0,42741.3943084379,1,2007,2008,2,2007,NA
"604748",2007,"806809810","PDuns-1","S","Always Small Vendor",NA,1,1,0,148666,148666,0,184747.110724494,1,2007,2008,2,2007,NA
