"PlaceIsForeign","VendorNTIB","CrisisProductOrServiceArea","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"International","All Other","PAMS",104268.973856725,811444.949250377,403329.356266586,6874867.85266347,6994409.59638276,5150994.00212999,5642816.7030076,7653272.4335674,948720.823086084,93895.1168689425,51910.7898
"International","All Other","ICT",232285.44075568,394848.017830946,95318.8919445988,-245.886751250494,94633.038980543,-29738.7867492637,7803.06962916466,330842.190978389,144011.576346802,,
"International","All Other","ERS",4182112.97861327,5376274.96287554,1792068.25406001,1432732.92218638,802973.267019051,2197749.12846447,949622.234265658,-3190.73054402079,844396.349416399,2771572.06029188,1855614.625
"International","All Other","FRS",-449544.938974297,26766.8710172667,-20142.2851284495,,175542.019326974,,,1158249.65206994,1055178.95613455,3078628.12734757,6505794.3023
"International","All Other","Construction",0,363646.464298711,-31664.1279477917,181012.27866798,-74565.8819604269,,,,,,
"International","All Other","MED",32238.079993849,38598.911502039,110886.824416031,80074.7353949099,,,,0,,,99297
"International","All Other","R&D",,,34778329.5336969,61570775.3755871,,,,,,,
"International","All Other","Other",95821.7898129672,,189038.181721236,29527.0537221914,249509.511928533,538869.438816954,236732.578677597,454693.576017153,818031.214888267,-182377.359000273,1401248.1875
"International","All Other","Aircraft",,,4731.47398941933,-4677.84551159476,,,76736.4526580296,,,,
"International","All Other","Ground Vehicles",,,,,33521.8012309649,,,,,,252301.7188
"International","All Other","Ships",,,,,,,,,,,38250.9414
"International","All Other","Engines & Power Plants",-14859.1103471649,,,,8783392.96970187,5232683.87081383,322271.440587094,,,,41900
"International","All Other","Electronics & Communications",25117.0029482077,0,,,,190112.089410669,,233652.531276159,0,138832.792778514,39669.3906
"International","All Other","Clothing & Subsistence",60692.6202133698,60596.7789183618,,,,,184990.211003651,359414.024100823,130984.412162661,92795.6110996569,266497.0502
"International","All Other","Fuels",,,3322455.40425016,,,2716598.38849196,12350460.6252306,4067658.23258779,793969.226001571,230664.792906965,
"International","Australia","PAMS",176083.649183823,470697.080203197,958317.65527075,5547485.05003755,6833043.98205535,15281655.3935494,9327091.3996891,32918073.8237074,11452824.7883963,1832360.84502959,3422266.3838
"International","Australia","ICT",37873.4474927737,23856.4819259552,,,19651.4324215129,29947.6848094978,50016.8655189636,,44529.7498926528,12029.4854428983,15035.0398
"International","Australia","ERS",14928.8376622216,-16511.942087327,1007921.66426079,752050.170507229,14943.7018669274,842350.046780862,74844.1029593129,1561178.20025142,1791259.23373105,1425414.96196561,1358802.1885
"International","Australia","FRS",-67736.4951169459,198458.927699261,25659.1474041587,,,127992.740593052,0,12819.3017225178,524612.001148459,4584636.46332546,11207763.2184
"International","Australia","Construction",,,,113947.51887218,,,12102681.4720928,18789.8222195768,12152607.0647765,1133801.39654862,1432050.3652
"International","Australia","R&D",1337253.18834485,344829.062107332,1000282.1293016,700785.637196876,1426939.1553395,1259526.09388928,1443233.39439237,2194799.76500011,1391751.46706737,1595073.09658553,2957957.3282
"International","Australia","Other",279838.725629907,2672249.82220689,3286810.62196499,255116.932080264,75849.2712780873,97677.2685405956,1424704.64696054,489073.906311138,119165.394802034,454321.554151008,13987
"International","Australia","Aircraft",,10014.7925517689,,,,,120026.453544598,,361949.843091154,140798.393912068,119109.25
"International","Australia","Ground Vehicles",,-2117520.67823961,,319242.818521194,-85604.3247707151,,,3091.13127055088,,2865.42343249838,91855.5281
"International","Australia","Ships",22602.6345744774,796977.530117066,143534.371034547,9355.69102318951,18557.6043933292,18962.9195953417,32514.616247355,220821.145694318,214862.510490215,252351.872402134,36647.5508
"International","Australia","Engines & Power Plants",,,,175316.721446716,114825.268425279,,6145622.73023893,6515435.0060279,75006.2674876943,5437978.06501067,4889671.5
"International","Australia","Electronics & Communications",6663031.47843497,2651884.85248207,1978128.07299378,2823590.2474137,22336200.0188755,4482796.69953586,330441.987270909,2883540.17621431,72403.5503577326,255840.423180574,34894817
"International","Australia","Launchers & Munitions",1238512.16407486,7764.15398260352,14211.4067466816,,-78427.4468996039,0,,40833317.1356935,85575765.8088564,-30971.7982069193,0
"International","Australia","Clothing & Subsistence",,2883309.70168195,1085494.10752542,5533.83114789349,323377.420142393,6926223.04145196,,5930212.57513752,130378.508930752,1376884.85131453,2602490.6075
"International","Australia","Fuels",,,,840.812744519981,49130.0680413138,15777.7726296789,198630.880201746,622090.728185913,,,
"International","Canada","PAMS",146457259.046835,119679287.556225,70716977.9967655,20611832.644046,63088134.1562863,22846363.4963059,35733656.4618569,29086415.5671297,50761213.3477745,55695113.042283,22682802.4401
"International","Canada","ICT",29369942.5493236,18812344.9573443,845561.765055747,31267613.4829488,29320514.2208921,55498091.3309388,26462934.8456508,1957445.46526255,15774591.8177547,9610589.12201155,9887090.9189
"International","Canada","ERS",60271120.7263507,65559037.3956314,33045462.8409747,34826250.8611674,25911783.0056606,12266346.4528754,4758540.36905339,8981790.48470165,26298873.2409376,62531534.8671973,64763959.2734
"International","Canada","FRS",32741.7999937529,19576.4695975034,3444770.06825879,185932.364610221,301610.295318293,331316.188618115,186298.693017544,177144.86876213,181724.317337437,111779.999688966,356882.6404
"International","Canada","Construction",0,,,,,,,,,,455000
"International","Canada","MED",-24147.0774953927,30748.5369597173,39942.4968194486,9567.99324256189,9970.08533205236,-2125.09066463297,,,0,,297550
"International","Canada","R&D",31236352.7865783,37902890.2090036,18567274.098959,47937038.0898632,20832761.0071385,23736314.085254,11328672.2595688,12343564.9582393,6692556.50526296,6724702.5022707,8339608.0469
