"PlatformPortfolio","gfe_gfp_value","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Aircraft","No Government Furnished",47804163293.9781,47142196000.5015,53489426257.1269,45706362335.6776,54628900297.6321,51454973557.0849,45194069507.7147,48547768828.6352,54853427519.2803,48619358920.7877,38551316883.4172,38880768147.3052,49889919556.4476,48131044422.9973,48104918303.3505,57462551491.7392,72223948020.0837,51148064139.7928,47179922643.7336
"Aircraft","Transaction uses
Government Furnished
Equipment or Property",-100803,134103778.3911,485355922.2515,14779236901.2088,12099634964.8366,14399994323.0328,18408521431.2794,21755025064.5898,23310681122.4089,24639349368.5821,19671126393.7242,22812391924.9069,25456221781.177,37691501946.7299,35233862871.0834,32625217887.668,32833850665.6625,23441197089.9574,31563196551.6387
"Electronics, Comms, & Sensors","No Government Furnished",37133679424.0204,41988033465.8147,44716690047.2338,46161549540.3125,50979489789.7357,50400401853.376,48830073749.9506,44941528548.997,41720994674.9561,34009890253.2394,32820711781.6275,32019767064.4642,35452967595.6956,38632464587.8474,44224923448.7918,47423372048.5763,48265488435.9663,43041880140.679,44855669751.3048
"Electronics, Comms, & Sensors","Transaction uses
Government Furnished
Equipment or Property",14909726.5676,10840535.6095,278944316.5166,6163632273.6896,5866457688.3552,4803005447.9361,7161821447.3408,7355198942.6706,7710149851.2458,6949602446.9771,7863417021.0211,7431561031.2901,7717972939.1147,6953330314.9456,6688899339.0261,7437776518.6729,6777117176.677,6525192708.7751,8710410249.7521
"Facilities and Construction","No Government Furnished",35686240923.2673,39479389961.3462,45216987018.0324,44380774474.2353,55324950343.8452,64201634776.3157,55025324449.9027,48501523760.2915,43933308777.6792,33832420592.2149,37537475515.9822,34203169383.1293,35154396893.3323,34706074687.1699,43418566609.1642,48548028834.7529,56600148890.5961,48545232128.8027,52194596822.1742
"Facilities and Construction","Transaction uses
Government Furnished
Equipment or Property",8669290.8524,100138877.9148,400452377.7588,1842603004.6196,2000876172.8968,2208789300.3155,6242686390.5933,6121642650.9742,5120855471.4169,5442108736.824,4721494299.4649,3965433808.0882,3434167357.298,3761461108.1307,3552055923.536,3522988916.2005,3559507561.2394,2612737514.1392,5095293592.5164
"Land Vehicles","No Government Furnished",8543868444.4475,15254454391.5846,15596344852.0136,18768217995.2316,28221819897.1687,14637643601.891,18190263826.2464,15788612628.862,7915245345.4688,5150426587.0842,4301260514.0241,4935727803.9768,4271370824.1547,5181148604.9484,8873496163.4196,7169637907.5649,6403464186.7103,4906002434.046,5044418181.3208
"Land Vehicles","Transaction uses
Government Furnished
Equipment or Property",1252750.4883,30053474.2094,532847441.2855,9429868116.6703,11502644325.7966,14195165858.1667,7145831084.4687,3789575471.6905,2921283283.0119,2284473502.4945,1524326020.0287,2562405058.7509,3081226907.3875,3072155848.8108,3815613240.0155,5739101710.4981,5347105339.7929,4781803566.4164,5711949427.7878
"Missile Defense","No Government Furnished",5992633112.586,6491873249.1563,6728564968.3287,7393416867.2635,6442545373.1025,9426547650.9913,8723878567.8191,8132165963.7919,8118449793.4393,5771363266.9474,6265499878.0816,7279917160.9907,6384545740.7599,6700541406.5533,9734498999.5691,10770771701.6942,11812890920.3716,9635166914.595,8198880023.2451
"Missile Defense","Transaction uses
Government Furnished
Equipment or Property",-7664,0,34662968,914800896.9684,2319255199.8013,1073122102.7883,1818778188.8294,2778164911.8533,3088971605.5569,5036573919.495,2250957859.3125,2099469290.5823,3601295917.3403,1932668727.7828,3692544673.3124,4058309075.2297,7555654998.0717,2462373490.2631,5618410506.4612
