"PlatformPortfolio","Competition.effective.only","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Aircraft","Not Effective Comp.",0.647652845744987,0.619426191579699,0.736965389566408,0.753268992820433,0.728978920262166,0.69641688675421,0.66610577921118,0.652863381286473,0.63686245496507,0.673020397210777,0.696141418650797,0.722471744703463,0.746921812140537,0.75947110610441,0.737044572485704,0.73059564527902,0.76979741927236,0.790344808544669,0.776051365990401,0.772016714090106,0.803492285935698,0.833974673498557,0.810074722607785,0.796249858756579,0.832692481302915,0.840219146940929,0.860566971912216,0.853316492102536,0.852432679837555,0.90152934326537,0.81419478755516,0.830604002792283
"Aircraft","Effective Comp.",0.294517253619441,0.310088380965882,0.23045739088606,0.212182708723421,0.246841779877139,0.286686012351455,0.317078278916916,0.326690666238657,0.357249142168132,0.323493689222417,0.30138991877118,0.273087951192329,0.24788696452426,0.233992192562748,0.25875659637801,0.265643578679006,0.228173288192946,0.208338222625507,0.223294364283582,0.227552214308361,0.194795453676642,0.164924239477265,0.188741015040954,0.202882998026684,0.166585843026437,0.1590941390778,0.138601585171494,0.143952687414126,0.146364673236916,0.0971146131661661,0.184676454526855,0.159513199760833
"Aircraft","Unlabeled",0.0578299006355721,0.0704854274544188,0.0325772195475314,0.0345482984561455,0.0241792998606956,0.0168971008943355,0.0168159418719041,0.0204459524748699,0.00588840286679786,0.003485913566806,0.00246866257802369,0.00444030410420776,0.00519122333520295,0.00653670133284119,0.00419883113628589,0.00376077604197453,0.00202929253469389,0.00131696882982426,0.000654269726017259,0.000431071601532678,0.00171226038766008,0.00110108702417796,0.00118426235126083,0.000867143216736521,0.000721675670647869,0.000686713981271429,0.000831442916290236,0.00273082048333839,0.00120264692552889,0.00135604356846408,0.00112875791798457,0.0098827974468839
"Ships &
Submarines","Not Effective Comp.",0.392188730071433,0.338321175682238,0.374729057751359,0.348706942394751,0.615529803594144,0.483801801995899,0.534892931820295,0.546537983488792,0.506229232821283,0.530586603694365,0.787537734837522,0.545815341805796,0.530305026732863,0.656919361103641,0.552013212232221,0.752185852820554,0.760369846304561,0.776420287645674,0.735184540546418,0.659313651351854,0.685676669715209,0.646151078664084,0.628331508278182,0.630747509124231,0.581799780787238,0.579134274931219,0.569168961959732,0.531324648086502,0.550959706015216,0.630587592708567,0.649815967329823,0.562607457792031
"Ships &
Submarines","Effective Comp.",0.602133639127283,0.661962597773948,0.623625991647544,0.651454234720593,0.383834673691579,0.51555088124418,0.463858824311171,0.426037518624338,0.463004944212287,0.461924939195745,0.202621180930735,0.400601821677533,0.422587629436009,0.317285013446619,0.430001801962865,0.233756421728509,0.236992848103845,0.215484643506208,0.262367659539885,0.337639477685561,0.312971500872542,0.353096088284556,0.371158580242557,0.368134612782665,0.417423316572622,0.420164167478717,0.430251708944546,0.467962015284147,0.44847095053158,0.367860958615819,0.348583585787237,0.434904470395047
"Ships &
Submarines","Unlabeled",0.00567763080128363,-0.00028377345618587,0.00164495060109666,-0.000161177115343698,0.000635522714276663,0.00064731675992076,0.0012482438685338,0.0274244978868699,0.0307658229664292,0.0074884571098899,0.00984108423174257,0.053582836516671,0.0471073438311276,0.0257956254497405,0.0179849858049142,0.0140577254509375,0.00263730559159361,0.00809506884811882,0.00244779991369741,0.00304687096258522,0.00135182941224959,0.000752833051360274,0.000509911479261307,0.00111787809310388,0.000776902640138995,0.000701557590064268,0.00057932909572191,0.000713336629350572,0.000569343453203943,0.00155144867561376,0.00160044688294008,0.00248807181292177
"Land Vehicles","Not Effective Comp.",0.77967335865688,0.524816796349929,0.636988976662497,0.65355689567328,0.58861106090499,0.688022321814581,0.634842927437489,0.650373670712286,0.721438534553337,0.692291754944772,0.571471248534104,0.564591163816091,0.742141695466016,0.581158549991825,0.698631157045526,0.693595400005995,0.689570167595382,0.671972834049481,0.676947588832758,0.638646411354093,0.706498059227006,0.657025788514658,0.642977418199171,0.690235226089623,0.742707668071157,0.680825919360344,0.665365568131678,0.680638483850619,0.628286210994717,0.66433872556342,0.601893737106708,0.724799674926142
"Land Vehicles","Effective Comp.",0.220224857447961,0.439291251997675,0.362957962450853,0.34573695943986,0.410687325471688,0.311034132494985,0.360276189100453,0.341225070657607,0.269284641757098,0.29212784622364,0.425298801845785,0.42348772470131,0.247310545183548,0.40184625457617,0.300642575867731,0.304958152673881,0.309631210023669,0.327533584030742,0.322159632393485,0.326306456405947,0.289695259410448,0.339050246953919,0.352756286064796,0.302508088826121,0.256886153920496,0.317817886761154,0.328528948446339,0.318469833526404,0.365608976624349,0.327495864297157,0.37907892732879,0.240086590659857
"Land Vehicles","Unlabeled",0.000101783895158594,0.0358919516523956,5.30608866503616e-05,0.000706144886859441,0.000701613623322025,0.000943545690434009,0.00488088346205851,0.00840125863010704,0.00927682368956461,0.0155803988315884,0.00322994962011083,0.0119211114825995,0.0105477593504353,0.0169951954320048,0.00072626708674361,0.00144644732012356,0.000798622380949283,0.000493581919777404,0.000892778773756322,0.0350471322399596,0.00380668136254635,0.00392396453142224,0.00426629573603287,0.00725668508425539,0.000406178008346476,0.00135619387850129,0.00610548342198236,0.000891682622977227,0.00610481238093367,0.00816541013942265,0.0190273355645026,0.0351137344140008
"Space Systems","Not Effective Comp.",0.346119005538089,0.454813119514068,0.611745555300168,0.750875072338476,0.61363602011603,0.58897960446762,0.587646694014,0.627949060155181,0.639781493205637,0.455267072504199,0.363085851246183,0.410704814940838,0.546349581501837,0.423055508745961,0.427804125735401,0.534824047536866,0.477050927650274,0.509749634684789,0.552831661040061,0.555081549145991,0.602543528333563,0.651407245871683,0.62568299829244,0.661258759555019,0.718618119193892,0.650755698844146,0.690662445447016,0.536780670046976,0.607857709861508,0.614962396702037,0.695317624695624,0.69806562723766
