"PlatformPortfolio","Competition.effective.only","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aircraft","Not Effective Comp.",0.673321466753278,0.693862601899489,0.720308394839803,0.745909960623084,0.759599237764461,0.737230433710088,0.731121240236693,0.770502244779362,0.790924425254814,0.776567781456421,0.771973186554916,0.803620212709662,0.833981110310422,0.809986366819218,0.796134381819401,0.832675136803402,0.840324839514801,0.860050522424794,0.842281941291997,0.851122286021093,0.899580000044218
"Aircraft","Effective Comp.",0.323175432990499,0.303581220848024,0.275126829794487,0.249667352070899,0.233662843755031,0.25853839922025,0.260846592721578,0.22748459965258,0.207765976461055,0.222777604590864,0.227596759842609,0.194668146632875,0.16491311501866,0.188828224324728,0.202999726787825,0.166602674733255,0.159138080038863,0.138189401330094,0.107407384997583,0.135682580817903,0.0920301002325641
"Aircraft","Unlabeled",0.00350310025622343,0.00255617725248686,0.0045647753657105,0.00442268730601629,0.00673791848050777,0.00423116706966247,0.00803216704172986,0.00201315556805775,0.00130959828413064,0.000654613952714987,0.000430053602475353,0.00171164065746322,0.00110577467091754,0.00118540885605439,0.000865891392773313,0.000722188463343666,0.00053708044633581,0.00176007624511271,0.0503106737104207,0.0131951331610045,0.00838989972321787
"Ships &
Submarines","Not Effective Comp.",0.537020469845372,0.787997626828913,0.543566958434243,0.53573871583019,0.656493702465104,0.552120482256197,0.752368536541333,0.760378533197714,0.776420287645674,0.735169709985385,0.659329086258696,0.685671428796901,0.646135711352869,0.628324683236226,0.630747509124231,0.581799780787238,0.57913136324118,0.568868122153832,0.524603300815116,0.550256205488938,0.630254246422078
"Ships &
Submarines","Effective Comp.",0.455541243000371,0.202145417272976,0.403171676370739,0.417622597247244,0.317495057473184,0.430052332291697,0.233749246208244,0.236958776897655,0.215482853315435,0.262357903601812,0.337615424174697,0.312967438241505,0.352770384595628,0.371054483120507,0.368021589839426,0.417391910000901,0.4201400287893,0.426861927792377,0.348259916738343,0.414205949590332,0.358684866154059
"Ships &
Submarines","Unlabeled",0.00743828715425725,0.00985695589811085,0.053261365195019,0.0466386869225661,0.0260112400617124,0.0178271854521068,0.0138822172504234,0.00266268990463095,0.00809685903889141,0.0024723864128039,0.00305548956660723,0.00136113296159356,0.00109390405150216,0.000620833643266696,0.00123090103634309,0.000808309211860603,0.000728607969520175,0.00426995005379047,0.127136782446541,0.0355378449207292,0.0110608874238628
"Land Vehicles","Not Effective Comp.",0.691616890154323,0.599933562899097,0.586581962957299,0.750120044604977,0.581897070592857,0.698972011451412,0.693783379552762,0.689620680377062,0.6719810920092,0.677126015692759,0.638708613253822,0.706690273763799,0.657404750864096,0.643578266554786,0.690279638268423,0.742696056623746,0.68079571495785,0.664570379186559,0.654106920575104,0.607686444203168,0.656543521999528
"Land Vehicles","Effective Comp.",0.291758392346942,0.395748394856616,0.401626520339929,0.239542569789526,0.401055234329458,0.300302485785507,0.304782775267434,0.309592552903267,0.327499401578146,0.322097395490665,0.326231134006467,0.289501539949055,0.338619989539201,0.352151439980419,0.302463175197419,0.256897722380093,0.317832024889403,0.325845314874084,0.190859671202386,0.355803526347159,0.314319048174736
"Land Vehicles","Unlabeled",0.0166247174987352,0.00431804224428703,0.011791516702772,0.0103373856054967,0.0170476950776851,0.000725502763081525,0.00143384517980464,0.000786766719670821,0.000519506412654152,0.000776588816575851,0.0350602527397102,0.00380818628714563,0.00397525959670347,0.00427029346479477,0.00725718653415712,0.00040622099616061,0.00137226015274747,0.00958430593935702,0.155033408222511,0.0365100294496732,0.029137429825736
"Space Systems","Not Effective Comp.",0.47599142360834,0.379476302479248,0.435294587422232,0.569883819822785,0.434566432389553,0.455390471202255,0.568832316593968,0.494116515949922,0.527373267336865,0.566116643666897,0.568268125669948,0.613724304016265,0.65843864823707,0.627282623493012,0.660910654237407,0.718045032530557,0.650755698844146,0.690662445447016,0.545828682996333,0.60785637797899,0.620764143956804
