"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aircraft",1253.30609962085,1263.71714121148,1374.43508122308,1440.54353077033,1233.06818961822,1179.09413639671,1379.12184448402,1444.97498579508,1179.49870347445,1166.9483109477,1066.64890889682,1176.00969332387,1503.22670407293,1468.78112217441,1219.51829439642,1274.96772922863,1672.27315396614,2123.2738171539,1486.57584249917,1395.67119222554,2579.72646983125
"Electronics,
Comms, & Sensors",296.211405156673,286.048496579136,293.002686304937,271.751958160896,270.245823903727,268.845459886724,255.520520355043,275.410429084434,256.112022977471,229.490488912045,251.293397807216,240.554916690461,228.572297406314,230.664088371428,210.07558963654,209.511327644095,190.48740692079,212.066047500978,174.598421780665,189.567462966228,169.171483475165
"Facilities &
Construction",24.7790900535374,25.7354188143637,23.4475188614154,61.2376148256202,50.0883893320904,30.9756901013433,35.82305847925,28.542848778116,34.6993427633525,42.040055135257,32.131461754068,32.9884865970173,29.5335171781487,31.9407754012952,19.9213343423391,22.4428541626125,21.1355686213594,23.1164977756595,29.4821043648169,43.8690146452567,48.8250829910218
"Land Vehicles",1015.19381653125,852.822282953523,986.657140675736,1992.91408177687,603.24686944068,697.567946996074,809.188162828753,913.561463578785,1260.70506970475,969.476674561685,1160.77243403182,1058.75935577622,1120.80286417139,1251.8708828908,1001.76099914527,791.102227853239,922.811550844922,923.088706816676,935.326053412555,969.21027867356,1126.3957664762
"Air & Missile
Defense",1902.52653303928,2224.04208194612,2638.8974501453,2291.73003169623,2284.82646465207,2128.88635479546,1889.67400990966,1663.96738472515,1656.06211548254,2023.15660686926,2361.77488974865,2625.80333713252,2736.28342331897,3206.4150560438,2197.96602207811,2473.73568867899,2450.40251626343,2024.47571465061,2550.92336304772,3565.49221511321,3220.78246878148
"Ordnance &
Missiles",917.408186388839,917.80315779508,956.270896917827,1078.53617094051,929.754732628676,737.617799379801,980.450940813049,767.178147305871,811.029994262048,957.995586410827,888.808438436116,912.533561726514,934.15794874416,1209.30645848229,1260.08670350246,1333.91141055912,1298.00110264512,1300.46797270694,1280.32080812849,1533.31151511503,1313.90773961351
"Other
Products",231.228516438635,311.485917437232,254.829328814213,122.514988326088,189.891828797389,409.060923665517,350.132342653167,409.194357479383,496.539464493636,234.353797318524,240.419344124968,188.82482448409,288.535398157731,256.431323882237,253.117185298852,282.113101993219,366.877621644306,352.253669542868,272.481703937789,296.512419800869,271.062698227922
"Other Knowledge
Based",125.549268390629,107.559201805077,132.559628169868,165.164427932849,134.007270108553,136.245487255458,164.360668526502,146.528256296871,137.255832719438,118.981950190801,127.171952862292,125.346574344329,139.122591665637,127.974239395129,107.872488185819,99.5670801503931,85.424060023601,74.3255084306862,79.011636319417,81.9358931997559,84.853657097645
"Other
Services",307.257279412863,360.357486668105,576.527426184559,690.357433005758,1245.07186413165,907.356458941649,876.537661066529,786.105007020048,803.729917264832,595.807877923587,487.021625295424,410.817771053236,390.499780085763,411.275098053708,538.035321830235,569.469108203971,552.202467774183,505.773049646451,557.763582107868,699.159538900852,738.718327610093
"Ships &
Submarines",1067.25059148535,2527.34178223831,1966.81336631408,1496.63392064855,1806.10062537755,1927.23964120973,1840.73277588714,1695.86959567172,1834.70049309463,1566.38369725795,1410.24328643298,1789.10126362132,1479.57800705402,1438.69406346151,1733.53367993625,1503.14737201455,1498.51554421873,1726.42671550016,1230.30231540406,1319.61531306072,1878.01015254983
"Space Systems",2863.43211226364,2585.37103590249,2283.45578752137,1958.2024617378,2302.40113723309,2261.79922657136,2324.02836135472,2099.01981084099,1906.56536665597,2475.01985382352,2262.51529635878,2741.40303120037,1706.51090427301,2285.6454942643,2407.30077861095,1923.71311725394,1769.20737740716,1719.41866593644,1152.4523073875,1661.6072878044,1741.77783852552
