Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,gfe_gfp_value,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2011,NA,Defense,Army,Other,Facilities and Construction,NA,NA,DCA,Competition with single offer,One Offer,FFP,J,Unlabeled,TRUE,N,N,X,2012,FALSE,2016,>4 years,>1-2 Years,1,153334.8594,NA,1,2011-01-01,2011,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Army,Unlabeled,204608.50785893944,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2020,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,TRUE,N,N,X,2019,FALSE,2008,>4 years,>4 years,1,186545.98,NA,1,2020-01-01,2020,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,215906.58742033964,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2022,3,Defense,DLA,Engines & Power Plants,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,FALSE,Y,N,NA,2022,FALSE,2022,>7-12 Months,>7-12 Months,5,0,NA,5,2022-01-01,2022.3,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Air Force,MED,Other Services,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,X,2010,FALSE,2012,>4 years,>2-4 Years,16,2598000.2436,NA,16,2009-01-01,2009,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,MED,Services (Non-R&D),Services (Non-R&D),Other Services,Air Force,Small,3566954.1058881534,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2015,NA,Defense,Other DoD,Basic Research (6.1),Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),10-24 Offers,Other CB,U,Large,TRUE,N,N,X,2003,FALSE,2003,>7-12 Months,>1-2 Years,1,-197.62,NA,1,2015-01-01,2015,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Other DoD,Large,-247.26807502664437,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2024,1,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),10-24 Offers,FFP,J,Large,TRUE,N,N,NA,2038,FALSE,2031,>4 years,>4 years,1,-40589.4,NA,1,2024-01-01,2024.1,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Large,-39533.61573264731,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2007,NA,Defense,DLA,Engines & Power Plants,Aircraft,NA,NA,PO,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Small,TRUE,Y,N,X,2008,FALSE,2008,>7-12 Months,>7-12 Months,1,43384,NA,1,2007-01-01,2007,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Small,61422.92833759881,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2018,NA,Defense,Navy,Advanced Development,"Electronics, Comms, & Sensors",NA,NA,DCA,Competition with single offer,One Offer,Other CB,U,Small,TRUE,N,Y,X,2019,FALSE,2019,>7-12 Months,>7-12 Months,4,321250,NA,4,2018-01-01,2018,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,"Transaction uses
Government Furnished
Equipment or Property",R&D,R&D,R&D,"Electronics, Comms, & Sensors",Navy,Small,383633.217439042,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2010,NA,Defense,Army,Engines & Power Plants,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,X,2010,FALSE,2010,<=2 Months,<=2 Months,12,24385.7,NA,12,2010-01-01,2010,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Small,33193.15787141995,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,Navy,Advanced Development,Other R&D and Knowledge Based,NA,NA,DCA,Limited Competition with multiple offers,100+ Offers,Other CB,U,Small,TRUE,N,N,X,2012,FALSE,2008,>7-12 Months,>4 years,3,650000,NA,3,2012-01-01,2012,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Small,851894.997105477,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
