"Output","Model","Variable","Odds Ratio","Lower Bound","Upper Bound"
"Ceiling Breaches","Concentration","Log(Subsector HHI)",1.19,1.08,1.33
"Ceiling Breaches","Concentration","Log(Det. Ind. HHI)",1,0.92,1.1
"Ceiling Breaches","Competition","Comp=1 offer",1.18,1.1,1.27
"Ceiling Breaches","Competition","Comp=2 offers",1.3,1.2,1.41
"Ceiling Breaches","Competition","Comp=3-4 offers",1.61,1.49,1.73
"Ceiling Breaches","Competition","Comp=5+ offers",2.33,2.18,2.5
"Ceiling Breaches","Both","Log(Subsector HHI)",1.28,1.15,1.42
"Ceiling Breaches","Both","Log(Det. Ind. HHI)",0.99,0.91,1.09
"Ceiling Breaches","Both","Comp=1 offer",1.07,1,1.16
"Ceiling Breaches","Both","Comp=2 offers",1.23,1.13,1.33
"Ceiling Breaches","Both","Comp=3-4 offers",1.48,1.38,1.6
"Ceiling Breaches","Both","Comp=5+ offers",2.08,1.94,2.23
