"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aircraft",35400631991.53,35694322414.9394,38615282435.1662,48583497573.4567,47852270835.9781,47310366672.8926,54081806744.5776,60630980874.7968,66905443851.7879,66001124435.5667,63575494170.0946,70328553963.8956,78122394324.6226,73219281908.349,58183080661.2364,61687298387.0973,75361513517.2746,85839350872.169,83194702341.4248,90232535239.3762,105149871043.815
"Electronics, Comms, & Sensors",20600555923.8069,22470646870.0158,25911504292.8764,31714717105.5554,37258604308.588,42341404155.4242,45359724132.7504,52465084457.0048,57024600987.692,55330825246.1556,56229741043.0709,52459842762.7571,49581221068.5729,41016927539.4473,40718977050.3836,39457509530.4869,43175985962.9103,45584378085.6246,51083551803.9631,54804816529.6552,54971680669.4654
"Facilities and Construction",20786916910.0744,23107328569.2593,26027970587.2005,34357274180.2863,35573581375.1197,39371547693.261,45477965274.852,46054962419.8549,57031592147.8795,65968131475.3321,61060137387.5789,54243332644.0723,48706553041.8429,38970480616.9689,42026611130.9209,37927563012.3601,38264892958.614,38236269217.0666,46487327670.9063,51775506943.267,59735805302.5812
"Land Vehicles",3396266974.419,3539794688.2578,5039755539.3472,9947244876.434,8562753558.9358,15300610231.794,16139572315.2991,28198183529.6519,39717358266.8289,28828783888.7689,25330676276.6434,19570451163.6854,10828576182.5207,7427939745.0087,5825184003.4328,7497339382.4672,7352146227.2297,8253292736.4594,12669606022.3244,13047551517.263,11827203302.5032
"Missile Defense",955629335,1934613424.3999,3618850383.8281,4004909075.0938,5950319551.586,6482921045.1563,6750772307.3287,8313366552.2319,8761720219.8506,10501117509.0155,10556654646.5502,10915898236.3441,11207421398.9962,10808580184.1624,8516574991.3941,9379386451.573,9984597375.1627,8633210134.3361,13426541415.9968,11270971885.5177,14812685578.6337
"Ordnance and Missiles",10752685205.275,10564898954.3983,13524212890.3593,14614856462.0499,14204182628.1602,14870948391.1777,15042354582.2582,17945827557.5707,19207407068.5383,17913405235.7808,16674388589.5534,15420096155.9508,15680085307.3649,13039562340.4047,12578021203.0423,13249652961.1996,16477707729.0983,18044712601.5428,21544635321.0045,26475729816.2053,28297867553.5253
"Other Products",8639631778.09,10228232817,13400997103.2415,15542447428.4263,18316220028.3947,31831648773.5399,34635226381.2251,34283632888.6748,39101663437.6713,35588806644.6735,29114589259.5554,30006785905.1202,35356441038.3427,26464887728.3953,24268112947.6681,21069110791.9282,19406249663.8794,21576356486.3658,25169090311.4599,23212601845.6019,25518398801.3615
"Other R&D and Knowledge Based",12520414312.0637,12535825224.9022,15912758546.1511,18777663919.2682,21007790229.9484,25755077157.1759,29024392939.9745,30532146000.6231,34011360053.7551,38743598810.2673,40170134934.3294,39937439221.6161,40263003101.486,34056475147.1195,33595562101.9693,33264032389.2424,33468844829.0156,34748872270.2289,38808225440.6663,42601805301.0193,44265681353.4529
"Other Services",6506267013.1198,7420418624.8457,10543063265.4787,16095378108.6387,20098000394.0342,22202331352.3628,24229497507.1944,24481298809.7046,27430529998.3125,30690372037.2101,33027584426.2976,36791692391.3012,33863647977.6848,30655317154.3359,25657189162.7407,22955222544.1888,23806475416.8035,26207298021.1504,28473753112.7989,29607583704.1814,29482057729.9918
"Ships & Submarines",9528296304,12484065798,12854065765.9302,12824805488.0506,14830516772.1636,14037106007.1306,16820153099.4898,17252301147.0864,19353076069.0697,21501461737.6141,17561181485.3883,28389437787.5177,23822590992.5233,23050855238.6109,23827426373.0695,21478209072.9086,24652659223.7647,27207762331.1003,31306616728.6814,33305801657.137,40022416123.1904
"Space Systems",3044177206,3974881296,4226477324,4992821995.6601,5964392888.1602,5996757784.2656,7412349318.5679,7790795564.3206,9109862145.3245,10013597032.559,8878450001.5812,10110786328.5415,9843082443.8571,7551872503.2594,7853619901.5551,5967821763.6235,6075865714.2822,6050578378.7743,6040616655.2822,7216485115.1359,7252643222.9167
"Unlabeled",29503352.0086,9825233.9425,84074351.1754,75741000.174,7078195.7826,3802636.1223,109748294.8077,18047585.0499,368043.2192,986168.1333,-253919.658,-140825.1013,-6477.8001,-99723.1206,NA,30000,3581529.4308,1345607,-212795.3672,465885,314555.625
