"Shiny.VendorSize","Vehicle.AwardTask","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Big Five","Award",,,,,,,,,,,35486514102.3067,35997008955.1327,47856225345.3842,54403887374.9961,55675061647.4055,53398758135.1251,65115072578.792,70277053636.4334,72449902846.2718,73298728942.4082,63142563069.7137,77576805345.8643,72358239725.156,70969789250.4607,58920922298.3383,58156272601.4586,75226267746.2712,82872903187.6379,75441322762.1767,83873614492.2875,110265655676.95,71586690168.4937,
"Big Five","Task Order",,,,,,,,,,,7414230923.9187,10002411006.107,12176732287.0826,15720882603.1281,17222575846.1918,20597423723.7676,23447914966.4703,28850146663.0564,32729783608.5644,33952937872.2669,33795892491.6087,31890083244.326,32970112002.9605,25500249884.3722,23102970088.4262,23739968438.2695,27655427213.9119,29518563811.6789,37826249462.5431,39758838098.5864,42655528003.7717,42450395307.6431,
"Big Five",,29993312707,31945138023,29753069568,30346592157,31747329388,28791249139,32842967690,34627617203,37288669184,39481622310,0,0,0,0,0,-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
"Large","Award",,,,,,,,,,,18393287074.9219,15594350655.887,17958729156.0146,22395436038.537,23197635352.9578,26758327418.6939,28220978443.4453,34935517332.9232,44583462719.2054,42141546433.13,40859359143.3822,39437277655.9034,45269606936.1687,43229034137.1932,40317577112.9703,39876876401.1666,38855754849.196,38660742370.0866,45114215339.5134,50545607638.5111,49725680193.2869,66263492098.7256,
"Large","Task Order",,,,,,,,,,,18260543816.1553,20542633935.6452,24605331934.902,38304679642.0081,48824235565.7698,56288047882.3977,64086524927.2636,71249793985.1491,86874254783.5205,85095851269.3476,83294999650.9762,79577362663.9752,73823443676.4128,56311454458.9928,51475310243.9112,46169967020.6692,45605834656.448,50600392305.0747,60388425533.3161,58463215592.4782,62175751452.8445,55917245434.8331,
"Large",,35960786888,37864157273,35093190779,33829226700,31124696371,28535738215,30194250369,29073824093,28131511337,29678232189,0,36050,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
"Medium","Award",,,,,,,,,,,16389215713.1196,22813807557.0488,20115110444.9095,24305157791.6256,22283454885.9793,26221454521.2367,25961058662.889,29389352656.9155,34392658609.2395,37756064154.037,34736229353.7423,36460139784.66,31566230373.0004,26918036270.9156,25203631964.3202,26139159296.2586,25569507024.1009,27103502961.5755,31263887189.7653,34639295506.1577,33619222260.8619,30749479718.6376,175275390249.513
"Medium","Task Order",,,,,,,,,,,14710985174.6885,15941703487.4879,19338848609.3087,23134561654.5322,25886847162.2475,31767870177.64,35612192422.3301,36485638482.5455,42676248190.1623,44642276348.6891,43763382016.2851,43048482552.2115,42285087168.3045,34946956979.0448,30123828967.9257,27048773483.8538,28166120566.4166,32083616797.1796,38441776130.8499,42939595989.5764,47459619393.4064,45119413468.1325,155022892737.384
"Medium",,28304563806,41243339793,34954992394,33954732784,32186662449,35189234715,30275743132,30248655247,30401001630,32560231774,0,0,169197.2031,0,3166164.5508,2628995.1562,41330,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"Small","Award",,,,,,,,,,,10262781053.6287,10671016012.3861,12450276002.3397,14828212509.2819,15241127958.9372,18038217430.7534,19856994779.3307,20525404561.9576,22229482890.045,24171945379.3429,24297735316.674,22031897472.3904,22270466709.3382,18812191690.7957,20541110358.4576,19358243069.5235,20719003677.3941,20992515375.9794,24628408660.1896,25082564550.9818,26556321470.3932,26261844732.9517,29257607687.1836
"Small","Task Order",,,,,,,,,,,10360119479.198,11118130181.9066,13716845149.6638,17858046161.9346,19628873832.7327,25442180349.9702,25822969106.5823,29416828009.1001,32807739991.7587,35170584846.5444,33702365711.5456,34304672597.0852,34058860825.7914,28349903879.6378,32939488521.7647,33154995250.3961,35826289322.1456,38271771550.9479,45618939957.8313,48181803652.1397,49283197559.2598,47957810811.1814,54825788508.1923
"Small",,13434309635,19368531588,17618999024,17645725767,18075942350,19041220687,19347310930,17934266701,17287313973,19013255479,348305,0,115762.3828,707775,1068586,1484082.64,1236989,667000,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"Unlabeled","Award",,,,,,,,,,,872565561.45,1323291177.3596,1560904834.5636,640918808.0504,1605343529.1497,1685936894.8592,3588384040.4004,3790861489.7188,5598078618.5747,3280556537.246,2535566891.9138,2114318557.4071,1639155472.5412,682121181.4948,380590878.3711,547297078.1715,504810920.7411,320924678.3245,238766970.0948,359487969.6642,67877209.8505,443947701.3018,0
"Unlabeled","Task Order",,,,,,,,,,,27895302,9977200,17273883,33756657,178714646.9294,5516925965.183,3511647731.7609,3219542294.7708,3617099045.1581,2020741134.2666,2275775195.1661,2124875730.339,1395227765.9131,861314609.7738,278931545.0137,-7060873.143,232770366.6067,197457363.8532,-6061199.9184,11471671.5625,11887022.7008,312300897.9473,
"Unlabeled",,12657156369,5733027167,5986408785,5597104734,4027272167,5034572112,5788506977,4097788635,3857386043,1451694736,0,0,0,0,0,4721.8799,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,
