"PlaceOfManufacture_DoD","SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Foreign MFG, Perfomed, or Content, Unlabeled Waiver","Products (All)",3843733834.82997,3248856985.96304,6252286854.71687,6870663387.33394,9035028411.96375,17990175131.2654,16615208463.2169,9194512810.90096,6472235655.73469,11428436.5769138,274167801.253252,100230566.118521,849850.533471122,-995182.968767618,-25271945.6858407,-2126209.84918033,-2507626.90438549,-2651308.32227186,-1044831.65688112,-4940911.22334456,-304793.8235,-151102.068830277
"Foreign MFG, Perfomed, or Content, Unlabeled Waiver","R&D",204527886.059179,225308629.368618,247117130.520951,342872555.26206,363840362.778713,886710615.368511,1810540381.21741,2673262875.01044,815873087.967978,171231082.376384,360968325.188447,529258777.933427,240862924.346308,108314180.166986,31896034.9210177,-739740.095081967,274749.609745533,-1637585.6217826,254091.828336456,-1819584.85981022,-1729379.4878,-1007988.70899108
"Foreign MFG, Perfomed, or Content, Unlabeled Waiver","Services (Non-R&D)",5238949108.56234,5265892738.18309,4889484148.10617,6648508645.55721,7246823728.87469,9711258374.51779,8941461910.83735,12173253485.847,4094978436.94533,267019901.831488,989430438.073398,1017841996.03264,243045923.513377,227634377.697035,140351535.236504,127841531.174098,18670146.9867894,35676599.2941927,29017057.6901936,-256547.01254974,-706572.1886,-239780.784880871
"MFG Outside U.S., Other Exception or Waiver","Products (All)",NA,30197255.8607795,NA,627942.735993327,43664459.7210155,71671806.5865613,670539459.226861,731183297.0809,1729616268.46244,3045010348.83979,1685196286.71035,1777534165.5451,1374226875.72017,1732041291.59105,569496324.080863,550194030.451913,636837646.647212,284562216.355988,316970289.780658,240812618.941537,620976402.2212,567057358.2161
"MFG Outside U.S., Other Exception or Waiver","R&D",NA,NA,NA,NA,NA,NA,2236597.40840036,50688592.8920095,3364891.02642153,8392893.7987482,78465863.7546246,NA,-14000.9190492594,NA,NA,-50.6885245901639,-382.252301028695,NA,NA,NA,NA,NA
"MFG Outside U.S., Other Exception or Waiver","Services (Non-R&D)",NA,NA,0,0,NA,0,20157098.9548066,102270160.827762,89639269.5238037,61116192.6909003,5525130.82659029,222276.511992512,378550.153060053,-188867.58371857,-25960.2433628319,-36503.4532240437,-399420.377693557,-396849.407041055,-1197.16843639392,-4289.35822875217,-7670,NA
"MFG Outside U.S., Qualifying Country","Products (All)",34506606.8011188,17324435.4954696,34910774.3488109,29243998.3317114,56286623.832745,655775230.455072,175067065.888293,-108495122.429725,1495539555.90637,1570927290.18909,1816389841.62179,1378880845.47104,1109393208.04765,580506306.823768,649667440.192257,561466048.477268,1274054866.32084,3066273339.43565,2824372909.86665,3720899435.99633,2856381215.2636,3373966333.75409
"MFG Outside U.S., Qualifying Country","R&D",NA,NA,NA,208536.076741276,NA,NA,51160.4749138261,2949010.38436684,13051170.2483867,1565376.67007703,0,-75368.2715572716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MFG Outside U.S., Qualifying Country","Services (Non-R&D)",NA,NA,0,NA,NA,18597032.9380764,1757079.02463935,8014558.18168261,47825592.5749422,31254114.3288397,11151435.722998,1450612.96723997,1314385.06510506,31095.3207802458,276255.730088496,876152.732240437,NA,NA,-5536.95586092026,-40454.7895112744,-190.21,NA
"MFG Outside U.S., Use outside U.S.","Products (All)",6704959.51715001,10458463.972386,72345505.3793885,390156121.163909,614763912.939044,448864044.79473,8370751252.72514,12812649207.7638,18202717744.83,15677907518.239,15213587285.9255,12226096826.7145,11863315474.2672,12631019505.4488,5995847752.31792,4943178173.32721,3620722720.28316,3487546542.57084,3043652346.14179,2886558046.77941,2319111503.6289,1985472455.71929
"MFG Outside U.S., Use outside U.S.","R&D",NA,421085.862217748,394344.56398641,40997800.6395106,NA,2225631.91699605,281932.716200689,28888766.7789238,98300491.5927189,7346403.18692826,9251633.89318534,0,-713.055459869101,-313.451347389785,-8416.6592920354,NA,NA,NA,NA,NA,NA,NA
"MFG Outside U.S., Use outside U.S.","Services (Non-R&D)",60260.562343589,78258.3057672947,48182866.6477916,5472100.65341304,334877.573174043,14717393.0437418,77150475.5128303,390569933.677768,359923726.73822,450032201.813072,65508831.9478458,-3079618.44986545,-1735208.23642209,-307050.873830195,116703.130530973,-34739.4873224044,NA,-5071.38917251649,NA,NA,-18000,NA
"U.S. Manufactured","Products (All)",12695365.8177536,109857767.869984,32568229.0486976,51757648.0606145,117390208.790388,5495099.36785244,30479774.7648411,1527924661.96657,2253099185.68781,2136296782.79442,1467202447.60556,1469513779.23552,526311002.245149,190299483.743827,397941576.659624,197149935.508415,153926398.123877,171978358.246437,169983853.030918,115946745.429956,108576770.3735,129526000.153937
"U.S. Manufactured","R&D",NA,NA,NA,NA,NA,0,5112826.50325546,1561196.89076675,82861380.0909534,-151237.605440539,93876.9799498747,537280.588276588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U.S. Manufactured","Services (Non-R&D)",10507.8757544531,63605.6378541637,4416.76104190261,20454.608647296,0,492255.283003953,4059697.85522788,203157259.246676,25581756.9226835,12996989.4204381,-1455034.52201933,215783.315783316,-39927.6619588931,-23277.6299470064,-4104.1482300885,0,NA,NA,NA,NA,0,NA
"Unlabeled","Products (All)",16077027.8227587,83681731.626636,24685238.887316,91962727.8249687,103326545.214771,92441299.3063241,1002415441.8214,4103182575.61886,1564830251.05832,3821033273.80043,4299443623.36699,3601991549.93483,3846327742.90286,2776673692.52576,1691602417.11814,783015172.526557,846271561.999783,902576740.369283,859793921.123464,685735736.572084,723763442.7741,536713774.737033
"Unlabeled","R&D",55780751.3248933,4531957.42844815,11403687.7123443,55659096.3436675,10760897.4797719,92844867.6645586,59879373.432529,92438869.8370821,229440746.054548,835435087.491454,1412564151.16529,1025887616.98561,907582897.743254,526805905.198669,263861207.624447,245257844.57847,56814341.5703303,67455807.0945543,82105360.9169269,68047126.295174,53791194.7281,44243804.2371801
"Unlabeled","Services (Non-R&D)",555025471.809215,117423107.707608,490632439.214609,2908547326.84693,3754533011.09802,3336726121.91739,8260865790.91497,10494228839.6139,17464568726.3597,21547613633.08,22721890854.7016,23284979973.2993,18408151658.4908,17408619944.2705,10760852094.6403,10275739027.1613,10461710541.4269,10305443930.8638,11752374732.3836,12239956432.7944,11940821023.3254,10108600074.7713
