Year,Global.Vendor.Name,Number.of.Actions,Dollars.Obligated,%Total.Actions,%Total.Dollars
2007,LOCKHEED MARTIN CORPORATION,3603,9867314977.22,0.010853619228648977,0.12003245176080923
2007,GENERAL DYNAMICS CORPORATION,6495,6548753294.705999,0.019565433497106603,0.07966330412629663
2007,NORTHROP GRUMMAN CORPORATION,6370,5496411444.48,0.019188885508324722,0.0668619318517976
2007,THE BOEING COMPANY,1455,5254593920.85,0.004383018589421111,0.06392030585657534
2007,RAYTHEON COMPANY,3147,5224244573.49,0.00947997216557267,0.06355111661093238
2007,BAE SYSTEMS PLC,4072,2629302175.18,0.012266427282558598,0.03198454566774164
2007,BELL BOEING JOINT PROJECT OFFICE,317,1901454598,9.549256995508536e-4,0.023130533264288964
2007,ELECTRONIC DATA SYSTEMS CORPORATION,22181,1753537254.3,0.06681768751336746,0.021331170270075566
2007,UNITED TECHNOLOGIES CORPORATION,1351,1643262019.32,0.004069730662754584,0.019989710424747106
2007,INTERNATIONAL MILITARY AND GOVERMENT LLC,45,1138744743,1.3555727596147764e-4,0.013852433387155577
2007,FORCE PROTECTION  INC,166,1123211254,5.000557291023397e-4,0.01366347390087445
2007,BECHTEL GROUP  INC,118,1049624435.09,3.554613014100969e-4,0.012768315865336142
2007,L-3 COMMUNICATIONS HOLDINGS  INC.,4409,1037308641.3,0.013281600660314554,0.01261849852116429
2007,TEXTRON INC.,740,954890684.41,0.002229164093588743,0.011615912766330044
2007,GENERAL ELECTRIC COMPANY,1473,944000110.17,0.004437241499805702,0.011483432721847
2007,SAIC  INC,5357,860940379.45,0.016137340607236348,0.010473040011780385
2007,EDO CORPORATION,459,775286705.59,0.001382684214807072,0.009431092886400068
2007,HARRIS CORPORATION,651,611685419.79,0.001961061925576043,0.007440940196318668
2007,THE CHARLES STARK DRAPER LABORATORY INC,56,609195413,1.6869349897428328e-4,0.007410650130521157
2007,COMPUTER SCIENCES CORPORATION,1229,585686715.67,0.003702219825703467,0.00712467501117641
2007,A.P. MOLLER - MARSK A/S,122,503627621.42,3.6751083705111715e-4,0.006126454695433143
2007,GE ROLLS-ROYCE FIGHTER ENGINE TEAM  LLC,8,431018947.6,2.409907128204047e-5,0.005243195454410015
2007,OSHKOSH TRUCK CORPORATION,281,424235497.67,8.464798787816715e-4,0.005160677147416232
2007,BELL HELICOPTER TEXTRON INC,49,407383504.83,1.4760681160249788e-4,0.004955678520909359
2007,HOPKINS JOHNS UNIVERSITY,515,399586940.02,0.001551377713781355,0.004860836024078472
2007,ROCKWELL COLLINS  INC.,589,394710600.53,0.0017742941231402296,0.004801517051698038
2007,ROLLS-ROYCE GROUP PLC,410,365675705.28,0.0012350774032045741,0.004448317658395842
2007,CACI INTERNATIONAL INC,991,362591092.87,0.002985272455062763,0.0044107944222207636
2007,BOOZ ALLEN HAMILTON INC.,644,332577811.33,0.0019399752382042576,0.004045693300289353
2007,CERBERUS PARTNER LP,542,257367934.44,0.0016327120793582417,0.0031307913294313437
2007,URS CORPORATION,1647,246347531.02,0.004961396300190081,0.0029967319581687786
2007,HONEYWELL INTERNATIONAL INC,1118,242985962.77,0.0033678452116651554,0.0029558396506119285
2007,ITT CORPORATION,531,227239042.92,0.001599575856345436,0.002764283852338528
2007,ALLIANT TECHSYSTEMS INC,188,225330336.89,5.663281751279509e-4,0.002741065107928274
2007,QINETIQ NORTH AMERICA OPERATIONS LLC,641,213431564.13,0.0019309380864734925,0.0025963206794160794
2007,AFOGNAK NATIVE CORPORATION,2207,208625406.75,0.006648331289932914,0.0025378554479725157
2007,EARL INDUSTRIES  L.L.C.,1037,193503966.69,0.003123842114934496,0.0023539083936070446
2007,VIASAT  INC.,155,180208010.76,4.6691950608953404e-4,0.002192167718208922
2007,DCK PACIFIC  LLC,6,175983523,1.8074303461530352e-5,0.002140778295206111
2007,THE WHITING-TURNER CONTRACTING COMPANY,109,172322194,3.2834984621780137e-4,0.0020962395024760176
2007,MARITIME HELICOPTER SUPPORT COMPANY  LLC,1,171558947,3.0123839102550586e-6,0.0020869548684169462
2007,INTERNATIONAL SHIPHOLDING CORPORATION,30,162235647,9.037151730765176e-5,0.001973540169475528
2007,VT MILCOM INC,1133,161807076.5,0.0034130309703189815,0.0019683267585338367
2007,INTERPUBLIC GROUP OF COMPANIES  INC.,62,151691517.09,1.8676780243581363e-4,0.0018452744996652834
2007,RESOURCE CONSULTANTS INC,665,143896162.16,0.002003235300319614,0.0017504467206034225
2007,J A JONES INC,151,138248163,4.548699704485138e-4,0.0016817407769619238
2007,SAUER HOLDINGS  INC.,89,136844313,2.681021680127002e-4,0.0016646634304098545
2007,BEARINGPOINT  INC.,217,135395406.64,6.536873085253476e-4,0.0016470379889230733
