parentid,ObligatedAmount,NumberOfActions,FreqCount,Year,Rank
LOCKHEED MARTIN,37525322964.8592,294581,144731,2016,1
BOEING,24102028648.68,31225,12958,2016,2
GENERAL DYNAMICS,12367013662.1464,180249,15354,2016,3
RAYTHEON,12007594265.0511,23635,11215,2016,4
NORTHROP GRUMMAN,11000796372.8791,23008,11801,2016,5
BAE SYSTEMS,5569790627.0281,25054,12572,2016,6
L3 COMMUNICATIONS,4821465205.4877,15350,6861,2016,7
UNITED TECH,4531880618.3803,24108,11882,2016,8
HUNTINGTON INGALLS INCORPORATED,4279494891.8157,3941,1977,2016,9
HUMANA,3599241556.5525,488,245,2016,10
BECHTEL,3047269145.7593,180,93,2016,11
UnitedHealth Group,2723101250.0506,386,193,2016,12
MCKESSON,2705003069.8975,94288,47145,2016,13
HEALTH NET,2606211433.2431,322,162,2016,14
SAIC,2429028760.1137,169546,84218,2016,15
BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],2281496194.8378,7869,3941,2016,16
AMERISOURCEBERGEN,2102690671.5588,609784,304937,2016,17
TEXTRON,1905152755.0853,11173,4966,2016,18
BOOZ ALLEN HAMILTON,1873714104.3141,7749,3825,2016,19
GENERAL ATOMICS,1746737310.4693,2571,938,2016,20
GENERAL ELECTRIC,1672997446.1694,7825,3826,2016,21
UNITED LAUNCH ALLIANCE,1472834320.1749,98,49,2016,22
OSHKOSH,1421478413.9095001,44488,22291,2016,23
LEIDOS,1390361980.3536,5528,2927,2016,24
JOHNS HOPKINS UNIVERSITY,1288051396.106,3176,1596,2016,25
HEWLETT PACKARD,1262824873.0348,65718,2495,2016,26
HONEYWELL,1230754885.9034,16939,8175,2016,27
ATLANTIC DIVING SUPPLY,1198434756.6054,79601,32251,2016,28
CACI,1163466672.9423,3819,1960,2016,29
SIERRA NEVADA,1034160634.349,1337,691,2016,30
URS,1016625355.8539,4682,2401,2016,31
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1001805352.9899,454,230,2016,32
HARRIS,984466117.7811,16157,2530,2016,33
VECTRUS,923378246.8291,661,336,2016,34
AUSTAL,874848096.6122,384,194,2016,35
THE AEROSPACE,866e6,36,18,2016,36
CRSA,849041235.0096,4238,1679,2016,37
ROLLS ROYCE,824200201.1055,2475,1262,2016,38
THE MITRE,822491575.3951,543,273,2016,39
EXPRESS SCRIPTS,789255927.25,123,94,2016,40
ROCKWELL COLLINS,773746135.8037,6212,2488,2016,41
