ParentID,contract_award_unique_key,PricingMechanism,ProductOrServiceCodeText,CompetitionClassification,ClassifyNumberOfOffers,anycommercial,Vehicle,Action_Obligation_OMB25_GDP23,baseandexercisedoptionsvalue,baseandalloptionsvalue,MinOfsigneddate
BOEING,CONT_AWD_NNM07AB03C_8000_-NONE-_-NONE-,Cost Plus Award Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,DCA,11206708151.994858,9910649405,9910649425,2007-08-28
BOEING,CONT_AWD_80MSFC20C0052_8000_-NONE-_-NONE-,Cost Plus Incentive,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,DCA,1364725431.531901,3219632109,3219632109,2019-10-16
BOEING,CONT_AWD_GSFC0199802DNAS598069_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),Full Competition (Multiple Offers),3-4 Offers,N,DCA,921610377.9547172,782559702,782559702,2000-03-15
BOEING,NA,Fixed Price with Economic Price Adjustment,R&D- SPACE: FLIGHT (ENGINEERING DEVELOPMENT),Limited Competition with multiple offers,3-4 Offers,NA,NA,821602277.142224,0,0,NA
BOEING,CONT_AWD_FA881606C0001_9700_-NONE-_-NONE-,Firm Fixed Price,MAINT-REP OF SPACE VEHICLES,No Competition (Only One Source Exception),No competition,N,DCA,791573084.3603528,967760934.04,967760934.04,2006-09-30
BOEING,CONT_AWD_FY01_9700_F0470198D0002_9700,Firm Fixed Price,R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT),Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,Y,MULTIPLE AWARD IDC,648136975.7695072,0,0,2001-09-30
BOEING,CONT_AWD_FA881606C0001_9700_-NONE-_-NONE-,Cost Plus Award Fee,MAINT-REP OF SPACE VEHICLES,No Competition (Only One Source Exception),No competition,N,DCA,515882908.3741476,666547698.04,666547698.04,2006-09-30
BOEING,NA,Fixed Price Incentive,SPACE VEHICLE LAUNCHERS,No Competition (Unlabeled Exception),No competition,NA,NA,495124172.1850819,0,0,NA
BOEING,CONT_AWD_FA881108C0005_9700_-NONE-_-NONE-,Firm Fixed Price,SPACE VEHICLE LAUNCHERS,No Competition (Only One Source Exception),No competition,N,DCA,457370156.6609714,505300000,505300000,2008-01-24
BOEING,CONT_AWD_NNK15MA50T_8000_NNK14MA75C_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,436180811.64024335,360607891,360607891,2015-05-22
BOEING,NA,Fixed Price Incentive,SPACE VEHICLE LAUNCHERS,No Competition (Only One Source Exception),No competition,NA,NA,371215939.56199884,0,0,NA
BOEING,CONT_AWD_MSFC0200212DNAS802070_8000_-NONE-_-NONE-,Cost Plus Award Fee,R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT),Full Competition (Multiple Offers),5-9 Offers,N,DCA,306766366.10427666,195016605,195016605,2002-11-20
