ParentID,contract_award_unique_key,PricingMechanism,ProductOrServiceCodeText,CompetitionClassification,ClassifyNumberOfOffers,anycommercial,Vehicle,Action_Obligation_OMB25_GDP23,baseandexercisedoptionsvalue,baseandalloptionsvalue,MinOfsigneddate
SPACEX,CONT_IDV_NNJ09GA04B_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,N,MULTIPLE AWARD IDC,3772193362.7752585,0,3100000000,2008-12-22
SPACEX,CONT_IDV_NNJ16GX08B_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,Y,MULTIPLE AWARD IDC,2945167450.6332555,0,14000000000,2016-01-14
SPACEX,CONT_AWD_80MSFC20C0034_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),5-9 Offers,N,DCA,2266944357.9463406,3596843502.9588,4234193502.9588,2020-05-13
SPACEX,CONT_AWD_NNK17MA01T_8000_NNK14MA74C_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,1855497737.2438054,2925631103,3137214838,2016-12-30
SPACEX,CONT_IDV_NNK10LB02B_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,Y,MULTIPLE AWARD IDC,1281130699.1769211,0,15000000000,2010-09-24
SPACEX,CONT_AWD_FA881119C0004_9700_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),Two Offers,N,DCA,366627831.05651575,313795536.3,313795536.3,2019-02-21
SPACEX,CONT_AWD_FA881118C0001_9700_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),Two Offers,N,DCA,284576036.8738138,243999312.05,437655537.05,2018-03-14
SPACEX,CONT_AWD_NNK16MA58T_8000_NNK14MA74C_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,253465707.8321944,213984139,213984139,2016-07-29
SPACEX,CONT_AWD_NNK16MA03T_8000_NNK14MA74C_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,253390907.0970381,208378083,208378083,2015-11-20
SPACEX,CONT_AWD_FA881120F0007_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,211544426.3000072,183179377.4375,183179377.4375,2020-08-18
SPACEX,CONT_AWD_0003_9700_FA881813D0003_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,204411809.25102907,158741300,158741300,2012-12-04
SPACEX,CONT_AWD_FA881118C0003_9700_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),Two Offers,N,DCA,182292091.33922902,154726072,154726072,2018-06-20
SPACEX,CONT_AWD_FA881120F0004_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,175593564.51733124,152560976,152560976,2020-08-19
SPACEX,CONT_AWD_FA881121F0025_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,173778871.3366893,157167207.29,157167207.29,2021-08-16
SPACEX,CONT_AWD_FA881122F0024_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,166693387.83189654,160716186,160716186,2022-07-22
SPACEX,CONT_AWD_HQ085021C0005_9700_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),Two Offers,Y,DCA,166682089.23619214,315591775.9238,326801783.9238,2020-12-31
SPACEX,CONT_AWD_FA881123F0030_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,131919776,159541536,159541536,2023-07-24
SPACEX,CONT_AWD_80KSC021CA006_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),Two Offers,Y,DCA,128642222.34420435,179375086,179375086,2021-07-23
SPACEX,CONT_AWD_0002_9700_FA881813D0003_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers,Two Offers,N,MULTIPLE AWARD IDC,114662493.20586139,89131488,89131488,2012-12-04
SPACEX,CONT_AWD_FA881116C0001_9700_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,Competition with single offer,One Offer,N,DCA,110721946.01610431,89439136.97,91780936.97,2016-04-27
SPACEX,CONT_AWD_FA881117C0005_9700_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),Two Offers,N,DCA,108195928.1444359,88318972.3,88318972.3,2017-03-14
SPACEX,CONT_AWD_FA881122F0017_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,103496867.18414722,99185350.5625,99185350.5625,2022-05-25
SPACEX,CONT_AWD_FA881122F0016_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,103047099.27060884,98545907,98545907,2022-05-25
SPACEX,CONT_AWD_80KSC020C0012_8000_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,Y,DCA,100794797.73663504,7000000000,7000000000,2020-03-25
SPACEX,CONT_AWD_FA881124F0004_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,94479776.2297652,97002952,97002952,2023-11-01
SPACEX,CONT_AWD_FA881121F0009_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,91827525.73185474,82100448,82100448,2021-03-09
SPACEX,CONT_AWD_FA881123F0015_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,91792440,95617440,95617440,2023-06-15
SPACEX,CONT_AWD_FA881123F0017_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,91792440,95617440,95617440,2023-06-15
SPACEX,CONT_AWD_FA881123F0013_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,90946877.08710502,93927440,93927440,2023-06-14
