"TopProject","Fiscal_Year","Action_Obligation_OMB23_GDP21"
NA,2021,315841434801.437
"Other Labeled Project",2021,29626406515.639
"JSF (F-35)",2021,9805187787.8331
"MISSILE DEFENSE AGENCY SU",2021,7761768593.9455
"SSN 774",2021,5768512253.7366
"KC-45A",2021,4468002993.7608
"TRIDENT II MISSILE",2021,2924739638.5857
"MMA",2021,2635487049.2397
"C130-J",2021,2462269136.3324
"V22",2021,2102295787.8397
"DDG 51",2021,1730147315.375
"GMLRS",2021,1692885664.7789
NA,2020,317874254059.38
"JSF (F-35)",2020,36753985694.2388
"Other Labeled Project",2020,34644244540.5878
"MISSILE DEFENSE AGENCY SU",2020,11790080398.2768
"SSN 774",2020,9881701676.27858
"LTAMDS",2020,4676060259.7167
"DDG 51",2020,3926924673.42401
"C130-J",2020,3405309320.86182
"LCS",2020,2943699962.39094
"MMA",2020,2863764358.70486
"CVN 21",2020,2112927935.56561
"V22",2020,2002201248.21679
NA,2019,311634356432.348
"Other Labeled Project",2019,38025883942.526
"JSF (F-35)",2019,17969481480.5214
"MISSILE DEFENSE AGENCY SU",2019,8406246858.20931
"MMA",2019,4065705264.34715
"TRIDENT II MISSILE",2019,3882331255.43176
"LTAMDS",2019,3726129805.82344
"DDG 51",2019,3298112896.29268
"KC-45A",2019,3069611878.9911
"E-2C ADVANCED HAWKEYE",2019,2895098808.6096
"SSN 774",2019,2875803888.98665
"LCS",2019,2133145660.14224
NA,2018,294837637302.805
"Other Labeled Project",2018,37214342679.2615
"JSF (F-35)",2018,17044424873.0796
"MISSILE DEFENSE AGENCY SU",2018,8080923145.73805
"SSN 774",2018,4362962482.87553
"PATRIOT/MEADS",2018,4158499498.96668
"KC-45A",2018,3486295562.43757
"LCS",2018,3283384901.95692
"MMA",2018,2936535699.7277
"V22",2018,2660069981.26114
"TRIDENT II MISSILE",2018,2250828839.77187
"DDG 51",2018,2212855781.7093
NA,2017,260351224697.607
"Other Labeled Project",2017,35318003789.6653
"JSF (F-35)",2017,26315630854.4516
"MISSILE DEFENSE AGENCY SU",2017,5573693173.42374
"SSN 774",2017,3991866874.70327
"MMA",2017,3075197976.56117
"V22",2017,2609647770.94602
"KC-45A",2017,2593623025.79786
"EA-18G",2017,2592938358.11042
"TRIDENT II MISSILE",2017,2538064348.32416
"EELV",2017,2283240171.57404
"DDG 51",2017,2235274368.07732
NA,2016,246190247309.989
"Other Labeled Project",2016,39656302560.9761
"JSF (F-35)",2016,11268034490.8139
"MISSILE DEFENSE AGENCY SU",2016,6733833895.21697
"C130-J",2016,6168501617.07818
"SSN 774",2016,4642645977.58302
"MMA",2016,3871001449.60913
"KC-45A",2016,3301959330.52619
"TRIDENT II MISSILE",2016,2572716665.90558
"V22",2016,2483402216.83984
"PAC-3 MSE",2016,2024359924.26901
"EELV",2016,1792297599.05575
NA,2015,234937098719.026
"Other Labeled Project",2015,34399636469.0749
"JSF (F-35)",2015,12704470049.2324
"SSN 774",2015,4725979514.34778
"MISSILE DEFENSE AGENCY SU",2015,4723151328.64118
"TRIDENT II MISSILE",2015,2522456901.18256
"V22",2015,2360899672.27797
"PAC-3 MSE",2015,2041762446.60142
"EELV",2015,1974090164.69727
"MMA",2015,1961773643.89746
"LCS",2015,1830445516.80396
"C130-J",2015,1632273247.90935
NA,2014,238624905144.651
"Other Labeled Project",2014,43477135443.9479
"SSN 774",2014,6818226970.56837
"MISSILE DEFENSE AGENCY SU",2014,6250987677.42464
"JSF (F-35)",2014,4271002544.22466
"F/A-18 E/F",2014,3190962355.41326
"EELV",2014,2887345581.06309
"C130-J",2014,2621600829.26424
"TRIDENT II MISSILE",2014,2611784722.1967
"POSEIDON",2014,2586845875.56832
"V22",2014,2434385175.70555
"DDG 51",2014,1875003978.29775
NA,2013,255242088417.336
"Other Labeled Project",2013,51067503467.0922
"JSF (F-35)",2013,13885163451.2721
"MISSILE DEFENSE AGENCY SU",2013,8405974746.5875
"SSN 774",2013,3782764781.78027
"F/A-18 E/F",2013,2921692643.69944
"POSEIDON",2013,2630739997.82597
"V22",2013,2422830121.70088
"PATRIOT",2013,2380053881.20306
"C-17A",2013,2234179355.00737
"TRIDENT II MISSILE",2013,2193932767.10049
"LCS",2013,2097272709.99278
NA,2012,315492013884.153
"Other Labeled Project",2012,55640944692.0254
"MISSILE DEFENSE AGENCY SU",2012,7409557793.84446
"C-17A",2012,6357809715.84965
"JSF (F-35)",2012,5434605138.12088
"MMA",2012,4350557998.47759
"SSN 774",2012,3662894502.46318
"V22",2012,3496298388.05443
"F/A-18 E/F",2012,3177056141.46949
"EELV",2012,2842787782.5885
"PATRIOT",2012,2763503642.17643
"F-15",2012,2585102372.55451
NA,2011,332071838004.033
"Other Labeled Project",2011,58789006279.2062
"MISSILE DEFENSE AGENCY SU",2011,5974356181.37457
"JSF (F-35)",2011,5744325314.65356
"DD(X)",2011,5053366349.21059
"SSN 774",2011,4354305618.91185
"PATRIOT",2011,4174028697.80458
"C-17A",2011,4154907703.74334
"C130-J",2011,3754593232.4547
"MMA",2011,3565627286.11886
"V22",2011,3455339261.33018
"F/A-18 E/F",2011,3041305071.0996
NA,2010,349108404951.089
"Other Labeled Project",2010,52489310247.7856
"MISSILE DEFENSE AGENCY SU",2010,6191584013.54737
"C-17A",2010,4308631742.09488
"PATRIOT",2010,3730231117.35387
"V22",2010,3629005004.62607
"C130-J",2010,3525089318.31928
"SSN 774",2010,3285900211.81682
